,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,954.32700,330.03000,222.93600,552.96590,-598.67400,-69.87100,-752.49600,754.79700,-151.42800,-216.91700,,,,-368.34500,345.00000,710.19380,1055.19400,-1355.79600,-1355.79600,,-10.62600,-311.22800,38.48500,121.41600
2021-12-31,839.49700,291.02700,144.41700,435.44400,-731.13700,172.75300,-77.87800,1197.06300,-111.53000,-602.12000,,,-2.28100,-715.93100,1810.50000,-119.89990,1690.60000,-1306.94100,-1306.94100,,-39.73100,343.92800,774.07600,80.07100
2020-12-31,704.21600,261.28700,185.60800,446.89500,264.14000,140.58900,321.47800,1472.58900,-78.42500,-80.78700,52.96300,52.96300,,-106.24900,-446.25800,-254.44900,-700.70700,-713.11300,-713.11300,,-2.98100,-1416.80100,-198.61800,43.38400
2019-12-31,895.07300,279.31600,177.13700,456.45300,-196.02800,-192.18300,-189.45500,1162.07100,-75.17000,-448.27700,,,-0.25500,-523.70200,646.47300,-427.84410,218.62890,-525.98400,-525.98400,,-2.81600,-310.17100,310.34400,60.95300
2018-12-31,811.48300,279.95100,-3.33200,276.61900,-159.02400,-53.08200,-184.72000,903.38200,-81.38700,77.89200,,,-22.77500,-26.27000,-59.87500,389.11580,329.24080,-903.01600,-903.01600,,-4.04000,-577.81500,234.02300,69.93900
2017-12-31,740.20000,271.51200,-228.14200,43.37000,-431.00300,5.14500,-103.51200,680.05800,-70.09300,-388.75600,,,-38.95300,-497.80200,577.50000,44.59190,622.09190,-357.70300,-357.70300,,-12.45100,251.93800,487.10000,93.29700
2016-12-31,452.38500,210.83800,106.81600,317.65400,-338.79600,-15.04400,-61.82100,708.21800,-59.01100,-1331.98500,,,1.41100,-1389.58500,458.50000,464.86400,923.36400,-166.44700,-166.44700,,-2.94800,753.96900,29.12600,63.94600
2015-12-31,362.43100,200.50100,198.80300,399.30400,40.01700,-77.19100,-7.15100,754.58400,-41.87500,-49.06900,,,-8.47000,-99.41400,-164.50000,-487.36400,-651.86400,19.92600,19.92600,,-16.12700,-648.06500,-29.91700,90.12200
2014-12-31,368.70700,113.30100,100.62600,213.92700,246.46500,-34.89000,25.70000,608.33400,-27.07000,-2395.77800,,,-171.23900,-2594.08700,2099.12500,21.38310,2120.50800,29.64100,29.64100,,12.11600,2162.26500,138.96400,37.64900
2013-12-31,284.50100,72.73700,40.09000,112.82700,-45.00500,11.72700,-21.64300,375.68500,-20.78500,-728.34300,,,,-749.12800,22.87500,530.31010,553.18510,30.43800,30.43800,,-147.89800,435.72500,54.45600,26.67600
2012-12-31,216.19900,52.03600,37.83400,89.87000,-71.10200,-80.66700,-170.60900,135.46000,-19.11100,-190.44700,,,,-209.55800,237.58600,-26.87400,210.71200,-172.81300,-172.81300,,24.08900,61.98800,-1.51000,19.27500
2011-12-31,147.33500,36.17100,40.71800,76.88900,-80.02400,8.49800,55.40100,279.62500,-13.45400,-333.76300,,,,-347.21700,97.03500,125.00000,222.03500,8.47700,8.47700,,5.70900,236.22100,170.35500,21.74300
2010-12-31,107.89600,33.74500,41.68600,75.43100,-38.96000,-8.51400,-43.57200,139.75500,-11.19400,-10.02200,,,,-21.21600,-98.63400,,-98.63400,10.09800,10.09800,-7.63400,9.62600,-86.54400,30.10300,26.75500
2009-12-31,89.05200,28.64700,39.65400,68.30100,2.34500,13.87500,21.43700,178.79000,-9.67700,-231.09700,,,,-240.77400,-21.72400,,-21.72400,0.26600,93.96200,,,72.23800,14.34600,2.66600
