,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,439.00000,1317.00000,618.00000,1935.00000,-292.00000,-161.00000,560.00000,209.00000,309.00000,2683.00000,-2756.00000,,-11.00000,-11.00000,-309.00000,-3076.00000,-2305.00000,100.00000,-2205.00000,,,-891.00000,2184.00000,-912.00000,-1305.00000,,-891.00000
2021-12-31,1283.00000,1664.00000,-476.00000,1188.00000,160.00000,57.00000,117.00000,-1.00000,340.00000,2811.00000,-2445.00000,,-11.00000,-11.00000,-103.00000,-2559.00000,1568.00000,-2200.00000,-632.00000,1000.00000,1000.00000,-849.00000,-61.00000,-542.00000,-290.00000,,-849.00000
2020-12-31,1079.00000,1199.00000,-797.00000,402.00000,-129.00000,-32.00000,-138.00000,49.00000,-58.00000,1423.00000,-2657.00000,,-22.00000,-22.00000,-229.00000,-2908.00000,2311.00000,1200.00000,3511.00000,,,-845.00000,-59.00000,2607.00000,1122.00000,,-845.00000
2019-12-31,912.00000,1217.00000,234.00000,1451.00000,271.00000,-37.00000,-49.00000,-39.00000,104.00000,2467.00000,-2665.00000,,-38.00000,-38.00000,-170.00000,-2873.00000,1511.00000,,1511.00000,,,-820.00000,-35.00000,656.00000,250.00000,,-814.00000
2018-12-31,1348.00000,1384.00000,-1151.00000,233.00000,-248.00000,24.00000,109.00000,-68.00000,-171.00000,1410.00000,-2250.00000,-500.00000,-54.00000,-554.00000,-214.00000,-3018.00000,-1134.00000,950.00000,-184.00000,850.00000,2466.00000,-772.00000,-116.00000,1394.00000,-214.00000,,-711.00000
2017-12-31,-1724.00000,1700.00000,3448.00000,5148.00000,-39.00000,-6.00000,72.00000,338.00000,384.00000,3808.00000,-2199.00000,,-98.00000,-98.00000,-426.00000,-2723.00000,2384.00000,-2375.00000,9.00000,,,-639.00000,-72.00000,-702.00000,383.00000,,-639.00000
2016-12-31,-6177.00000,1974.00000,7444.00000,9418.00000,-11.00000,41.00000,-37.00000,-33.00000,50.00000,3383.00000,-2820.00000,,-111.00000,-111.00000,-371.00000,-3302.00000,-355.00000,975.00000,620.00000,,,-611.00000,-43.00000,-34.00000,47.00000,,-611.00000
2015-12-31,578.00000,1874.00000,828.00000,2702.00000,184.00000,-15.00000,-243.00000,220.00000,180.00000,3460.00000,-2684.00000,,-114.00000,-114.00000,-324.00000,-3122.00000,432.00000,-91.00000,341.00000,,,-607.00000,-26.00000,-292.00000,46.00000,,-607.00000
2014-12-31,299.00000,1640.00000,808.00000,2448.00000,139.00000,-65.00000,42.00000,37.00000,-34.00000,2713.00000,-2918.00000,,-103.00000,-103.00000,-338.00000,-3359.00000,2769.00000,-1605.00000,1164.00000,,,-604.00000,-47.00000,513.00000,-133.00000,,-604.00000
2013-12-31,392.00000,2070.00000,517.00000,2587.00000,-114.00000,96.00000,-25.00000,-368.00000,-317.00000,2662.00000,-2634.00000,-23.00000,-49.00000,-72.00000,-387.00000,-3093.00000,145.00000,1435.00000,1580.00000,-920.00000,-920.00000,,-183.00000,477.00000,46.00000,,
2012-12-31,771.00000,1327.00000,315.00000,1642.00000,-13.00000,-50.00000,100.00000,-61.00000,-93.00000,2320.00000,-2661.00000,102.00000,-40.00000,62.00000,-558.00000,-3157.00000,-190.00000,1969.00000,1779.00000,,,-920.00000,-52.00000,807.00000,-30.00000,,-920.00000
2011-12-31,869.00000,1737.00000,74.00000,1811.00000,147.00000,14.00000,60.00000,22.00000,383.00000,3063.00000,-1289.00000,60.00000,-102.00000,-42.00000,375.00000,-956.00000,-1305.00000,-700.00000,-2005.00000,,,-881.00000,-38.00000,-2924.00000,-817.00000,,-881.00000
2010-12-31,718.00000,1654.00000,507.00000,2161.00000,-177.00000,2.00000,43.00000,115.00000,68.00000,3076.00000,-1663.00000,66.00000,-47.00000,19.00000,-304.00000,-1948.00000,84.00000,-378.00000,-294.00000,,,-670.00000,-19.00000,-983.00000,145.00000,,-670.00000
2009-12-31,856.00000,1904.00000,-383.00000,1521.00000,75.00000,-11.00000,50.00000,10.00000,88.00000,2465.00000,-2182.00000,60.00000,-77.00000,-17.00000,14.00000,-2185.00000,2022.00000,-1246.00000,776.00000,,,-670.00000,-57.00000,49.00000,329.00000,20.00000,-670.00000
