,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6704.00000,3144.00000,-282.00000,2862.00000,-220.00000,-2589.00000,798.00000,-196.00000,-1800.00000,7766.00000,-1769.00000,1.00000,-5.00000,-782.00000,-787.00000,14.00000,-2541.00000,-1054.00000,402.00000,-652.00000,-4179.00000,-4179.00000,-2440.00000,-10.00000,-7281.00000,-2250.00000,-2440.00000
2021-12-31,6493.00000,2352.00000,-1000.00000,1352.00000,-1259.00000,-2586.00000,2041.00000,-146.00000,-647.00000,7198.00000,-1207.00000,36.00000,-521.00000,-1471.00000,-1992.00000,79.00000,-3084.00000,-2807.00000,3488.00000,681.00000,-2533.00000,-2533.00000,-2332.00000,-4.00000,-4188.00000,-103.00000,-2332.00000
2020-12-31,3003.00000,2432.00000,1309.00000,3741.00000,1442.00000,-34.00000,98.00000,-1013.00000,-417.00000,6327.00000,-1343.00000,25.00000,303.00000,-404.00000,-101.00000,-66.00000,-1485.00000,2194.00000,-2804.00000,-610.00000,-901.00000,-901.00000,-2243.00000,-1.00000,-3755.00000,1074.00000,-2243.00000
2019-12-31,6094.00000,2577.00000,1171.00000,3748.00000,171.00000,274.00000,-1025.00000,-1765.00000,-2930.00000,6912.00000,-1516.00000,41.00000,-359.00000,-70.00000,-429.00000,-24.00000,-1928.00000,1544.00000,-138.00000,1406.00000,-3809.00000,-3809.00000,-2132.00000,-3.00000,-4538.00000,402.00000,-2132.00000
2018-12-31,6148.00000,2766.00000,1721.00000,4487.00000,-1619.00000,-1579.00000,709.00000,-1527.00000,-4077.00000,6558.00000,-1980.00000,16.00000,-805.00000,-456.00000,-1261.00000,13.00000,-3212.00000,1078.00000,762.00000,1840.00000,-3485.00000,-3485.00000,-1951.00000,-54.00000,-3650.00000,-430.00000,-1951.00000
2017-12-31,759.00000,2877.00000,2264.00000,5141.00000,-1151.00000,-1295.00000,1478.00000,-588.00000,-194.00000,5706.00000,-1172.00000,100.00000,192.00000,-175.00000,17.00000,89.00000,-966.00000,675.00000,-3058.00000,-2383.00000,566.00000,566.00000,-1831.00000,-9.00000,-3657.00000,1121.00000,-1831.00000
2016-12-31,-59.00000,3034.00000,2008.00000,5042.00000,829.00000,1109.00000,-200.00000,-173.00000,656.00000,5639.00000,-2029.00000,,157.00000,112.00000,269.00000,-20.00000,-1780.00000,-1453.00000,140.00000,-1313.00000,-23.00000,-23.00000,-1799.00000,-8.00000,-3143.00000,688.00000,-1799.00000
2015-12-31,2523.00000,3046.00000,325.00000,3371.00000,764.00000,2274.00000,-1165.00000,-480.00000,805.00000,6699.00000,-2501.00000,178.00000,-546.00000,-534.00000,-1080.00000,-114.00000,-3517.00000,-3160.00000,3022.00000,-138.00000,-1992.00000,-1992.00000,-1757.00000,-7.00000,-3894.00000,-881.00000,-1757.00000
2014-12-31,2468.00000,3163.00000,2140.00000,5303.00000,163.00000,101.00000,222.00000,-1091.00000,286.00000,8057.00000,-2475.00000,199.00000,-1260.00000,-45.00000,-1305.00000,-46.00000,-3627.00000,1401.00000,1043.00000,2444.00000,-3999.00000,-3999.00000,-1620.00000,179.00000,-2996.00000,1260.00000,-1620.00000
2013-12-31,3803.00000,3087.00000,482.00000,3569.00000,835.00000,2658.00000,134.00000,-421.00000,2819.00000,10191.00000,-3602.00000,365.00000,-1635.00000,-148.00000,-1783.00000,-26.00000,-5046.00000,-1542.00000,-69.00000,-1611.00000,-1872.00000,-1872.00000,-1111.00000,83.00000,-4511.00000,591.00000,-1111.00000
2012-12-31,5722.00000,3393.00000,-191.00000,3202.00000,-15.00000,-1149.00000,-1868.00000,-344.00000,-3740.00000,5184.00000,-3959.00000,1199.00000,-2883.00000,-714.00000,-3597.00000,167.00000,-6190.00000,4968.00000,466.00000,5434.00000,52.00000,52.00000,-1617.00000,-263.00000,3606.00000,2433.00000,-1617.00000
2011-12-31,4981.00000,2527.00000,457.00000,2984.00000,-1409.00000,-2927.00000,1555.00000,899.00000,-1008.00000,6957.00000,-2570.00000,376.00000,-920.00000,-8273.00000,-9193.00000,-40.00000,-11427.00000,4914.00000,-37.00000,4877.00000,123.00000,123.00000,-1159.00000,178.00000,4019.00000,-535.00000,-1159.00000
2010-12-31,2758.00000,2296.00000,469.00000,2765.00000,-2320.00000,-2667.00000,2570.00000,939.00000,-514.00000,5009.00000,-1117.00000,,505.00000,-1115.00000,-610.00000,132.00000,-1595.00000,-4137.00000,291.00000,-3846.00000,296.00000,296.00000,-1084.00000,21.00000,-4613.00000,-1275.00000,-1084.00000
2009-12-31,827.00000,2336.00000,137.00000,2473.00000,4014.00000,2501.00000,-1878.00000,-399.00000,3199.00000,6499.00000,-1230.00000,,2281.00000,-77.00000,2204.00000,-128.00000,846.00000,-396.00000,-3884.00000,-4280.00000,89.00000,89.00000,-1029.00000,5.00000,-5215.00000,2131.00000,-1029.00000
