,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1031.00000,1338.00000,-4.00000,1334.00000,-753.00000,-847.00000,1503.00000,-2888.00000,,,1769.00000,1769.00000,18.00000,-1101.00000,2150.00000,-1319.00000,831.00000,-500.00000,-500.00000,-1079.00000,-6.00000,-754.00000,-352.00000,-239.00000,-1079.00000
2021-12-31,-648.00000,1541.00000,1897.00000,3438.00000,-972.00000,-1099.00000,1736.00000,-2719.00000,,,466.00000,466.00000,9.00000,-2244.00000,-257.00000,2456.00000,2199.00000,,,-1031.00000,-369.00000,799.00000,291.00000,-178.00000,-1031.00000
2020-12-31,1905.00000,1620.00000,-647.00000,973.00000,170.00000,294.00000,3102.00000,-2923.00000,,,285.00000,285.00000,-38.00000,-2676.00000,1085.00000,-52.00000,1033.00000,,,-991.00000,-72.00000,-30.00000,396.00000,-105.00000,-991.00000
2019-12-31,1693.00000,1534.00000,-156.00000,1378.00000,204.00000,272.00000,3379.00000,-3166.00000,-98.00000,,43.00000,43.00000,76.00000,-3145.00000,650.00000,99.00000,749.00000,,,-950.00000,-56.00000,-257.00000,-23.00000,-48.00000,-950.00000
2018-12-31,1438.00000,1442.00000,393.00000,1835.00000,-330.00000,-382.00000,2913.00000,-3912.00000,-146.00000,,59.00000,59.00000,83.00000,-3916.00000,1400.00000,474.00000,1874.00000,,,-910.00000,-77.00000,887.00000,-116.00000,70.00000,-910.00000
2017-12-31,1574.00000,2288.00000,-345.00000,1943.00000,-350.00000,-269.00000,3260.00000,-4190.00000,-117.00000,,-21.00000,-21.00000,72.00000,-4256.00000,1675.00000,154.00000,1829.00000,,,-870.00000,-74.00000,885.00000,-111.00000,89.00000,-870.00000
2016-12-31,887.00000,1788.00000,712.00000,2500.00000,-393.00000,-87.00000,3313.00000,-4199.00000,-99.00000,,-32.00000,-32.00000,82.00000,-4248.00000,1851.00000,24.00000,1875.00000,,,-830.00000,-79.00000,966.00000,31.00000,127.00000,-830.00000
2015-12-31,1679.00000,1531.00000,462.00000,1993.00000,362.00000,177.00000,3919.00000,-3863.00000,-106.00000,,-51.00000,-51.00000,78.00000,-3942.00000,491.00000,364.00000,855.00000,,,-789.00000,-51.00000,15.00000,-8.00000,161.00000,-789.00000
2014-12-31,1518.00000,1496.00000,103.00000,1599.00000,134.00000,8.00000,3160.00000,-2820.00000,-101.00000,,-19.00000,-19.00000,48.00000,-2892.00000,513.00000,-60.00000,453.00000,,,-748.00000,-64.00000,-359.00000,-91.00000,47.00000,-748.00000
2013-12-31,1243.00000,1370.00000,107.00000,1477.00000,220.00000,320.00000,3158.00000,-2811.00000,,,-11.00000,-11.00000,21.00000,-2801.00000,749.00000,-203.00000,546.00000,,,-728.00000,-61.00000,-243.00000,114.00000,243.00000,-728.00000
2012-12-31,1275.00000,1227.00000,461.00000,1688.00000,-35.00000,-246.00000,2787.00000,-2574.00000,,,-34.00000,-34.00000,-17.00000,-2625.00000,-104.00000,263.00000,159.00000,,,-718.00000,-58.00000,-617.00000,-455.00000,271.00000,-718.00000
2011-12-31,1503.00000,1135.00000,12.00000,1147.00000,117.00000,790.00000,3557.00000,-2083.00000,,687.00000,-31.00000,-31.00000,158.00000,-1269.00000,-927.00000,-64.00000,-991.00000,,,-693.00000,-50.00000,-1734.00000,554.00000,175.00000,-693.00000
2010-12-31,1564.00000,1110.00000,399.00000,1509.00000,-279.00000,-968.00000,2164.00000,-2160.00000,,,-24.00000,-24.00000,515.00000,-1669.00000,724.00000,-466.00000,258.00000,,-80.00000,-693.00000,-50.00000,-565.00000,-70.00000,315.00000,-693.00000
2009-12-31,1592.00000,959.00000,-754.00000,205.00000,221.00000,221.00000,1855.00000,-1794.00000,,,851.00000,851.00000,151.00000,-792.00000,-834.00000,511.00000,-323.00000,,,-673.00000,-38.00000,-1034.00000,29.00000,347.00000,-673.00000
