,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,523.67200,597.14900,159.17200,756.32100,-21.21400,42.39600,-5.31700,1274.67600,-458.30200,-872.09100,714.20500,,714.20500,-6.12200,-622.31000,,,-551.54800,-551.54800,-82.62900,-634.17700,5.27100,217.18500
2021-12-31,651.64200,616.65700,176.78800,793.44500,-24.09600,-47.95100,-40.52400,1404.56300,-545.23000,-598.82500,501.47800,,501.47800,-4.32200,-646.89900,,,-462.62300,-462.62300,-99.38000,-562.00300,184.28500,202.75900
2020-12-31,557.05400,541.21200,186.61700,727.82900,-90.38100,-18.71300,-69.88300,1215.00000,-731.87200,-127.99900,-154.84800,,-154.84800,-28.25500,-1042.97400,,,-133.81300,-133.81300,-89.82800,-223.64100,-40.68000,197.41100
2019-12-31,478.03500,486.53100,196.60100,683.13200,-64.47100,-47.16100,-102.86300,1058.30400,-562.07700,-165.32900,-904.91900,,-904.91900,-35.60900,-1667.93400,318.55410,318.55410,-277.40700,-277.40700,-76.82400,-35.67700,-642.84100,187.14000
2018-12-31,298.37300,476.47800,203.17000,679.64800,-30.44500,18.51300,30.30600,1008.32700,-405.74100,-0.07900,-98.64700,,-98.64700,-2.06600,-506.53300,990.39000,990.39000,-687.39200,-687.39200,-69.39000,233.60800,722.55800,183.81300
2017-12-31,222.76600,391.15200,199.09700,590.24900,-50.05400,4.79000,-12.03200,800.98300,-414.77800,-369.07300,326.27200,,326.27200,-1.58600,-459.16500,,,-305.51400,-305.51400,-59.49100,-365.00500,-10.19700,164.30800
2016-12-31,320.72700,352.94000,164.70900,517.64900,-2.97000,17.91500,33.43600,871.81200,-316.28900,-95.43900,-58.48400,,-58.48400,0.78600,-469.42600,,,-314.23400,-314.23400,-45.54500,-359.77900,34.71600,144.50600
2015-12-31,321.40600,318.08800,136.57900,454.66700,-56.24700,22.00200,17.37900,793.45200,-444.98300,-141.14700,153.06000,,153.06000,-2.49400,-435.56400,,,-240.81500,-240.81500,-56.21400,-297.02900,50.82300,126.67700
2014-12-31,333.94800,262.86900,56.44300,319.31200,-58.39700,-31.49100,4.81000,658.07000,-318.62700,-386.53200,-479.39210,,-479.39210,5.74500,-1178.80600,637.55100,637.55100,-181.53800,-181.53800,-19.98600,436.02700,-95.24100,111.99600
2013-12-31,293.48700,184.43100,101.60200,286.03300,-67.18400,11.03900,-15.61200,563.90800,-260.07300,-30.65700,-19.75000,,-19.75000,-2.62800,-313.10800,,,-96.71200,-96.71200,-18.53100,-115.24300,131.90200,95.88400
2012-12-31,203.98900,204.16300,61.43800,265.60100,-2.10800,3.86600,60.43000,530.02000,-220.96500,-336.68000,-222.27700,,-222.27700,0.81200,-779.11000,,,-96.35400,-96.35400,-11.67500,-108.02900,-357.20800,90.58500
2011-12-31,200.90400,167.87800,104.88500,272.76300,-37.83700,3.23400,-27.38900,446.27800,-175.93900,-0.55000,-178.79700,532.91000,354.11300,-0.27400,177.35000,,,-298.76800,-298.76800,4.73000,-294.03800,327.33100,61.30500
2010-12-31,171.22000,143.74900,111.37400,255.12300,-23.56300,-20.23700,-23.88800,402.45500,-191.86900,-12.66800,-130.32200,-0.50000,-130.82200,,-335.35900,,,-46.64900,-46.64900,28.97300,-17.67600,50.56100,76.46800
2009-12-31,145.91300,123.33400,143.54100,266.87500,-1.15900,3.59500,11.62400,424.41200,-108.05400,-5.77900,-386.79200,141.54400,-245.24800,1.58300,-357.49800,,,-44.77300,-44.77300,2.23600,-42.53700,25.23100,58.79700
