,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1202.00000,1553.00000,1312.00000,2865.00000,-1627.00000,3400.00000,2194.00000,6261.00000,-1004.00000,1017.00000,-2934.00000,-2934.00000,,-2921.00000,-1130.00000,-1130.00000,-3026.00000,-3026.00000,-41.00000,-4197.00000,-884.00000,234.00000
2021-12-31,1336.00000,1476.00000,17.00000,1493.00000,-2453.00000,2688.00000,1376.00000,4205.00000,-910.00000,-466.00000,-1942.00000,-1942.00000,19.00000,-3299.00000,1833.00000,1833.00000,-262.00000,-262.00000,-209.00000,1362.00000,2257.00000,203.00000
2020-12-31,1794.00000,1259.00000,255.00000,1514.00000,-52.00000,1662.00000,2195.00000,5503.00000,-869.00000,-3583.00000,-2481.00000,-2481.00000,-22.00000,-6955.00000,1040.00000,1040.00000,-598.00000,-598.00000,-182.00000,260.00000,-1174.00000,281.00000
2019-12-31,1309.00000,643.00000,533.00000,1176.00000,-1076.00000,495.00000,-1002.00000,1483.00000,-730.00000,-36.00000,-766.00000,-766.00000,,-1532.00000,6918.00000,6918.00000,-75.00000,-75.00000,-11.00000,6832.00000,6781.00000,177.00000
2018-12-31,894.00000,495.00000,16.00000,511.00000,-1173.00000,1535.00000,-171.00000,1234.00000,-675.00000,-2055.00000,-1855.00000,-1855.00000,,-4585.00000,1994.00000,1994.00000,2708.00000,2708.00000,-90.00000,4612.00000,1261.00000,145.00000
2017-12-31,808.00000,361.00000,27.00000,388.00000,-50.00000,290.00000,293.00000,1489.00000,-422.00000,-50.00000,-794.00000,-794.00000,12.00000,-1254.00000,47.00000,47.00000,-65.00000,-65.00000,-64.00000,-82.00000,153.00000,135.00000
2016-12-31,561.00000,278.00000,233.00000,511.00000,74.00000,303.00000,779.00000,1851.00000,-306.00000,-1297.00000,-866.00000,-866.00000,,-2469.00000,2870.00000,2870.00000,-63.00000,-63.00000,-90.00000,2717.00000,2098.00000,148.00000
2015-12-31,357.00000,149.00000,10.00000,159.00000,-360.00000,463.00000,142.00000,658.00000,-150.00000,-18.00000,-652.00000,-652.00000,7.00000,-813.00000,342.00000,342.00000,-53.00000,-53.00000,16.00000,305.00000,150.00000,71.00000
2014-12-31,264.00000,89.00000,6.00000,95.00000,-463.00000,821.00000,864.00000,1223.00000,-103.00000,-136.00000,-609.00000,-609.00000,,-848.00000,201.00000,201.00000,-29.00000,-29.00000,26.00000,198.00000,572.00000,48.00000
2013-12-31,166.00000,67.00000,35.00000,102.00000,-143.00000,105.00000,114.00000,382.00000,-68.00000,-63.00000,-211.00000,-211.00000,,-342.00000,139.00000,139.00000,5.00000,5.00000,10.00000,154.00000,194.00000,37.00000
2012-12-31,-11.00000,66.00000,21.00000,87.00000,-117.00000,342.00000,203.00000,279.00000,-82.00000,,-106.00000,-106.00000,,-188.00000,182.00000,182.00000,3.00000,3.00000,-6.00000,179.00000,270.00000,25.00000
2011-12-31,108.36300,58.32700,28.69000,87.01700,-11.30600,38.73300,66.31600,261.69600,-73.70800,-4.37500,-50.99300,-50.99300,,-129.07600,2.90000,2.90000,8.00600,8.00600,-3.99400,6.91200,139.53200,18.17100
2010-12-31,98.27100,52.00000,15.18400,67.18400,-23.35900,-10.56200,3.47700,168.93200,-118.55600,-60.38800,-45.08300,-45.08300,13.42000,-210.60700,22.81000,22.81000,104.72900,104.72900,-55.45000,72.08900,30.41400,13.87400
2009-12-31,86.24500,44.00400,18.18900,62.19300,2.37900,158.29300,99.75700,248.19500,-83.11300,-38.56300,-148.41090,-148.41090,,-270.08700,42.84000,42.84000,-3.93900,-3.93900,7.64400,46.54500,24.65300,14.63400
