,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2023-01-31,2780.00000,2700.00000,974.00000,3674.00000,,403.00000,-2237.00000,22.00000,-2436.00000,4018.00000,-5520.00000,,16.00000,-5504.00000,2462.00000,,2462.00000,-2822.00000,-2822.00000,-1836.00000,,-2196.00000,-3682.00000,220.00000,-1836.00000
2022-01-31,6946.00000,2642.00000,482.00000,3124.00000,,-3249.00000,2628.00000,-78.00000,-1445.00000,8625.00000,-3517.00000,356.00000,7.00000,-3154.00000,825.00000,,825.00000,-7348.00000,-7348.00000,-1548.00000,,-8071.00000,-2600.00000,228.00000,-1548.00000
2021-01-31,4368.00000,2485.00000,614.00000,3099.00000,,-1661.00000,2925.00000,-137.00000,3058.00000,10525.00000,-2607.00000,,16.00000,-2591.00000,65.00000,,65.00000,-722.00000,-722.00000,-1343.00000,,-2000.00000,5934.00000,200.00000,-1343.00000
2020-01-31,3281.00000,2604.00000,370.00000,2974.00000,,505.00000,140.00000,18.00000,862.00000,7117.00000,-2964.00000,,20.00000,-2944.00000,-330.00000,,-330.00000,-1492.00000,-1492.00000,-1330.00000,,-3152.00000,1021.00000,147.00000,-1330.00000
2019-01-31,2937.00000,2474.00000,545.00000,3019.00000,,-900.00000,1127.00000,-299.00000,17.00000,5973.00000,-3431.00000,,15.00000,-3416.00000,-281.00000,,-281.00000,-2028.00000,-2028.00000,-1335.00000,,-3644.00000,-1087.00000,132.00000,-1335.00000
2018-01-31,2914.00000,2476.00000,323.00000,2799.00000,,-348.00000,1307.00000,-156.00000,1222.00000,6935.00000,-2502.00000,-518.00000,-55.00000,-3075.00000,-1453.00000,,-1453.00000,-938.00000,-938.00000,-1338.00000,,-3729.00000,131.00000,112.00000,-1338.00000
2017-01-31,2734.00000,2318.00000,603.00000,2921.00000,,293.00000,-166.00000,56.00000,-211.00000,5444.00000,-1501.00000,,28.00000,-1473.00000,-672.00000,,-672.00000,-3485.00000,-3485.00000,-1348.00000,,-5505.00000,-1534.00000,113.00000,-1348.00000
2016-01-31,3363.00000,2213.00000,-108.00000,2105.00000,,-316.00000,-362.00000,221.00000,490.00000,5958.00000,-1410.00000,1875.00000,43.00000,508.00000,-85.00000,,-85.00000,-3183.00000,-3183.00000,-1362.00000,,-4630.00000,1836.00000,115.00000,-1362.00000
2015-01-31,-1636.00000,2129.00000,3796.00000,5925.00000,,-512.00000,803.00000,-115.00000,176.00000,4465.00000,-1691.00000,-20.00000,-215.00000,-1926.00000,-86.00000,-80.00000,-166.00000,347.00000,347.00000,-1205.00000,,-1024.00000,1515.00000,71.00000,-1205.00000
2014-01-31,1971.00000,1996.00000,29.00000,2025.00000,2860.00000,-504.00000,247.00000,-79.00000,2524.00000,6520.00000,-1816.00000,-157.00000,1702.00000,-271.00000,-3463.00000,-890.00000,-4353.00000,-1005.00000,-1005.00000,-1006.00000,,-6364.00000,-89.00000,106.00000,-1006.00000
2013-01-31,2999.00000,2044.00000,301.00000,2345.00000,-217.00000,160.00000,193.00000,-155.00000,-19.00000,5325.00000,-2280.00000,,-575.00000,-2855.00000,442.00000,-530.00000,-88.00000,-1515.00000,-1515.00000,-869.00000,-16.00000,-2488.00000,-10.00000,102.00000,-869.00000
2012-01-31,2929.00000,2131.00000,637.00000,2768.00000,-187.00000,-322.00000,232.00000,-204.00000,-263.00000,5434.00000,-4331.00000,,151.00000,-4180.00000,-1131.00000,1500.00000,369.00000,-1753.00000,-1753.00000,-750.00000,-6.00000,-2140.00000,-918.00000,90.00000,-750.00000
2011-01-31,2920.00000,2084.00000,937.00000,3021.00000,-78.00000,-417.00000,115.00000,-439.00000,-670.00000,5271.00000,-2060.00000,,316.00000,-1744.00000,-1248.00000,,-1248.00000,-2158.00000,-2158.00000,-609.00000,,-4015.00000,-488.00000,109.00000,-609.00000
2010-01-31,2488.00000,2023.00000,1795.00000,3818.00000,-57.00000,-474.00000,174.00000,-325.00000,-425.00000,5881.00000,-1696.00000,,-7.00000,-1703.00000,-1970.00000,,-1970.00000,-376.00000,-376.00000,-496.00000,,-2842.00000,1336.00000,103.00000,-496.00000
2009-01-31,2214.00000,1826.00000,1730.00000,3556.00000,-458.00000,77.00000,-389.00000,-340.00000,-1340.00000,4430.00000,-3508.00000,,-865.00000,-4373.00000,2102.00000,-500.00000,1602.00000,-2772.00000,-2772.00000,-465.00000,-8.00000,-1643.00000,-1586.00000,72.00000,-465.00000
