,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-01-31,2399.23200,641.31600,383.57700,1024.89300,-550.11400,98.73500,-54.96500,-558.31400,2865.81100,-1065.55700,,,-1065.55700,-6.40200,54.30000,47.89800,-2549.66900,-2549.66900,-392.18800,61.95700,-2832.00200,-1031.74800,78.17800,-392.18800
2021-01-31,2655.05000,574.23700,115.15500,689.39200,-575.82700,745.59600,-20.12700,531.71700,3876.15900,-1024.91000,,,-1024.91000,1489.67500,-425.20000,1064.47500,-2466.43400,-2466.43400,-355.92600,42.89300,-1714.99200,1136.25700,68.60900,-355.92600
2020-01-31,1712.55500,504.80400,112.28900,617.09300,-578.78300,428.62700,-21.41200,-91.65000,2237.99800,-782.48500,,,-782.48500,-1.46500,58.30000,56.83500,-1200.37600,-1200.37600,-327.56800,20.42900,-1450.68000,4.83300,48.58900,-327.56800
2019-01-31,1589.47200,454.13400,136.07400,590.20800,-521.34200,375.21400,-12.24900,-36.13000,2143.55000,-731.60300,,,-731.60300,-77.82600,-63.30000,-141.12600,-1007.49400,-1007.49400,-306.52300,11.24200,-1443.90100,-31.95400,40.87900,-306.52300
2018-01-31,1538.96000,404.23100,-88.73500,315.49600,-348.36300,427.91100,-51.03900,-52.34800,1802.10800,-645.02800,,,-645.02800,-153.12000,-60.30000,-213.42000,-579.71200,-579.71200,-282.93100,-1.49100,-1077.55400,79.52600,34.32300,-282.93100
2017-01-31,1251.13300,379.93100,45.70100,425.63200,-171.90800,56.47700,-25.54600,-71.72400,1605.04100,-550.93600,,,-550.93600,-3.13800,239.50000,236.36200,-990.47400,-990.47400,-281.13500,11.11000,-1024.13700,29.96800,36.96700,-281.13500
2016-01-31,1165.08000,352.43100,58.79600,411.22700,-290.00100,105.63700,-25.53100,-184.62100,1391.68600,-503.38300,,,-503.38300,-3.18100,251.00000,247.81900,-1299.61300,-1299.61300,-258.32800,-0.05700,-1310.17900,-421.87600,38.54700,-258.32800
2015-01-31,1065.34500,342.35300,28.15500,370.50800,-233.55900,97.16600,-26.60300,-108.96200,1326.89100,-371.69900,,,-371.69900,-78.46700,,-78.46700,-800.09500,-800.09500,,-2.37300,-880.93500,74.25700,37.33800,0.00000
2014-01-31,1025.11600,332.83700,-40.75600,292.08100,-144.94300,36.94200,-7.14700,-104.13200,1213.06500,-249.97800,,,-249.97800,177.18600,-130.90000,46.28600,-620.05200,-620.05200,,-24.56400,-598.33000,364.75700,20.96100,0.00000
2013-01-31,952.66200,302.91100,-31.29900,271.61200,-391.40900,194.03500,2.48200,-92.92200,1131.35200,-569.83600,,,-569.83600,21.74500,101.80000,123.54500,-671.45900,-671.45900,,1.08100,-546.83300,14.68300,21.66400,
2012-01-31,766.68500,275.40800,106.87300,382.28100,-291.49200,104.44200,-34.74900,-98.48600,1050.48000,-513.83500,,,-513.83500,-911.95100,184.70010,-727.25090,-186.59700,-186.59700,,5.88300,-907.96500,-371.32000,15.25000,
2011-01-31,627.85700,254.92700,81.16100,336.08800,-251.80900,123.42400,-11.35100,-139.26100,824.68400,-418.94700,,,-418.94700,-131.18000,,-131.18000,,,,0.81300,-130.36700,275.37000,15.95600,
2010-01-31,339.44200,256.77100,90.59700,347.36800,-100.24800,106.04900,-8.29800,-13.98700,672.82300,-248.04600,,,-248.04600,-784.18000,,-784.18000,443.75300,443.75300,-239.73100,-0.53800,-580.69600,-155.91900,17.29500,-239.73100
2009-01-31,108.18200,247.89900,135.54700,383.44600,-173.01400,140.35600,13.48600,83.55000,575.17800,-204.28000,51.64400,51.64400,-152.63600,-44.42500,-102.50000,-146.92500,1.21900,1.21900,,0.95000,-144.75600,277.78600,9.95800,
