,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,539.00000,1351.00000,458.00000,1809.00000,422.00000,56.00000,1414.00000,3790.00000,-3924.00000,,200.00000,200.00000,-22.00000,-3746.00000,-3085.00000,,-3085.00000,45.00000,45.00000,,8.00000,-3032.00000,-2988.00000,0.00000
2021-12-31,977.00000,1272.00000,4.00000,1276.00000,-701.00000,704.00000,41.00000,2322.00000,-505.00000,,-753.00000,-753.00000,-6.00000,-1264.00000,-905.00000,,-905.00000,51.00000,51.00000,,1213.00000,359.00000,1417.00000,0.00000
2020-12-31,-3074.00000,1255.00000,-891.00000,364.00000,-294.00000,1741.00000,1678.00000,-1127.00000,-87.00000,,-744.00000,-744.00000,815.00000,-16.00000,7083.00000,,7083.00000,1891.00000,1891.00000,-188.00000,872.00000,9658.00000,8515.00000,-188.00000
2019-12-31,2300.00000,1219.00000,-55.00000,1164.00000,-94.00000,427.00000,631.00000,3987.00000,-627.00000,,324.00000,324.00000,,-303.00000,-615.00000,,-615.00000,-1960.00000,-1960.00000,-372.00000,-43.00000,-2990.00000,694.00000,-372.00000
2018-12-31,2465.00000,1201.00000,287.00000,1488.00000,117.00000,264.00000,926.00000,4893.00000,-1922.00000,,-67.00000,-67.00000,-49.00000,-2038.00000,-372.00000,,-372.00000,-1965.00000,-1965.00000,-332.00000,173.00000,-2496.00000,359.00000,-332.00000
2017-12-31,3357.00000,1218.00000,-1053.00000,165.00000,-102.00000,397.00000,528.00000,3929.00000,-2123.00000,,-159.00000,-159.00000,-126.00000,-2408.00000,-2.00000,,-2.00000,-1571.00000,-1571.00000,-274.00000,141.00000,-1706.00000,-185.00000,-274.00000
2016-12-31,2183.00000,1221.00000,240.00000,1461.00000,-50.00000,643.00000,814.00000,4293.00000,-2038.00000,,-125.00000,-125.00000,-109.00000,-2272.00000,-85.00000,,-85.00000,-1721.00000,-1721.00000,-222.00000,104.00000,-1924.00000,97.00000,-222.00000
2015-12-31,2181.00000,1015.00000,4.00000,1019.00000,-88.00000,-373.00000,500.00000,3238.00000,-2041.00000,,237.00000,237.00000,-109.00000,-1913.00000,277.00000,,277.00000,-1134.00000,-1134.00000,-180.00000,13.00000,-1024.00000,301.00000,-180.00000
2014-12-31,1136.00000,938.00000,780.00000,1718.00000,54.00000,235.00000,325.00000,2902.00000,-1748.00000,,105.00000,105.00000,-84.00000,-1727.00000,-272.00000,,-272.00000,-845.00000,-845.00000,-139.00000,8.00000,-1248.00000,-73.00000,-139.00000
2013-12-31,754.00000,867.00000,45.00000,912.00000,-17.00000,411.00000,737.00000,2477.00000,-1433.00000,,63.00000,63.00000,-14.00000,-1384.00000,-318.00000,,-318.00000,-444.00000,-444.00000,-71.00000,-18.00000,-851.00000,242.00000,-71.00000
2012-12-31,421.00000,844.00000,62.00000,906.00000,-33.00000,463.00000,616.00000,2064.00000,-1348.00000,,515.00000,515.00000,,-833.00000,-578.00000,,-578.00000,-373.00000,-373.00000,-22.00000,26.00000,-947.00000,284.00000,-22.00000
2011-12-31,178.00000,715.00000,213.00000,928.00000,-26.00000,-129.00000,98.00000,1356.00000,-968.00000,-35.00000,-19.00000,-19.00000,,-1022.00000,-621.00000,,-621.00000,-205.00000,-205.00000,-14.00000,74.00000,-766.00000,-432.00000,-14.00000
2010-12-31,459.00000,614.00000,272.00000,886.00000,-26.00000,410.00000,577.00000,1561.00000,-493.00000,,-772.00000,-772.00000,,-1265.00000,-155.00000,-44.00000,-199.00000,55.00000,55.00000,-13.00000,8.00000,-149.00000,147.00000,-13.00000
2009-12-31,99.00000,604.00000,86.00000,690.00000,40.00000,-36.00000,63.00000,985.00000,-585.00000,,-986.00000,-986.00000,2.00000,-1569.00000,369.00000,-414.00000,-45.00000,20.00000,20.00000,-13.00000,368.00000,330.00000,-254.00000,-13.00000
