,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2023-01-31,11292.00000,10945.00000,2132.00000,13077.00000,240.00000,-528.00000,-1165.00000,2813.00000,29101.00000,-16687.00000,-740.00000,,,-295.00000,-17722.00000,2352.00000,-34.00000,2318.00000,-9854.00000,-9854.00000,-6558.00000,-2945.00000,-17039.00000,-5733.00000,-6558.00000
2022-01-31,13940.00000,10658.00000,4528.00000,15186.00000,-1796.00000,-11764.00000,5520.00000,-6597.00000,24181.00000,-12712.00000,-359.00000,,,7056.00000,-6015.00000,-6065.00000,193.00000,-5872.00000,-6548.00000,-6548.00000,-6576.00000,-3832.00000,-22828.00000,-2954.00000,-6576.00000
2021-01-31,13706.00000,11152.00000,1723.00000,12875.00000,-1086.00000,-2395.00000,6966.00000,7972.00000,36074.00000,-10049.00000,-180.00000,,,158.00000,-10071.00000,-5382.00000,-324.00000,-5706.00000,-2485.00000,-2485.00000,-6550.00000,-1376.00000,-16117.00000,8273.00000,-6550.00000
2020-01-31,15201.00000,10987.00000,-2587.00000,8400.00000,154.00000,-300.00000,-274.00000,-327.00000,25255.00000,-10384.00000,-56.00000,,,1312.00000,-9128.00000,3585.00000,-4656.00000,-1071.00000,-5665.00000,-5665.00000,-6603.00000,-960.00000,-14299.00000,1759.00000,-6603.00000
2019-01-31,7179.00000,10678.00000,7867.00000,18545.00000,-368.00000,-1311.00000,1831.00000,295.00000,27753.00000,-9825.00000,-14656.00000,,,445.00000,-24036.00000,12088.00000,-53.00000,12035.00000,-7410.00000,-7410.00000,-6533.00000,-629.00000,-2537.00000,742.00000,-6533.00000
2018-01-31,10523.00000,10529.00000,2832.00000,13361.00000,-1074.00000,-140.00000,4086.00000,3243.00000,28337.00000,-9673.00000,-375.00000,,,969.00000,-9079.00000,-5585.00000,4148.00000,-1437.00000,-8296.00000,-8296.00000,-6814.00000,-3328.00000,-19875.00000,-130.00000,-6814.00000
2017-01-31,14293.00000,10080.00000,761.00000,10841.00000,-402.00000,1021.00000,3942.00000,6333.00000,31673.00000,-10163.00000,-2463.00000,-1901.00000,-1901.00000,631.00000,-13896.00000,-1918.00000,-1673.00000,-3591.00000,-8298.00000,-8298.00000,-6695.00000,-488.00000,-19072.00000,-1747.00000,-6695.00000
2016-01-31,15080.00000,9454.00000,-672.00000,8782.00000,-19.00000,-703.00000,2008.00000,2280.00000,27552.00000,-10842.00000,,,,167.00000,-10675.00000,-4393.00000,1235.00000,-3158.00000,-4112.00000,-4112.00000,-7013.00000,-2002.00000,-16285.00000,-430.00000,-7013.00000
2015-01-31,17099.00000,9173.00000,-788.00000,8385.00000,-569.00000,-1229.00000,2678.00000,2295.00000,28564.00000,-11604.00000,,,,479.00000,-11125.00000,1270.00000,-6288.00000,-5018.00000,-1015.00000,-1015.00000,-6785.00000,-2253.00000,-15071.00000,1854.00000,-6785.00000
2014-01-31,16695.00000,8870.00000,-423.00000,8447.00000,-566.00000,-1667.00000,531.00000,-2823.00000,23257.00000,-12388.00000,,,,-138.00000,-12526.00000,2104.00000,911.00000,3015.00000,-6683.00000,-6683.00000,-6565.00000,-556.00000,-10789.00000,-500.00000,-6565.00000
2013-01-31,17756.00000,8478.00000,-185.00000,8293.00000,-614.00000,-2759.00000,1061.00000,-1060.00000,25591.00000,-12366.00000,,,,-271.00000,-12637.00000,-1267.00000,2754.00000,1487.00000,-7600.00000,-7600.00000,-5643.00000,-190.00000,-11946.00000,1231.00000,-5643.00000
2012-01-31,16387.00000,8106.00000,1071.00000,9177.00000,-796.00000,-3727.00000,2687.00000,-1777.00000,24255.00000,-12930.00000,,,,-3679.00000,-16609.00000,466.00000,3019.00000,3485.00000,-6298.00000,-6298.00000,-5048.00000,-597.00000,-8458.00000,-845.00000,-5048.00000
2011-01-31,16993.00000,7641.00000,-383.00000,7258.00000,-733.00000,-3205.00000,2676.00000,-1695.00000,23643.00000,-12210.00000,,,,17.00000,-12193.00000,7316.00000,503.00000,7819.00000,-14776.00000,-14776.00000,-4437.00000,-634.00000,-12028.00000,-512.00000,-4437.00000
2010-01-31,14883.00000,7157.00000,-425.00000,6732.00000,-297.00000,2213.00000,1052.00000,4316.00000,26249.00000,-11182.00000,,,,-438.00000,-11620.00000,-833.00000,-1033.00000,-1866.00000,-7276.00000,-7276.00000,-4217.00000,-832.00000,-14191.00000,632.00000,-4217.00000
2009-01-31,13880.00000,6739.00000,435.00000,7174.00000,-101.00000,-184.00000,-410.00000,1341.00000,23147.00000,-10785.00000,,,,43.00000,-10742.00000,827.00000,-3745.00000,-2918.00000,-3521.00000,-3521.00000,-3746.00000,267.00000,-9918.00000,1706.00000,-3746.00000
