,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,11261.00000,2455.00000,4386.00000,6841.00000,,53340.00000,35014.00000,-97748.00000,-9394.00000,8708.00000,-1042.00000,-2115.00000,-47575.00000,-47575.00000,-25228.00000,-75960.00000,40109.00000,-1962.00000,38147.00000,-3500.00000,-3500.00000,-3682.00000,28637.00000,59602.00000,-19211.00000,4083.00000,-3682.00000
2021-12-31,21635.00000,2015.00000,2710.00000,4725.00000,,41848.00000,21971.00000,-83881.00000,-20062.00000,6298.00000,-734.00000,,5789.00000,5789.00000,-35520.00000,-30465.00000,38314.00000,817.00000,39131.00000,-5200.00000,-5703.00000,-2725.00000,104035.00000,134738.00000,105194.00000,2348.00000,-2725.00000
2020-12-31,9459.00000,1902.00000,4184.00000,6086.00000,,11487.00000,-30895.00000,-14672.00000,-34080.00000,-18535.00000,-3339.00000,-231.00000,-19613.00000,-19613.00000,-11173.00000,-34356.00000,-3854.00000,10568.00000,6714.00000,-1928.00000,-1940.00000,-2336.00000,67942.00000,70380.00000,22296.00000,1920.00000,-2336.00000
2019-12-31,8466.00000,1704.00000,2729.00000,4433.00000,,-68913.00000,-7693.00000,87575.00000,10969.00000,23868.00000,-1811.00000,-803.00000,-11961.00000,-11961.00000,-9661.00000,-24236.00000,-21766.00000,-2036.00000,-23802.00000,-5335.00000,-5543.00000,-2104.00000,34816.00000,3367.00000,2999.00000,2018.00000,-2104.00000
2018-12-31,10459.00000,1328.00000,-300.00000,1028.00000,,-27322.00000,6416.00000,25983.00000,5077.00000,16564.00000,-4271.00000,-162.00000,-1323.00000,-1323.00000,-13064.00000,-18820.00000,4198.00000,2923.00000,7121.00000,-3256.00000,-3941.00000,-1810.00000,21382.00000,22752.00000,20496.00000,1831.00000,-1810.00000
2017-12-31,4286.00000,1152.00000,7770.00000,8922.00000,,-14882.00000,-26981.00000,8166.00000,-33697.00000,-20489.00000,-2610.00000,-2383.00000,-4350.00000,-4350.00000,-17034.00000,-26377.00000,30037.00000,-906.00000,29131.00000,-6765.00000,-6120.00000,-1769.00000,13964.00000,35206.00000,-11660.00000,1769.00000,-1769.00000
2016-12-31,7398.00000,998.00000,2847.00000,3845.00000,,15622.00000,-14723.00000,-5648.00000,-4749.00000,6494.00000,-2484.00000,14922.00000,1517.00000,1517.00000,-4280.00000,9675.00000,9847.00000,-2314.00000,7533.00000,-6072.00000,-4769.00000,-1706.00000,11045.00000,12103.00000,28272.00000,2111.00000,-1706.00000
2015-12-31,6083.00000,991.00000,2663.00000,3654.00000,,-757.00000,19132.00000,-18631.00000,-256.00000,9481.00000,-1605.00000,-1808.00000,1019.00000,1019.00000,-16180.00000,-18574.00000,18921.00000,-1236.00000,17685.00000,-3876.00000,-1883.00000,-1681.00000,13386.00000,27507.00000,18414.00000,2272.00000,-1681.00000
2014-12-31,8477.00000,1337.00000,2291.00000,3628.00000,,30523.00000,12328.00000,-62888.00000,-20037.00000,-7932.00000,-648.00000,-1732.00000,1514.00000,1514.00000,-14043.00000,-14909.00000,9372.00000,822.00000,10194.00000,-5346.00000,-3366.00000,-1454.00000,13625.00000,18999.00000,-3842.00000,2085.00000,-1454.00000
2013-12-31,8040.00000,1322.00000,1833.00000,3155.00000,,51869.00000,-3682.00000,-54839.00000,-6652.00000,4543.00000,-644.00000,-2274.00000,2582.00000,2582.00000,-8392.00000,-8728.00000,3352.00000,-5936.00000,-2584.00000,-6110.00000,-5119.00000,-1302.00000,1654.00000,-7351.00000,-11536.00000,2015.00000,-1302.00000
2012-12-31,7475.00000,1738.00000,469.00000,2207.00000,,-56833.00000,-20499.00000,80529.00000,3197.00000,12879.00000,-912.00000,-593.00000,512.00000,512.00000,-2741.00000,-3734.00000,-15590.00000,-412.00000,-16002.00000,-4323.00000,-1236.00000,-1086.00000,25840.00000,7516.00000,16661.00000,1319.00000,-1086.00000
2011-12-31,4442.00000,1869.00000,3575.00000,5444.00000,-3780.00000,7858.00000,13883.00000,-5346.00000,12615.00000,22501.00000,-1106.00000,-431.00000,3022.00000,3022.00000,-856.00000,629.00000,913.00000,-4975.00000,-4062.00000,-5680.00000,-9537.00000,-2771.00000,9460.00000,-6910.00000,16220.00000,2849.00000,-2771.00000
2010-12-31,8354.00000,1904.00000,5374.00000,7278.00000,201.00000,-5177.00000,-4637.00000,-11376.00000,-20989.00000,-5357.00000,-1155.00000,-804.00000,1774.00000,1774.00000,-800.00000,-985.00000,-1725.00000,13885.00000,12160.00000,-3602.00000,-3602.00000,-1443.00000,724.00000,7839.00000,1497.00000,4035.00000,-1443.00000
2009-12-31,13385.00000,1943.00000,1578.00000,3521.00000,6265.00000,66042.00000,-47414.00000,7076.00000,31969.00000,48875.00000,-1474.00000,-221.00000,134.00000,134.00000,,-1561.00000,-5555.00000,-20241.00000,-25796.00000,5158.00000,-4416.00000,-2205.00000,9589.00000,-22828.00000,24486.00000,2009.00000,-2205.00000
