,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-11-30,-6093.00000,2446.00000,815.00000,3261.00000,-171.00000,-95.00000,283.00000,805.00000,1163.00000,-1670.00000,-4870.00000,-97.00000,-4767.00000,5134.00000,-2590.00000,2544.00000,1188.00000,1188.00000,,-155.00000,3577.00000,-2940.00000,101.00000,0.00000
2021-11-30,-9501.00000,2405.00000,2029.00000,4434.00000,-7.00000,-63.00000,206.00000,221.00000,958.00000,-4109.00000,-3256.00000,-87.00000,-3543.00000,7086.00000,-293.00000,6793.00000,1027.00000,1027.00000,,-872.00000,6949.00000,-715.00000,121.00000,0.00000
2020-11-30,-10236.00000,2360.00000,4763.00000,7123.00000,125.00000,77.00000,-165.00000,-2912.00000,-3186.00000,-6301.00000,-3286.00000,46.00000,-3240.00000,13399.00000,2852.00000,16251.00000,3237.00000,3237.00000,-689.00000,-150.00000,18650.00000,9161.00000,105.00000,-689.00000
2019-11-30,2990.00000,2182.00000,94.00000,2276.00000,-114.00000,79.00000,34.00000,133.00000,212.00000,5475.00000,-5403.00000,126.00000,-5277.00000,2023.00000,-605.00000,1418.00000,-599.00000,-599.00000,-1387.00000,-86.00000,-655.00000,-465.00000,46.00000,-1387.00000
2018-11-30,3152.00000,2017.00000,16.00000,2033.00000,-58.00000,-67.00000,-24.00000,613.00000,364.00000,5549.00000,-3360.00000,-154.00000,-3514.00000,986.00000,417.00000,1403.00000,-1465.00000,-1465.00000,-1355.00000,-42.00000,-1460.00000,574.00000,65.00000,-1355.00000
2017-11-30,2606.00000,1846.00000,471.00000,2317.00000,6.00000,-49.00000,21.00000,348.00000,399.00000,5322.00000,-2944.00000,-178.00000,-3122.00000,-760.00000,-29.00000,-789.00000,-552.00000,-552.00000,-1087.00000,-24.00000,-2452.00000,-241.00000,63.00000,-1087.00000
2016-11-30,2779.00000,1738.00000,173.00000,1911.00000,-22.00000,1.00000,109.00000,377.00000,444.00000,5134.00000,-3036.00000,-287.00000,-3323.00000,264.00000,447.00000,711.00000,-2300.00000,-2300.00000,-977.00000,-25.00000,-2591.00000,-792.00000,55.00000,-977.00000
2015-11-30,1757.00000,1626.00000,663.00000,2289.00000,4.00000,5.00000,36.00000,485.00000,499.00000,4545.00000,-2294.00000,-184.00000,-2478.00000,803.00000,-633.00000,170.00000,-269.00000,-269.00000,-816.00000,-27.00000,-942.00000,1064.00000,55.00000,-816.00000
2014-11-30,1216.00000,1637.00000,360.00000,1997.00000,75.00000,1.00000,9.00000,514.00000,217.00000,3430.00000,-2541.00000,34.00000,-2507.00000,-840.00000,617.00000,-223.00000,,,-776.00000,-29.00000,-1028.00000,-131.00000,52.00000,-776.00000
2013-11-30,1055.00000,1590.00000,231.00000,1821.00000,-128.00000,21.00000,79.00000,319.00000,-42.00000,2834.00000,-2079.00000,23.00000,-2056.00000,475.00000,4.00000,479.00000,-103.00000,-103.00000,-1164.00000,8.00000,-780.00000,-3.00000,42.00000,-1164.00000
2012-11-30,1298.00000,1527.00000,280.00000,1807.00000,-15.00000,-16.00000,-24.00000,141.00000,-106.00000,2999.00000,-2286.00000,514.00000,-1772.00000,-106.00000,-224.00000,-330.00000,-90.00000,-90.00000,-779.00000,9.00000,-1190.00000,15.00000,39.00000,-779.00000
2011-11-30,1912.00000,1522.00000,94.00000,1616.00000,-43.00000,-54.00000,67.00000,309.00000,238.00000,3766.00000,-2696.00000,50.00000,-2646.00000,454.00000,-450.00000,4.00000,-454.00000,-454.00000,-671.00000,28.00000,-1093.00000,21.00000,46.00000,-671.00000
2010-11-30,1978.00000,1416.00000,28.00000,1444.00000,106.00000,-12.00000,-36.00000,257.00000,396.00000,3818.00000,-3579.00000,78.00000,-3501.00000,-818.00000,626.00000,-192.00000,21.00000,21.00000,-237.00000,4.00000,-404.00000,-109.00000,43.00000,-237.00000
2009-11-30,1790.00000,1309.00000,87.00000,1396.00000,81.00000,10.00000,74.00000,-38.00000,156.00000,3342.00000,-3380.00000,-4.00000,-3384.00000,443.00000,-288.00000,155.00000,8.00000,8.00000,-314.00000,58.00000,-93.00000,-112.00000,50.00000,-314.00000
