,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,779.43700,193.84100,85.94500,279.78600,19.34600,-311.68100,-168.10900,-708.07600,351.14700,-134.83500,-21.20100,-42.78400,-13.92200,,-13.92200,-17.17600,-229.91800,122.00000,122.00000,47.38400,47.38400,-245.34100,-52.40600,-128.36300,-21.56800,65.25700,-245.34100
2021-06-30,474.50500,191.51800,69.29000,260.80800,-129.19500,-21.95400,-58.15400,1.40500,736.71800,-102.71200,-14.11400,-39.06700,-21.78800,,-21.78800,19.21900,-158.46200,-522.00000,-522.00000,37.79000,37.79000,-226.71300,-53.70900,-764.63200,-167.87800,63.92700,-226.71300
2020-06-30,621.67400,181.37300,97.12900,278.50200,54.38300,-69.88100,-58.99900,-97.92100,802.25500,-95.33000,-10.60800,-27.91000,-31.61600,,-31.61600,-14.39700,-179.86100,-94.01200,-94.01200,48.18200,48.18200,-225.09300,-46.36300,-317.28600,316.02800,57.55900,-225.09300
2019-06-30,404.59200,150.79500,80.71800,231.51300,-18.01300,-84.18800,-47.57500,-177.05400,459.05100,-68.71000,-8.63200,-951.38300,-46.71700,,-46.71700,-0.26400,-1075.70600,807.48500,807.48500,13.88300,13.88300,-211.71200,-29.01300,580.64300,-41.57300,52.07300,-211.71200
2018-06-30,315.58800,119.96000,60.41600,180.37600,-32.35600,1.49400,-160.72600,9.06200,505.02600,-62.58100,-8.87600,-0.90200,-14.49500,,-14.49500,-14.97000,-101.82400,-796.24190,-796.24190,-15.08400,-15.08400,-199.49700,-15.87100,-1026.69400,-633.23400,48.41200,-199.49700
2017-06-30,342.28400,112.15700,49.49600,161.65300,-63.60400,-41.59900,-19.25700,-89.88400,414.05300,-62.21900,-9.25700,-7.27400,-6.46400,,-6.46400,3.32400,-81.89000,-95.00000,-95.00000,38.32000,38.32000,-186.34600,-19.84100,-262.86700,90.50100,45.92500,-186.34600
2016-06-30,352.40900,86.84900,46.98700,133.83600,-27.30700,30.49200,12.12100,61.68800,547.93300,-58.53400,-9.29500,-1041.86400,-8.49700,,-8.49700,-7.56400,-1125.75400,856.30600,856.30600,-74.36400,-74.36400,-168.13000,-1.22800,612.58400,14.18500,46.40800,-168.13000
2015-06-30,352.88600,73.05600,22.05500,95.11100,-28.25900,-99.52400,-22.84900,-64.81700,383.18000,-62.50200,-9.44200,-29.40700,-9.81300,,-9.81300,-31.90700,-143.07100,-1.53600,-1.53600,-121.49400,-121.49400,-157.26200,24.50100,-255.79100,-188.48100,47.85500,-157.26200
2014-06-30,345.27300,73.45400,20.83900,94.29300,-35.10800,-15.85100,5.81400,-48.29800,391.26800,-72.72200,-8.43400,-3.85200,-10.85000,,-10.85000,0.87100,-94.98700,-2.20100,-2.20100,-168.81500,-168.81500,-141.51800,15.21800,-297.31600,29.68200,43.45700,-141.51800
2013-06-30,307.13300,78.28000,18.49800,96.77800,-37.26700,27.14300,-28.67800,-1.08800,402.82300,-63.57900,-8.20300,-5.41800,-2.22500,,-2.22500,1.42500,-78.00000,49.77900,49.77900,-117.01900,-117.01900,-97.20400,10.51700,-153.92700,66.50700,38.15700,-97.20400
2012-06-30,254.85000,85.85600,8.56100,94.41700,-20.29300,18.80600,-37.93800,33.89200,383.15900,-47.13500,-13.97200,-53.32200,-4.29700,,-4.29700,17.11100,-101.61500,144.39900,144.39900,-330.25200,-330.25200,,8.74800,-177.10500,74.27400,30.58600,
2011-06-30,226.98600,70.61600,1.29500,71.91100,-30.79900,11.39400,12.03400,-15.70700,283.19000,-66.60900,-6.43100,-22.45000,-2.42600,3.95000,1.52400,17.45500,-76.51100,-25.16100,-25.16100,-68.69200,-68.69200,,14.51000,-79.34300,246.49100,30.80900,
2010-06-30,190.08500,61.56300,16.04800,77.61100,-24.74200,-32.27200,-16.01200,-79.48300,188.21300,-56.85500,-4.78600,-10.66000,0.00000,1.05000,1.05000,12.94000,-58.31100,-38.43800,-38.43800,-35.86000,-35.86000,,13.16900,-61.12900,73.12600,29.73400,
2009-06-30,146.44800,53.96300,15.34100,69.30400,-32.89700,-16.14100,20.91600,23.12500,238.87700,-107.92900,-4.52800,-2.39400,-2.26700,,-2.26700,7.81900,-109.29900,41.70200,41.70200,-43.70100,-43.70100,,3.87000,1.87100,94.57200,25.51500,
