,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1320.00000,4451.00000,-360.00000,4091.00000,-1091.00000,-1401.00000,1310.00000,-1210.00000,-1846.00000,3565.00000,-450.00000,822.00000,1643.00000,,1643.00000,-16.00000,1999.00000,-312.00000,,-312.00000,-3941.00000,-3941.00000,989.00000,-3264.00000,2300.00000,1081.00000
2021-12-31,3162.00000,468.00000,665.00000,1133.00000,-640.00000,-556.00000,808.00000,-912.00000,-774.00000,3521.00000,-301.00000,,-378.00000,,-378.00000,-7.00000,-686.00000,,,,-1895.00000,-1895.00000,,-1895.00000,940.00000,379.00000
2020-12-31,2490.00000,368.00000,-856.00000,-488.00000,-219.00000,-417.00000,-648.00000,-221.00000,-931.00000,1071.00000,-294.00000,,-658.00000,,-658.00000,,-952.00000,-200.00000,,-200.00000,7.00000,7.00000,199.00000,6.00000,125.00000,274.00000
2019-12-31,341.00000,288.00000,406.00000,694.00000,-623.00000,-137.00000,160.00000,-162.00000,-542.00000,493.00000,-217.00000,,41.00000,,41.00000,27.00000,-149.00000,-473.00000,,-473.00000,517.00000,517.00000,-1.00000,43.00000,387.00000,197.00000
2018-12-31,337.00000,208.00000,216.00000,424.00000,-834.00000,-151.00000,35.00000,-70.00000,-727.00000,34.00000,-163.00000,,-78.00000,,-78.00000,71.00000,-170.00000,-41.00000,,-41.00000,64.00000,64.00000,5.00000,28.00000,-108.00000,137.00000
2017-12-31,-33.00000,180.00000,109.00000,289.00000,-103.00000,-3.00000,43.00000,-173.00000,-244.00000,12.00000,-113.00000,,,,,59.00000,-54.00000,-110.00000,70.00000,-40.00000,20.00000,20.00000,-13.00000,-33.00000,-75.00000,97.00000
2016-12-31,-498.00000,154.00000,253.00000,407.00000,179.00000,-48.00000,,-163.00000,172.00000,81.00000,-77.00000,,,342.00000,342.00000,12.00000,277.00000,-331.00000,-230.00000,-561.00000,687.00000,687.00000,-4.00000,122.00000,480.00000,86.00000
2015-12-31,-660.00000,178.00000,143.00000,321.00000,280.00000,-11.00000,27.00000,-27.00000,113.00000,-226.00000,-88.00000,,,235.00000,235.00000,,147.00000,-44.00000,100.00000,56.00000,5.00000,5.00000,-2.00000,59.00000,-20.00000,63.00000
2014-12-31,-403.00000,203.00000,280.00000,483.00000,7.00000,199.00000,-146.00000,-7.00000,-178.00000,-98.00000,-95.00000,,,83.00000,83.00000,,-12.00000,40.00000,,40.00000,4.00000,4.00000,2.00000,46.00000,-64.00000,81.00000
2013-12-31,-83.00000,236.00000,147.00000,383.00000,-200.00000,-322.00000,-89.00000,-103.00000,-448.00000,-148.00000,154.00000,,,301.00000,301.00000,,455.00000,,,,3.00000,3.00000,10.00000,13.00000,320.00000,91.00000
2012-12-31,-1183.00000,260.00000,365.00000,625.00000,290.00000,-83.00000,277.00000,-32.00000,220.00000,-338.00000,-133.00000,-281.00000,,404.00000,404.00000,-9.00000,-19.00000,2.00000,,2.00000,14.00000,14.00000,21.00000,37.00000,-320.00000,97.00000
2011-12-31,491.00000,317.00000,-174.00000,143.00000,-347.00000,157.00000,-28.00000,114.00000,-252.00000,382.00000,-234.00000,,,140.00000,140.00000,-19.00000,-113.00000,-39.00000,,-39.00000,18.00000,18.00000,15.00000,-6.00000,263.00000,90.00000
2010-12-31,471.00000,383.00000,229.00000,612.00000,-1138.00000,-144.00000,55.00000,-86.00000,-1495.00000,-412.00000,-147.00000,,,-91.00000,-91.00000,-885.00000,-1123.00000,-1074.00000,,-1074.00000,1535.00000,1535.00000,23.00000,484.00000,-1051.00000,87.00000
2009-12-31,293.00000,1018.00000,201.00000,1219.00000,-960.00000,89.00000,,-35.00000,-1039.00000,473.00000,-466.00000,,,-869.00000,-869.00000,62.00000,-1273.00000,509.00000,,509.00000,125.00000,1216.00000,-201.00000,1524.00000,724.00000,75.00000
