,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,862.00000,397.00000,-126.00000,271.00000,9.00000,-55.00000,235.00000,140.00000,347.00000,1488.00000,-332.00000,-202.00000,87.00000,-447.00000,-234.00000,-14.00000,-248.00000,-823.00000,-823.00000,-17.00000,-3.00000,-1091.00000,-82.00000,-17.00000
2021-12-31,747.00000,390.00000,106.00000,496.00000,73.00000,45.00000,13.00000,211.00000,353.00000,1598.00000,-372.00000,38.00000,53.00000,-281.00000,-621.00000,-1.00000,-622.00000,-805.00000,-805.00000,-18.00000,-1.00000,-1446.00000,-137.00000,-18.00000
2020-12-31,309.00000,391.00000,187.00000,578.00000,60.00000,434.00000,-613.00000,46.00000,-135.00000,768.00000,-284.00000,-15.00000,51.00000,-248.00000,544.00000,,544.00000,-161.00000,-161.00000,-18.00000,-5.00000,360.00000,897.00000,-18.00000
2019-12-31,815.00000,416.00000,102.00000,518.00000,144.00000,-292.00000,280.00000,-99.00000,-398.00000,1014.00000,-330.00000,-2.00000,66.00000,-266.00000,-2.00000,,-2.00000,-479.00000,-479.00000,-18.00000,-3.00000,-502.00000,250.00000,-18.00000
2018-12-31,1222.00000,437.00000,-349.00000,88.00000,72.00000,41.00000,-63.00000,-102.00000,-308.00000,1107.00000,-355.00000,784.00000,191.00000,620.00000,-131.00000,,-131.00000,-1709.00000,-1709.00000,-20.00000,-4.00000,-1864.00000,-155.00000,-20.00000
2017-12-31,307.00000,447.00000,365.00000,812.00000,-169.00000,412.00000,-156.00000,-321.00000,-269.00000,936.00000,-423.00000,-331.00000,109.00000,-645.00000,195.00000,,195.00000,-530.00000,-530.00000,-21.00000,-4.00000,-360.00000,-36.00000,-21.00000
2016-12-31,962.00000,449.00000,-33.00000,416.00000,42.00000,-352.00000,215.00000,10.00000,-555.00000,925.00000,-446.00000,-186.00000,196.00000,-436.00000,68.00000,,68.00000,-205.00000,-205.00000,-22.00000,-9.00000,-168.00000,293.00000,-22.00000
2015-12-31,697.00000,461.00000,8.00000,469.00000,76.00000,-239.00000,43.00000,33.00000,-171.00000,1090.00000,-420.00000,-81.00000,113.00000,-388.00000,-295.00000,,-295.00000,-187.00000,-187.00000,-22.00000,,-504.00000,183.00000,-22.00000
2014-12-31,600.00000,459.00000,-17.00000,442.00000,206.00000,-209.00000,-228.00000,13.00000,71.00000,1208.00000,-429.00000,-1628.00000,138.00000,-1919.00000,663.00000,,663.00000,-290.00000,-290.00000,-28.00000,-10.00000,335.00000,-389.00000,-28.00000
2013-12-31,498.00000,389.00000,83.00000,472.00000,119.00000,-118.00000,65.00000,-25.00000,-225.00000,810.00000,-266.00000,-196.00000,198.00000,-264.00000,-823.00000,,-823.00000,31.00000,31.00000,-22.00000,72.00000,-742.00000,-202.00000,-22.00000
2012-12-31,589.00000,383.00000,155.00000,538.00000,128.00000,-316.00000,179.00000,-233.00000,-286.00000,927.00000,-480.00000,-11.00000,869.00000,378.00000,-511.00000,,-511.00000,-253.00000,-253.00000,-17.00000,,-781.00000,528.00000,-17.00000
2011-12-31,242.00000,403.00000,439.00000,842.00000,272.00000,-127.00000,211.00000,-376.00000,-147.00000,1063.00000,-423.00000,-14.00000,1280.00000,843.00000,-1879.00000,,-1879.00000,3.00000,3.00000,-22.00000,-53.00000,-1951.00000,-46.00000,-22.00000
2010-12-31,86.00000,393.00000,348.00000,741.00000,423.00000,-10.00000,54.00000,-170.00000,48.00000,984.00000,-141.00000,-57.00000,1747.00000,1549.00000,-3477.00000,,-3477.00000,,,-22.00000,6.00000,-3493.00000,-961.00000,-22.00000
2009-12-31,-31.00000,409.00000,234.00000,643.00000,194.00000,803.00000,-535.00000,-250.00000,290.00000,1015.00000,-2.00000,,1941.00000,1939.00000,-308.00000,-1637.00000,-1945.00000,333.00000,333.00000,-21.00000,,-1633.00000,1345.00000,-21.00000
