,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1352.44600,75.46700,-22.27900,53.18800,-401.53100,-638.94800,31.43600,-14.39000,-912.82100,492.81300,-44.64400,-145.08700,418.74900,-12.69100,406.05800,,216.32700,,,-621.87600,-621.87600,-32.72500,-654.60100,50.92800,230.93400
2021-12-31,840.85400,77.18100,104.69700,181.87800,-126.96900,-170.44900,66.68100,142.92600,-6.87600,1015.85600,-64.73600,,-842.19200,-19.93300,-862.12490,1.29900,-925.56200,,,-344.40000,-344.40000,-16.48200,-360.88200,-272.40400,186.87500
2020-12-31,634.55700,45.53900,140.70400,186.24300,10.67300,-235.31800,41.16100,66.45300,-85.68600,735.11400,-15.38400,-227.42000,-369.39700,3.39900,-365.99800,,-608.80200,,,-337.61700,-337.61700,-8.72200,-346.33900,-218.06100,137.04200
2019-12-31,859.86700,26.07800,36.29100,62.36900,-60.21000,20.92700,-1.93700,42.12900,40.79800,963.03400,-15.75100,-1.36500,-295.17600,28.22000,-266.95600,,-284.07200,,,-208.76400,-208.76400,-9.20000,-217.96400,461.35100,101.28000
2018-12-31,328.11500,24.31100,47.10600,71.41700,-77.91600,51.05400,39.33700,106.01000,103.58700,503.11900,-23.83000,-96.82100,-626.46200,-8.00000,-634.46200,,-755.11300,,,53.65800,53.65800,-10.80700,42.85100,-210.53300,91.20200
2017-12-31,423.20100,22.09200,83.85300,105.94500,5.77300,-69.70800,-30.10400,133.06400,102.48100,631.62700,-15.27900,,-379.04100,,-379.04100,3.00000,-391.32000,,,57.11100,57.11100,-5.64200,51.46900,292.52900,75.42700
2016-12-31,184.18900,21.24200,37.31200,58.55400,-108.85600,-144.36100,38.67800,72.81200,-68.44800,174.29500,-21.41900,,-301.85600,-2.50000,-304.35600,,-325.77500,,,35.18100,35.18100,-2.43600,32.74500,-119.19900,59.03200
2015-12-31,121.10200,15.14200,20.89400,36.03600,-47.28100,-14.12300,9.03700,80.59700,80.64600,237.78400,-19.98900,,208.20000,,208.20000,-4.04100,184.17000,,,26.94000,26.94000,-1.08600,25.85400,447.29500,45.30300
2014-12-31,86.85000,10.89600,0.08900,10.98500,-18.98400,-13.42500,14.00700,29.19100,34.04000,131.87500,-13.13400,,-210.01900,,-210.01900,-26.20900,-249.36200,-20.00000,-20.00000,247.33500,247.33500,16.64300,243.97800,126.36700,27.61900
2013-12-31,42.46000,6.16200,0.44600,6.60800,-28.09800,-49.17900,3.86500,44.88400,-14.42000,34.64800,-20.31600,,,,,0.82500,-19.49100,,,9.00400,9.00400,0.88200,9.88600,25.00900,10.15900
2012-12-31,21.34900,2.81900,1.21200,4.03100,-22.04300,-7.15300,3.84200,14.82200,0.92600,26.30600,-3.31200,,0.00000,,,-9.04000,-12.35200,,,3.88200,3.88200,0.09500,3.97700,17.93000,4.70300
2011-12-31,34.03500,2.12900,-1.09000,1.03900,-11.59600,-7.73300,1.43400,-12.68000,-22.64400,12.43000,-2.77000,,,,,,-2.77000,40.24200,40.24200,6.26300,6.26300,,46.50500,56.14700,1.97400
