,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,905.00000,171.00000,47.00000,218.00000,-15.00000,-43.00000,-283.00000,840.00000,-223.00000,,,,,-7.00000,-230.00000,190.00000,,190.00000,-913.00000,-913.00000,-326.00000,-17.00000,-1066.00000,-474.00000,49.00000,-326.00000
2021-12-31,478.00000,196.00000,480.00000,676.00000,-64.00000,-350.00000,-224.00000,930.00000,-128.00000,-52.00000,,,,168.00000,-12.00000,-3.00000,155.00000,152.00000,-1021.00000,-1021.00000,-254.00000,-175.00000,-1298.00000,-400.00000,61.00000,-254.00000
2020-12-31,1276.00000,135.00000,-560.00000,-425.00000,-141.00000,-89.00000,102.00000,953.00000,-113.00000,643.00000,,,,1.00000,531.00000,-2.00000,15.00000,13.00000,-701.00000,-701.00000,-168.00000,-30.00000,-886.00000,629.00000,45.00000,-168.00000
2019-12-31,980.00000,171.00000,-312.00000,-141.00000,-37.00000,58.00000,-6.00000,833.00000,-128.00000,722.00000,,,,-12.00000,582.00000,-8.00000,-201.00000,-209.00000,-869.00000,-869.00000,-186.00000,-27.00000,-1291.00000,138.00000,35.00000,-186.00000
2018-12-31,784.00000,177.00000,20.00000,197.00000,-46.00000,-11.00000,51.00000,1032.00000,-205.00000,-549.00000,108.00000,,108.00000,-5.00000,-651.00000,-1.00000,-114.00000,-115.00000,-654.00000,-654.00000,-223.00000,-28.00000,-1020.00000,-635.00000,27.00000,-223.00000
2017-12-31,580.00000,152.00000,170.00000,322.00000,-140.00000,-78.00000,-151.00000,751.00000,-149.00000,39.00000,112.00000,7.00000,119.00000,-34.00000,-25.00000,-3.00000,58.00000,55.00000,-331.00000,-331.00000,-164.00000,-137.00000,-577.00000,204.00000,38.00000,-164.00000
2016-12-31,536.00000,159.00000,184.00000,343.00000,-132.00000,-37.00000,-90.00000,789.00000,-180.00000,,40.00000,32.00000,72.00000,-16.00000,-124.00000,-1.00000,-411.00000,-412.00000,-458.00000,-458.00000,-159.00000,-80.00000,-1109.00000,-478.00000,29.00000,-159.00000
2015-12-31,394.00000,153.00000,268.00000,421.00000,-104.00000,17.00000,-5.00000,810.00000,-140.00000,-41.00000,26.00000,10.00000,36.00000,-44.00000,-189.00000,200.00000,-3.00000,197.00000,-454.00000,-454.00000,-162.00000,-102.00000,-521.00000,85.00000,41.00000,-162.00000
2014-12-31,903.00000,182.00000,-390.00000,-208.00000,-81.00000,-75.00000,-93.00000,602.00000,-112.00000,-2.00000,-20.00000,63.00000,43.00000,-29.00000,-100.00000,-2.00000,,-2.00000,-157.00000,-157.00000,-151.00000,13.00000,-297.00000,160.00000,47.00000,-151.00000
2013-12-31,329.00000,205.00000,73.00000,278.00000,-85.00000,-24.00000,38.00000,645.00000,-99.00000,10.00000,2.00000,16.00000,18.00000,-6.00000,-77.00000,-2.00000,-200.00000,-202.00000,-35.00000,-35.00000,-141.00000,-4.00000,-382.00000,183.00000,54.00000,-141.00000
2012-12-31,-79.00000,214.00000,110.00000,324.00000,-50.00000,-16.00000,36.00000,281.00000,-52.00000,9.00000,-2.00000,40.00000,38.00000,-24.00000,-29.00000,-1.00000,-395.00000,-396.00000,-8.00000,-8.00000,-147.00000,-25.00000,-576.00000,-313.00000,61.00000,-147.00000
2011-12-31,-533.00000,263.00000,511.00000,774.00000,-60.00000,-54.00000,-2.00000,239.00000,-127.00000,-10.00000,26.00000,45.00000,71.00000,-18.00000,-84.00000,-5.00000,-58.00000,-63.00000,-30.00000,-30.00000,-125.00000,-1.00000,-219.00000,-72.00000,61.00000,-125.00000
2010-12-31,-1002.00000,279.00000,1073.00000,1352.00000,80.00000,2.00000,115.00000,465.00000,-119.00000,,22.00000,,22.00000,-12.00000,-109.00000,-2.00000,135.00000,133.00000,-45.00000,-45.00000,-123.00000,-5.00000,-40.00000,302.00000,62.00000,-123.00000
2009-12-31,-145.00000,254.00000,354.00000,608.00000,20.00000,198.00000,242.00000,705.00000,-102.00000,,5.00000,,5.00000,-21.00000,-118.00000,-11.00000,,-11.00000,-11.00000,-11.00000,-182.00000,7.00000,-197.00000,385.00000,69.00000,-182.00000
