,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1696.70000,3402.60000,206.80000,3609.40000,-78.60000,-1489.70000,-1609.90000,3696.20000,-1873.60000,-549.00000,19.60000,,19.60000,47.80000,-2355.20000,-4141.90000,28.80000,-4113.10000,2305.30000,2305.30000,-2641.30000,3025.90000,-1423.20000,-202.60000,169.30000,-2641.30000
2021-12-31,2567.60000,2372.50000,-255.00000,2117.50000,-191.70000,250.40000,134.80000,4819.90000,-1376.70000,-19303.90000,14.30000,-25.00000,-10.70000,-0.90000,-20692.20000,13787.40000,-74.00000,13713.40000,2458.60000,2458.60000,-2494.20000,2746.70000,16424.50000,481.90000,119.50000,-2494.20000
2020-12-31,1691.50000,1915.20000,698.30000,2613.50000,-175.50000,-177.10000,-423.60000,3881.40000,-1031.70000,-3799.10000,19.60000,,19.60000,26.60000,-4784.60000,4220.10000,-68.20000,4151.89900,42.10000,42.10000,-1940.50000,-1038.20000,1215.30000,283.40000,120.80000,-1940.50000
2019-12-31,1916.60000,1804.30000,282.10000,2086.40000,12.50000,-248.50000,-250.40000,3752.60000,-991.30000,-2959.60000,27.60000,,27.60000,-64.20000,-3987.50000,2701.40000,-21.00000,2680.40000,85.90000,85.90000,-1614.80000,-629.80000,521.70000,273.10000,111.40000,-1614.80000
2018-12-31,1264.70000,2132.90000,364.70000,2497.60000,-32.10000,-59.60000,-14.00000,3748.30000,-913.20000,-1881.40000,97.90000,,97.90000,-52.80000,-2749.50000,963.39990,-3.30000,960.09990,-133.90000,-133.90000,-1342.40000,-91.50000,-607.70000,350.00000,137.50000,-1323.50000
2017-12-31,1225.40000,1735.90000,316.50000,2052.40000,-191.10000,-266.10000,-352.20000,2925.60000,-803.60000,-2007.00000,14.70000,,14.70000,-5.00000,-2800.90000,1549.00000,-75.30000,1473.70000,-646.60000,-646.60000,-1164.40000,224.30000,-113.00000,18.40000,108.50000,-1073.00000
2016-12-31,970.40000,1543.30000,293.80000,1837.10000,11.40000,-108.70000,-105.80000,2701.70000,-682.50000,-1411.30000,12.30000,,12.30000,-20.80000,-2102.30000,589.39990,,589.39990,92.50000,92.50000,-993.20000,212.00000,-99.30000,473.60000,89.90000,-886.10000
2015-12-31,672.00000,1292.20000,354.20000,1646.40000,-56.30000,-175.50000,-151.50000,2166.90000,-728.80000,-1961.10000,9.50000,,9.50000,-5061.30000,-7741.70000,2569.30000,9.00000,2578.30000,2491.00000,3828.90000,-795.50000,-18.60000,5593.10000,-10.80000,90.50000,-710.90000
2014-12-31,803.19900,998.93200,182.71400,1181.64600,-84.52900,154.04800,149.74400,2134.58900,-974.40400,-1010.63700,39.51500,,39.51500,-4.02200,-1949.54800,-209.82300,,-209.82300,62.27600,586.27000,-420.64400,-90.39400,-134.59100,19.91600,80.15300,-404.63100
2013-12-31,482.20800,807.74100,274.87600,1082.61700,-19.08000,-81.52000,34.22200,1599.04700,-724.53200,-4461.76400,-5.55300,,-5.55300,18.51200,-5173.33700,4072.63700,-21.04300,4051.59400,-99.51600,-99.51600,-434.68700,8.17400,3525.56500,-75.04200,68.13800,-434.68700
2012-12-31,594.02500,655.36600,144.91000,800.27600,-43.67900,16.85800,20.09000,1414.39100,-568.04800,-1997.95500,22.37600,,22.37600,-14.75800,-2558.38500,1549.40300,-55.26400,1494.13900,-7.28700,-7.28700,-355.57400,39.08800,1170.36600,38.42700,51.98300,-355.57400
2011-12-31,381.84000,568.60900,289.86000,858.46900,-28.85700,-153.56900,-74.36700,1165.94200,-523.01500,-2320.67300,27.38100,,27.38100,25.49500,-2790.81200,1321.70300,128.12100,1449.82400,-351.76000,-351.76000,-137.76500,125.79600,1086.09500,-553.77200,47.43700,-137.76500
2010-12-31,373.60600,470.13400,261.84700,731.98100,-18.97400,-83.87200,-84.61000,1020.97700,-346.66400,-899.60600,-30.47500,,-30.47500,-24.15700,-1300.90200,1215.19500,,1215.19500,-292.11000,-292.11000,,-12.75500,910.33000,636.67000,52.55500,
2009-12-31,247.12700,424.45700,241.54900,666.00600,-17.84400,-37.62700,-71.00700,842.12600,-250.26200,-295.60300,1.45900,,1.45900,1.34000,-543.06600,-31.19900,,-31.19900,-147.31500,-147.31500,,-16.42800,-194.94200,104.21600,60.67000,
