,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,114.53400,505.00000,237.23700,742.23710,-9.10400,-24.20800,4.34300,861.11400,-310.18800,,298.50100,-71.68600,226.81500,20.15600,-63.21700,-347.79600,,-347.79600,1.83400,-1.60700,-544.74000,-88.58800,-982.73100,-184.83400,-544.74000
2021-12-31,849.69600,395.32000,-572.61500,-177.29500,4.54800,46.63800,-53.52600,618.87500,-216.81100,-263.97300,0.37700,-31.79900,-31.42200,35.94700,-476.25900,260.09000,,260.09000,62.14700,62.14700,-382.13200,-41.24600,-101.14100,41.47500,-382.13200
2020-12-31,1002.87700,288.95500,-691.47000,-402.51500,-6.47300,-9.55200,-10.44900,589.91300,-225.73500,,0.93100,-26.80100,-25.87000,218.33200,-33.27300,245.84590,-200.00000,45.84600,-4.39800,-4.39800,-379.87400,-48.97300,-387.39900,169.24100,-379.87400
2019-12-31,413.56100,277.87900,-15.46500,262.41400,-34.16000,-54.57600,-92.34700,583.62800,-121.33900,,1.77900,-15.26200,-13.48300,14.40100,-120.42100,347.27700,100.00000,447.27700,200.04100,-374.95900,-531.56500,-23.59400,-482.84100,-19.63400,-531.56500
2018-12-31,498.46300,310.38000,-112.25400,198.12600,5.22900,-54.70700,-58.65300,637.93600,222.46200,-4.59200,0.89400,-2.13400,-1.24000,37.01500,253.64500,-481.98200,92.25400,-389.72800,-41.42100,-41.42100,-529.75600,-25.60800,-986.51300,-94.93200,-529.75600
2017-12-31,439.67100,360.81100,-142.81900,217.99200,-7.93400,-39.96500,-43.48200,614.18100,-339.59000,-10.01000,-6.67600,60.59100,53.91500,1.40500,-294.28000,203.69700,-17.14300,186.55400,440.94600,215.94600,-506.17200,-120.20200,-223.87400,96.02700,-506.17200
2016-12-31,386.13800,355.32000,-93.02800,262.29200,-6.57100,-41.87700,-56.33400,592.09600,-110.28700,-51.58800,-0.52900,-4.01100,-4.54000,331.79800,165.38300,-581.74210,26.44500,-555.29710,307.39500,307.39500,-474.04500,-82.58000,-804.52700,-47.04800,-474.04500
2015-12-31,900.14300,344.52700,-643.78800,-299.26100,-2.86700,-104.47800,-107.18100,493.70100,237.14400,-661.42300,75.91300,42.35900,118.27200,327.37200,21.36500,165.77100,-100.00000,65.77100,18.70800,-156.29200,-455.83300,33.50000,-512.85400,2.21200,-455.83300
2014-12-31,435.88000,273.09300,-2.32900,270.76400,-8.06000,-68.14600,-77.30100,629.34300,546.60600,-384.82800,-7.66500,102.76900,95.10400,-130.17700,126.70500,-221.64600,-94.35400,-316.00000,23.87400,23.87400,-427.87300,2.50500,-717.49400,38.55400,-427.87300
2013-12-31,241.35300,257.85500,141.96500,399.82000,7.21300,-88.51700,-71.13800,570.03500,-75.72000,,-7.18200,446.15500,438.97300,-291.01800,72.23500,-169.33100,-57.77500,-227.10600,30.21000,30.21000,-400.35400,-38.12700,-635.37700,6.89300,-400.35400
2012-12-31,280.27500,262.74200,-4.63100,258.11100,2.94000,-50.99100,-59.33200,479.05400,-102.93000,,0.15600,213.45100,213.60700,-161.67700,-51.00000,-111.24600,8.55900,-102.68700,765.80100,130.80100,-382.72200,-44.45300,-399.06100,28.99300,-382.72200
2011-12-31,182.09000,251.13900,50.45300,301.59200,-19.27100,-7.71600,-35.06900,448.61300,-201.05400,,188.00300,125.45200,313.45500,-133.16100,-20.76000,-160.87200,112.13700,-48.73500,0.53400,0.53400,-353.76400,-38.16000,-440.12500,-12.27200,-353.76400
2010-12-31,161.65100,247.63700,100.09200,347.72900,-17.38800,-27.86800,-29.44500,479.93500,22.11800,,21.41400,103.53800,124.95200,-109.16600,37.90400,-288.22800,-11.30900,-299.53700,177.83700,177.83700,-306.96400,-86.07900,-514.74300,3.09600,-306.96400
2009-12-31,6.06100,227.77600,265.30400,493.08000,-19.87800,-79.78200,-95.55900,403.58200,-460.67300,,80.58600,105.35800,185.94400,-68.50700,-343.23600,-185.68000,-576.69200,-762.37200,1064.44400,1064.44400,-331.02400,-45.51300,-74.46500,-14.11900,-331.02400
