,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,3322.00000,148.30000,318.80000,467.10000,-358.60000,-136.40000,120.80000,172.50000,340.80000,4129.90000,-204.70000,-295.90000,179.50000,179.50000,,-321.10000,-85.50000,,-85.50000,186.30000,186.30000,-168.50000,-67.70000,3711.90000,491.30000
2021-12-31,2342.10000,125.60000,281.00000,406.60000,-274.70000,-92.80000,31.90000,-75.00000,-105.20000,2643.50000,-235.00000,,-105.90000,-105.90000,,-340.90000,-24.40000,,-24.40000,-1323.40000,-1323.40000,-130.20000,-1478.00000,811.20000,441.40000
2020-12-31,2711.70000,109.50000,486.70000,596.20000,-223.40000,-132.00000,51.30000,127.50000,-54.40000,3253.50000,-259.80000,,359.20000,359.20000,,99.40000,-29.00000,,-29.00000,-274.20000,-274.20000,-202.10000,-505.30000,2868.20000,429.50000
2019-12-31,1176.80000,106.90000,351.70000,458.60000,-225.60000,-64.00000,-22.80000,73.40000,-66.10000,1569.30000,-75.40000,-1154.20000,33.60000,33.60000,-39.30000,-1235.30000,-29.20000,,-29.20000,157.20000,157.20000,-1.20000,126.80000,462.40000,360.50000
2018-12-31,2087.10300,72.42000,-1127.25700,-1054.83700,-108.15200,-31.96500,36.55400,38.82800,238.02000,1270.28600,-95.44900,,-83.81300,-83.81300,-22.89600,-202.15800,-12.54800,,-12.54800,-60.75000,-60.75000,2.07900,-71.21900,990.72700,325.04700
2017-12-31,91.63500,61.39700,679.14600,740.54300,-71.75900,-47.48400,8.75300,-131.92400,12.76400,844.94200,-99.42100,,-163.36700,-163.36700,-220.54100,-483.32900,11.06400,-300.00000,-288.93600,344.84000,344.84000,12.50000,68.40400,435.81900,293.23600
2016-12-31,-84.03100,61.39800,263.72400,325.12200,-39.09500,-19.36800,-11.74500,70.78500,-4.98800,236.10300,-56.56300,,127.86200,127.86200,-20.06100,51.23800,-6.42400,,-6.42400,68.23000,68.23000,71.46500,133.27100,415.94600,240.62300
2015-12-31,-588.18100,62.34300,246.35600,308.69900,-110.09800,-23.14600,-1.70900,-23.25100,-85.95000,-365.43200,-45.30200,-80.00000,434.40200,434.40200,-40.24400,268.85600,3.70800,,3.70800,185.59200,185.59200,-0.38100,188.91900,89.50900,231.02500
2014-12-31,-742.74500,63.25700,177.35200,240.60900,7.42800,-16.46900,25.04800,-41.30200,-70.97600,-573.11200,-51.20100,-10.00000,133.76600,133.76600,9.44400,82.00900,272.80000,,272.80000,274.61500,274.61500,1.82400,549.23900,55.96000,177.54200
2013-12-31,-687.55000,48.36500,592.66600,641.03100,53.36300,7.14200,-49.23400,-65.07200,-14.14700,-60.66600,-51.39300,,-62.42510,-62.42510,1.25700,-112.56100,-16.21500,,-16.21500,265.87800,265.87800,-1.25200,248.41100,79.89200,133.16300
2012-12-31,-51.13500,38.19100,292.60200,330.79300,39.91200,-29.92500,14.89200,-62.94300,-11.81700,267.84100,-71.14000,,-338.72800,-338.72800,-15.94900,-425.81700,-2.61500,,-2.61500,191.72100,191.72100,-16.90200,172.20400,14.08700,124.54600
2011-12-31,41.17900,35.04100,259.67900,294.72000,-170.60600,-111.38800,37.46800,-61.17800,-192.16400,143.73500,-34.59500,-60.00000,294.31200,294.31200,12.69500,212.41200,-155.00000,,-155.00000,124.86200,124.86200,-94.10000,-124.23800,232.12300,126.75100
2010-12-31,-754.62600,30.45900,152.50200,182.96100,-2.92300,,-1.18200,-66.46300,-63.77700,-635.44200,-38.05400,,50.08700,50.08700,-4.73200,7.30100,,,,33.43400,33.43400,391.62300,425.05700,-203.46100,97.67600
2009-12-31,-642.17800,30.10700,123.06100,153.16800,13.90000,,-15.05700,55.12700,61.42400,-427.58600,-23.49600,-87.42200,-397.75910,-397.75910,-0.05500,-508.73200,149.90200,,149.90200,849.23500,849.23500,-0.13100,999.00600,57.54300,92.76600
