,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,656.98200,581.86100,-27.98100,553.88000,-258.33800,-124.38300,-206.16300,996.02300,-734.00100,-8.30800,0.10000,0.10000,94.91300,-647.29600,615.95400,615.95400,-818.85000,-818.85000,-58.44900,-57.05500,-318.40000,21.90300,85.37800,-58.44900
2021-12-31,987.63200,533.21300,-45.79400,487.41900,-8.87300,-691.57300,-509.28100,883.69500,-855.65900,-79.99000,0.10000,0.10000,21.08300,-914.46600,217.10620,217.10620,-1207.50300,-1207.50300,-65.89600,-12.65700,-1068.95000,-1100.22000,73.68600,-65.89600
2020-12-31,952.79000,510.49300,-34.33300,476.16000,-145.90100,818.75800,822.05200,2360.16900,-731.30700,-43.84100,-2.77200,-2.77200,-24.64200,-802.56200,-160.96800,-160.96800,-194.40100,-194.40100,-17.34400,-12.14600,-384.85900,1173.48700,65.83700,-17.34400
2019-12-31,827.54300,490.39200,36.54700,526.93900,-42.05600,12.45900,76.28400,1438.46900,-634.09500,1.44500,-14.57900,-14.57900,-41.18100,-688.41000,-17.92200,-17.92200,-759.69800,-759.69800,-53.00300,-14.41300,-845.03600,-94.01800,69.43100,-53.00300
2018-12-31,797.88300,453.07600,-14.09400,438.98200,-42.23900,-6.73300,39.41300,1274.74200,-664.96200,-96.96200,-15.23100,-15.23100,29.90800,-747.24700,-39.24900,-39.24900,-387.22900,-387.22900,-37.34200,-28.38200,-492.20200,32.38800,66.58100,-37.34200
2017-12-31,771.31200,447.88300,-28.85900,419.02400,-24.71900,-43.10100,35.48000,1247.58500,-557.50600,-22.77000,-11.07600,-11.07600,-93.38000,-684.73200,-102.00600,-102.00600,-354.14700,-354.14700,-38.21100,-24.78900,-519.15300,45.34700,56.73800,-38.21100
2016-12-31,747.17100,416.60800,33.43400,450.04200,-87.88100,48.96700,55.49000,1333.84200,-541.41400,-613.80300,,,,-1155.21700,711.61710,711.61710,-343.87700,-343.87700,-38.87500,-500.03200,-171.16700,4.66800,48.10900,-38.87500
2015-12-31,750.69800,398.61800,-29.81200,368.80600,-45.81400,-118.92500,-74.53700,1068.26200,-379.32100,-530.26400,-3.30000,-3.30000,,-912.88500,166.23400,166.23400,-201.34100,-201.34100,-39.53200,-49.97000,-124.60900,29.15900,39.97100,-39.53200
2014-12-31,604.99600,375.62400,7.26000,382.88400,-105.70800,87.57900,45.54700,1035.87600,-391.15000,-416.20800,-12.00000,-12.00000,-13.48800,-832.84600,-49.12900,-49.12900,-93.88600,-93.88600,-29.66500,-14.74400,-187.42400,14.83100,31.09200,-29.66500
2013-12-31,554.02300,337.35600,-11.11500,326.24100,-49.70800,35.21800,-19.50800,884.24100,-358.49300,24.84600,,,-49.81100,-383.45800,-424.46300,-424.46300,-21.49300,-21.49300,-19.62100,-41.43900,-507.01600,-6.23300,27.78300,-19.62100
2012-12-31,489.04700,308.69000,-56.14700,252.54300,-71.06800,59.53000,51.27400,799.23100,-363.19200,-378.53600,,,-47.86200,-789.59000,63.85300,63.85300,-13.71900,-13.71900,-58.39500,-19.13800,-27.39900,-17.75800,22.51800,-58.39500
2011-12-31,448.87000,295.86100,13.36400,309.22500,-134.83800,8.77800,-46.02500,710.68300,-285.68200,38.12600,,,-38.24900,-285.80500,-283.41700,-283.41700,-55.70300,-55.70300,-19.46600,-54.53700,-413.12300,11.75500,18.22500,-19.46600
2010-12-31,275.79500,223.99700,-35.23500,188.76200,22.72600,-14.89800,35.97500,501.34400,-239.27400,-1936.83800,,,-17.97100,-2194.08300,1874.06000,1874.06000,-7.93400,-7.93400,-19.42200,-133.67100,1713.03300,20.29400,16.79900,-19.42200
2009-12-31,304.24700,204.70300,-29.10200,175.60100,-1.40200,17.39000,60.65900,541.26200,-379.74800,-2.72900,,,-7.95700,-390.43400,-40.43000,-40.43000,-59.99800,-59.99800,-16.70600,-29.97400,-147.10800,3.72000,13.09600,-16.70600
