,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,6113.00000,651.00000,292.00000,943.00000,1041.00000,433.00000,-46.00000,2027.00000,9083.00000,,46212.00000,-18429.00000,27783.00000,-41211.00000,-13428.00000,27849.00000,634.00000,28483.00000,-3663.00000,-1438.00000,-2692.00000,-20969.00000,3384.00000,-961.00000,-2391.00000
2021-12-31,5725.00000,1773.00000,-580.00000,1193.00000,-480.00000,671.00000,-648.00000,296.00000,7214.00000,-10511.00000,24212.00000,-28432.00000,-4220.00000,11936.00000,-2795.00000,-7989.00000,-2.00000,-7991.00000,-1013.00000,471.00000,-2289.00000,6377.00000,-3432.00000,987.00000,-2056.00000
2020-12-31,7558.00000,1497.00000,-4484.00000,-2987.00000,-372.00000,957.00000,-243.00000,88.00000,4659.00000,,-60022.00000,13628.00000,-46394.00000,-4728.00000,-51122.00000,-12573.00000,-12038.00000,-24611.00000,-1559.00000,-1559.00000,-2209.00000,76798.00000,48419.00000,1956.00000,-1980.00000
2019-12-31,5418.00000,1315.00000,1190.00000,2505.00000,-123.00000,560.00000,-1129.00000,-560.00000,7363.00000,75.00000,-7621.00000,-2413.00000,-10034.00000,-15031.00000,-24990.00000,-6582.00000,8565.00000,1983.00000,-3488.00000,-3488.00000,-2131.00000,20716.00000,17080.00000,-547.00000,-1895.00000
2018-12-31,5346.00000,1129.00000,188.00000,1317.00000,1635.00000,-893.00000,140.00000,1177.00000,7840.00000,,11865.00000,-7448.00000,4417.00000,-8386.00000,-3969.00000,-3353.00000,1812.00000,-1541.00000,-2808.00000,-2808.00000,-1837.00000,2674.00000,-3512.00000,359.00000,-1601.00000
2017-12-31,5388.00000,1117.00000,-366.00000,751.00000,-1148.00000,305.00000,987.00000,-560.00000,5579.00000,-1342.00000,-3129.00000,119.00000,-3010.00000,-10543.00000,-14895.00000,6101.00000,411.00000,6512.00000,-2315.00000,-2315.00000,-1502.00000,6991.00000,9686.00000,370.00000,-1266.00000
2016-12-31,3985.00000,1193.00000,451.00000,1644.00000,-935.00000,-1167.00000,-679.00000,-2129.00000,3500.00000,,4961.00000,-6074.00000,-1113.00000,-6194.00000,-7307.00000,-1586.00000,290.00000,-1296.00000,-1911.00000,-1392.00000,-1270.00000,8579.00000,4621.00000,814.00000,-1061.00000
2015-12-31,4143.00000,1088.00000,357.00000,1445.00000,393.00000,203.00000,1129.00000,-63.00000,5525.00000,,1714.00000,-14588.00000,-12874.00000,-3386.00000,-16260.00000,4200.00000,-6567.00000,-2367.00000,-2013.00000,-2513.00000,-1257.00000,16577.00000,10440.00000,-295.00000,-1038.00000
2014-12-31,4207.00000,988.00000,392.00000,1380.00000,-405.00000,757.00000,-523.00000,-2.00000,5585.00000,,-19512.00000,4845.00000,-14667.00000,-10226.00000,-24893.00000,11028.00000,-559.00000,10469.00000,-924.00000,-924.00000,-1232.00000,11312.00000,19625.00000,317.00000,-1000.00000
2013-12-31,4212.00000,1146.00000,972.00000,2118.00000,-94.00000,-455.00000,3764.00000,-775.00000,5555.00000,,-8681.00000,-177.00000,-8858.00000,-10077.00000,-18935.00000,7603.00000,-2270.00000,5333.00000,220.00000,566.00000,-1148.00000,7452.00000,12203.00000,-1177.00000,-911.00000
2012-12-31,2994.00000,1159.00000,1494.00000,2653.00000,-1125.00000,1350.00000,1627.00000,1162.00000,6809.00000,-4130.00000,-1794.00000,3084.00000,1290.00000,-14421.00000,-17261.00000,-297.00000,2901.00000,2604.00000,-58.00000,2391.00000,-997.00000,7569.00000,11567.00000,1115.00000,-820.00000
2011-12-31,3071.00000,1140.00000,2555.00000,3695.00000,77.00000,330.00000,-4470.00000,-733.00000,6033.00000,430.00000,1928.00000,2308.00000,4236.00000,-11215.00000,-6549.00000,-3667.00000,616.00000,-3051.00000,-1.00000,987.00000,-660.00000,4048.00000,1324.00000,808.00000,-604.00000
2010-12-31,3397.00000,1059.00000,2764.00000,3823.00000,-1154.00000,468.00000,-151.00000,-2408.00000,4812.00000,2202.00000,1371.00000,-3245.00000,-1874.00000,5401.00000,5729.00000,-4851.00000,1038.00000,-3813.00000,3282.00000,-4297.00000,-350.00000,-3072.00000,-11532.00000,-991.00000,-204.00000
2009-12-31,2403.00000,978.00000,3417.00000,4395.00000,1110.00000,61.00000,5903.00000,-1044.00000,5754.00000,-3396.00000,9677.00000,-9798.00000,-121.00000,12996.00000,9479.00000,-9982.00000,-2619.00000,-12601.00000,683.00000,683.00000,-818.00000,-2680.00000,-15416.00000,-183.00000,-430.00000
