,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,1779.00000,2229.00000,-54.00000,2175.00000,32.00000,-631.00000,-473.00000,-415.00000,-1487.00000,2471.00000,-973.00000,-2070.00000,,,,-178.00000,-3220.00000,-308.00000,230.00000,-78.00000,-500.00000,-500.00000,-1082.00000,924.00000,-736.00000,-1233.00000,233.00000,-1082.00000
2021-09-30,2092.00000,2230.00000,-474.00000,1756.00000,-61.00000,-83.00000,660.00000,177.00000,693.00000,4126.00000,-1194.00000,-508.00000,,,,-142.00000,-1843.00000,-243.00000,,-243.00000,-1750.00000,-1750.00000,-1048.00000,-265.00000,-3306.00000,-525.00000,229.00000,-1048.00000
2020-09-30,874.00000,2115.00000,-447.00000,1668.00000,-53.00000,-120.00000,195.00000,441.00000,463.00000,2937.00000,-769.00000,-164.00000,,,,-257.00000,-1190.00000,-1275.00000,-485.00000,-1760.00000,2917.00000,2917.00000,-1026.00000,-109.00000,22.00000,2326.00000,236.00000,-1026.00000
2019-09-30,1233.00000,2253.00000,-524.00000,1729.00000,-51.00000,-149.00000,-470.00000,1213.00000,543.00000,3330.00000,-957.00000,477.00000,,,,-261.00000,-741.00000,-2520.00000,485.00000,-2035.00000,,,-984.00000,-205.00000,-3223.00000,-646.00000,261.00000,-984.00000
2018-09-30,311.00000,1978.00000,-406.00000,1572.00000,-170.00000,246.00000,867.00000,-46.00000,897.00000,2865.00000,-895.00000,-14621.00000,,,,-217.00000,-15733.00000,1090.00000,,1090.00000,,,-927.00000,-220.00000,-58.00000,-12943.00000,322.00000,-927.00000
2017-09-30,1100.00000,1088.00000,847.00000,1935.00000,-93.00000,-46.00000,134.00000,-366.00000,-371.00000,2550.00000,-727.00000,-9.00000,,,,-148.00000,-883.00000,7482.00000,-200.00000,7282.00000,4607.00000,4607.00000,-677.00000,-234.00000,10977.00000,12638.00000,174.00000,-677.00000
2016-09-30,976.00000,1114.00000,-262.00000,852.00000,-128.00000,69.00000,368.00000,90.00000,399.00000,2559.00000,-693.00000,158.00000,-1.00000,,-1.00000,-133.00000,-669.00000,-752.00000,-500.00000,-1252.00000,,,-562.00000,54.00000,-1761.00000,117.00000,196.00000,-562.00000
2015-09-30,695.00000,891.00000,-142.00000,749.00000,-2.00000,200.00000,145.00000,-69.00000,274.00000,1730.00000,-596.00000,-8414.00000,,840.00000,840.00000,-147.00000,-8318.00000,6158.00000,497.00000,6655.00000,,,-485.00000,21.00000,6190.00000,-436.00000,166.00000,-485.00000
2014-09-30,1185.00000,562.00000,52.00000,614.00000,-7.00000,-189.00000,199.00000,-120.00000,-117.00000,1746.00000,-653.00000,-40.00000,,-171.00000,-171.00000,-84.00000,-948.00000,,-4.00000,-4.00000,-409.00000,-409.00000,-421.00000,27.00000,-807.00000,-29.00000,113.00000,-421.00000
2013-09-30,1293.00000,546.00000,-279.00000,267.00000,-1.00000,-145.00000,366.00000,-60.00000,160.00000,1717.00000,-588.00000,600.00000,-225.00000,,-225.00000,-99.00000,-311.00000,,-199.00000,-199.00000,-406.00000,-406.00000,-386.00000,23.00000,-968.00000,219.00000,100.00000,-386.00000
2012-09-30,1170.00000,511.00000,13.00000,524.00000,-30.00000,-92.00000,17.00000,102.00000,-3.00000,1693.00000,-553.00000,-103.00000,-138.00000,,-138.00000,-99.00000,-894.00000,1446.00000,2.00000,1448.00000,-1465.00000,-1465.00000,-368.00000,15.00000,-370.00000,496.00000,89.00000,-368.00000
2011-09-30,1271.00000,494.00000,114.00000,608.00000,-27.00000,-117.00000,129.00000,-239.00000,-254.00000,1638.00000,-599.00000,-492.00000,122.00000,,122.00000,-64.00000,-1033.00000,991.00000,34.00000,1025.00000,-1416.00000,-1416.00000,-361.00000,37.00000,-714.00000,-41.00000,73.00000,-361.00000
2010-09-30,1317.61000,491.41600,-198.30400,293.11200,-73.93300,-116.84100,155.99500,-33.93600,-68.71500,1586.85900,-626.12800,-21.37700,34.55000,0.96300,35.51300,-81.63600,-693.62800,-0.07600,-200.19300,-200.26900,-699.90700,-699.90700,-345.71300,23.20200,-1222.68700,-178.25500,79.37400,-345.71300
2009-09-30,1231.60300,464.60400,13.78300,478.38700,-81.53000,-91.46200,123.57600,-22.05900,-71.47500,1658.48600,-694.78400,51.02200,-338.22800,0.84000,-337.38800,-85.90000,-1067.05000,738.92100,1.19600,740.11700,-517.60300,-517.60300,-316.87700,14.66700,-79.69600,563.76700,86.57400,-316.87700
