,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,-6874.00000,18021.00000,26660.00000,44681.00000,727.00000,-1467.00000,-1849.00000,35812.00000,-19626.00000,-10001.00000,,,2728.00000,-26899.00000,-22139.00000,-16120.00000,-38259.00000,-862.00000,-3527.00000,-9859.00000,-7919.00000,-59564.00000,-17523.00000,-9859.00000
2021-12-31,23776.00000,17852.00000,-325.00000,17527.00000,-1125.00000,-1541.00000,-4236.00000,37170.00000,-15545.00000,-18317.00000,,,1373.00000,-32489.00000,6892.00000,17003.00000,23895.00000,-106.00000,-106.00000,-15068.00000,-6827.00000,1894.00000,11446.00000,-15068.00000
2020-12-31,-1522.00000,22523.00000,18852.00000,41375.00000,1079.00000,-3184.00000,-4000.00000,37484.00000,-14690.00000,847.00000,,,396.00000,-13447.00000,-7074.00000,-44.00000,-7118.00000,-5393.00000,-1495.00000,-14956.00000,-7462.00000,-31031.00000,-2425.00000,-14956.00000
2019-12-31,14975.00000,37804.00000,7077.00000,44881.00000,2812.00000,-13214.00000,-11926.00000,48668.00000,-19635.00000,2875.00000,,,70.00000,-16690.00000,-10553.00000,-3168.00000,-13721.00000,-1786.00000,7254.00000,-14888.00000,-3728.00000,-25083.00000,6895.00000,-14888.00000
2018-12-31,19953.00000,32202.00000,825.00000,33027.00000,-1580.00000,-10390.00000,-10368.00000,43602.00000,-21251.00000,-41161.00000,-1233.00000,-1233.00000,500.00000,-63145.00000,-10768.00000,1979.00000,-8789.00000,136.00000,136.00000,-13410.00000,-3926.00000,-25989.00000,-45532.00000,-13410.00000
2017-12-31,29847.00000,24387.00000,-12654.00000,11733.00000,-986.00000,-3439.00000,-3609.00000,38010.00000,-20647.00000,1182.00000,449.00000,449.00000,73.00000,-18943.00000,36454.00000,-2.00000,36452.00000,-430.00000,-430.00000,-12038.00000,1946.00000,25930.00000,44997.00000,-12038.00000
2016-12-31,13333.00000,25847.00000,5600.00000,31447.00000,-1003.00000,-2867.00000,-3752.00000,38442.00000,-21516.00000,-2313.00000,673.00000,673.00000,-162.00000,-23318.00000,-683.00000,,-683.00000,-366.00000,-366.00000,-11797.00000,-1616.00000,-14462.00000,662.00000,-11797.00000
2015-12-31,13687.00000,22016.00000,3458.00000,25474.00000,30.00000,-6377.00000,-4993.00000,35880.00000,-19218.00000,-30676.00000,1545.00000,1545.00000,-795.00000,-49144.00000,23927.00000,,23927.00000,-126.00000,-126.00000,-10200.00000,-3819.00000,9782.00000,-3482.00000,-10200.00000
2014-12-31,6736.00000,18273.00000,11481.00000,29754.00000,-693.00000,-6968.00000,-5351.00000,31338.00000,-21199.00000,4982.00000,-1890.00000,-1890.00000,-230.00000,-18337.00000,5633.00000,-16.00000,5617.00000,-1578.00000,-1578.00000,-9552.00000,-2224.00000,-7737.00000,5264.00000,-9552.00000
2013-12-31,18722.00000,18395.00000,-1101.00000,17294.00000,-1329.00000,236.00000,-1245.00000,34796.00000,-20944.00000,-2190.00000,301.00000,301.00000,-291.00000,-23124.00000,9138.00000,20.00000,9158.00000,-12914.00000,-12914.00000,-9696.00000,251.00000,-13201.00000,-1529.00000,-9696.00000
2012-12-31,7539.00000,18143.00000,12224.00000,30367.00000,-1365.00000,1017.00000,1450.00000,39176.00000,-19465.00000,-16.00000,65.00000,65.00000,-264.00000,-19680.00000,4753.00000,1.00000,4754.00000,-12275.00000,-12275.00000,-10241.00000,89.00000,-17673.00000,1823.00000,-10241.00000
2011-12-31,4184.00000,21287.00000,9633.00000,30920.00000,-1164.00000,-1397.00000,-2902.00000,34743.00000,-20110.00000,-1067.00000,62.00000,62.00000,-135.00000,-21250.00000,362.00000,-1653.00000,-1291.00000,237.00000,237.00000,-10172.00000,-423.00000,-11649.00000,1844.00000,-10172.00000
2010-12-31,20179.00000,19464.00000,-1609.00000,17855.00000,-101.00000,-185.00000,-1516.00000,35222.00000,-19530.00000,-1076.00000,-100.00000,-100.00000,-743.00000,-21449.00000,-7059.00000,1592.00000,-5467.00000,50.00000,50.00000,-9916.00000,-516.00000,-15849.00000,-2076.00000,-9916.00000
2009-12-31,12447.00000,19515.00000,3423.00000,22938.00000,-490.00000,-617.00000,-164.00000,34405.00000,-16554.00000,-696.00000,55.00000,55.00000,-688.00000,-17883.00000,-491.00000,-3910.00000,-4401.00000,28.00000,28.00000,-9670.00000,-465.00000,-14508.00000,2014.00000,-9670.00000
