,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,85.78300,85.78300,2699.40100,,-2408.04300,-24.43500,108.66390,194.44700,-112.62100,-1.37500,-99.38600,-994.21110,-994.21110,,-1207.59300,1185.71000,,1185.71000,-198.11900,-198.11900,-14.01500,973.57600,-36.58900,
2021-12-31,47.84800,47.84800,2886.48900,,-2127.93900,-2.25100,621.61610,669.46400,-133.69400,,-125.51600,-538.17100,-538.17100,,-797.38100,-3.02000,,-3.02000,-29.36600,-29.36600,-23.04300,-55.42900,-195.98200,
2020-12-31,18.06400,18.06400,2531.13500,,-1877.34400,-21.63900,566.90800,584.97200,-108.49400,3.41400,-84.41500,119.60100,119.60100,,-69.89400,-426.93800,,-426.93800,-79.80600,-79.80600,-16.29700,-523.04100,4.46400,
2019-12-31,31.95800,31.95800,2311.92500,,-1818.57500,-22.33000,425.93910,457.89700,-98.40300,8.81800,-79.38600,-39.91800,-39.91800,,-208.88900,-0.64300,,-0.64300,-11.05600,-11.05600,-11.05900,-22.75800,228.48700,
2018-12-31,33.98600,33.98600,2326.31000,,-1989.68500,-22.70300,251.50800,285.49400,-125.51000,-0.00300,7.23000,-68.69500,-68.69500,,-186.97800,-2.96100,,-2.96100,-34.77900,-34.77900,-10.94000,-48.68000,49.18100,
2017-12-31,0.66800,0.66800,2093.94800,,-1916.11900,-22.22400,103.46900,104.13700,-111.24600,-3.79500,-76.64500,16.11400,16.11400,,-175.57200,-0.31600,-0.03600,-0.35200,11.68400,11.68400,-10.99100,0.34100,-72.18800,
2016-12-31,-2.67000,-2.67000,2074.02400,-22.75600,-1808.68700,14.59700,218.73580,216.06600,-141.03800,-0.13500,-14.16500,-58.54200,-58.54200,,-213.88000,-0.30300,0.03700,-0.26600,11.28000,11.28000,-1.99400,9.02000,-1.65200,
2015-12-31,12.69600,12.69600,1956.08400,,-1730.06200,-20.79300,173.51400,186.21000,-111.92100,-1.37200,-4.35600,-49.22000,-49.22000,,-166.86900,-0.28200,,-0.28200,8.23600,8.23600,0.62700,8.58100,44.29800,-3.61000
2014-12-31,-32.95000,-32.95000,2162.52000,,-1806.52600,-20.79300,306.26200,273.31200,-120.77400,-15.47900,-44.62700,-9.63100,-9.63100,,-190.51100,-0.25300,-1.56000,-1.81300,15.05100,15.05100,-1.54900,11.68900,81.70000,
2013-12-31,15.51100,15.51100,2090.03000,,-1804.02800,-61.23300,153.62510,169.13600,-105.44400,-0.70000,-72.05400,179.11700,179.11700,,0.91900,-300.22800,0.04800,-300.18000,11.23700,11.23700,-22.75400,-311.69700,-131.83700,
2012-12-31,7.23200,7.23200,2063.80500,,-1664.49100,-46.36900,259.24800,266.48000,-136.54400,-1.78000,-39.44300,-222.61900,-222.61900,,-400.38600,-0.62000,-0.19100,-0.81100,10.51000,10.51000,2.88900,12.58800,-110.84300,
2011-12-31,9.43700,9.43700,2018.75500,,-1639.84800,-56.85900,253.29800,262.73500,-102.65400,-0.43600,-158.53800,-124.70400,-124.70400,,-386.33200,-226.83500,-3.90000,-230.73500,14.24900,14.24900,2.92600,-213.56000,-332.32000,
2010-12-31,-2.92800,-2.92800,1877.48300,,-1536.93500,-56.20900,228.83700,225.90900,-87.26300,-4.08100,-89.30700,-32.65000,-32.65000,-3.21100,-216.51200,217.92700,-0.83000,217.09700,12.73000,12.73000,-1.08200,228.74500,256.61300,
2009-12-31,9.36000,9.36000,1778.31600,,-1386.38200,-38.47100,315.71410,325.07400,-66.79500,-9.56600,-35.99000,-61.08100,-61.08100,-2.52000,-175.95200,287.92700,-2.30300,285.62400,10.28600,10.28600,-1.97700,293.93300,445.41400,
