,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-05-31,1392.80000,422.80000,65.40000,488.20000,-274.90000,-252.40000,-375.50000,1505.50000,-132.60000,-24.90000,,-1252.79900,-1252.79900,-10.60000,-1420.90000,,144.50000,144.50000,-145.20000,-145.20000,-999.60000,21.00000,-979.30000,-894.70000,52.80000,-999.60000
2021-05-31,1097.50000,419.20000,38.30000,457.50000,-271.10000,-192.60000,-294.70000,1260.30000,-114.60000,-19.50000,,-317.80030,-317.80030,-8.70000,-460.60000,,342.30000,342.30000,-155.70000,-155.70000,-908.70000,85.70000,-636.40000,163.30000,52.50000,-908.70000
2020-05-31,1098.10000,436.60000,39.90000,476.50000,56.30000,-185.10000,-133.70000,1440.90000,-127.00000,-6.10000,,914.80080,914.80080,-9.80000,771.90000,,-448.20000,-448.20000,-171.90000,-171.90000,-889.40000,21.30000,-1488.20000,724.60000,47.40000,-889.40000
2019-05-31,1034.40000,410.70000,54.20000,464.90000,-112.40000,-192.90000,-227.80000,1271.50000,-123.80000,-992.20000,,-507.00000,-507.00000,-5.30000,-1628.30000,796.30000,-950.60000,-154.30000,-56.90000,-56.90000,-826.80000,29.50000,-1008.50000,-1365.30000,46.20000,-826.80000
2018-05-31,994.10000,378.10000,10.90000,389.00000,19.90000,-169.50000,-106.70000,1276.40000,-154.00000,-180.40000,,1372.69900,1372.69900,-39.80000,998.50000,,462.40000,462.40000,-143.10000,-143.10000,-739.70000,-3.40000,-423.80000,1851.10000,44.60000,-739.70000
2017-05-31,826.30000,368.80000,62.90000,431.70000,-103.10000,-232.70000,-297.60000,960.40000,-94.30000,,,-559.30080,-559.30080,-8.60000,-662.20000,,317.30000,317.30000,-166.20000,-166.20000,-662.30000,28.50000,-482.70000,-184.50000,35.40000,-662.30000
2016-05-31,756.80000,190.80000,44.10000,234.90000,-35.70000,-1.10000,26.50000,1018.20000,-97.70000,-296.10000,927.60000,-587.90040,339.69960,-9.00000,-63.10000,,-304.80000,-304.80000,-107.90000,-107.90000,-606.50000,25.60000,-993.60000,-38.50000,34.60000,-606.50000
2015-05-31,674.90000,182.80000,28.60000,211.40000,-29.80000,-12.40000,8.90000,895.20000,-102.80000,-27.10000,149.10000,-300.89840,-151.79840,-3.30000,-285.00000,,93.00000,93.00000,-182.40000,-182.40000,-551.80000,48.50000,-592.70000,17.50000,31.40000,-551.80000
2014-05-31,627.50000,175.30000,23.30000,198.60000,-22.10000,31.80000,54.80000,880.90000,-84.10000,-9.30000,-441.50000,230.09960,-211.40040,-11.30000,-316.10000,,127.40000,127.40000,-136.40000,-136.40000,-510.60000,,-519.60000,45.20000,26.30000,-510.60000
2013-05-31,569.00000,154.40000,28.90000,183.30000,6.50000,-66.90000,-77.00000,675.30000,-98.70000,-21.30000,1019.40000,-712.60160,306.79850,-5.10000,181.70000,,-454.60000,-454.60000,72.80000,72.80000,-476.70000,,-858.50000,-1.50000,22.80000,-476.70000
2012-05-31,548.00000,140.30000,34.80000,175.10000,16.40000,-6.00000,-16.50000,706.60000,-89.60000,-6.00000,-784.30000,-363.09960,-1147.40000,-1.30000,-1244.30000,,980.50000,980.50000,,,-460.50000,7.50000,527.50000,-10.20000,22.90000,-460.50000
2011-05-31,515.30000,127.60000,38.90000,166.50000,23.00000,8.30000,33.50000,715.30000,-100.50000,-126.40000,450.40000,-630.20020,-179.80020,-2.80000,-409.50000,,-34.90000,-34.90000,12.60000,12.60000,-448.80000,,-471.10000,-165.30000,24.80000,-448.80000
2010-05-31,477.00000,121.50000,39.80000,161.30000,-11.20000,-1.20000,-27.40000,610.90000,-61.30000,13.10000,61.70000,-402.90000,-341.20000,-11.90000,-401.30000,,42.30000,42.30000,8.20000,8.20000,-448.60000,,-398.10000,-188.50000,25.60000,-448.60000
2009-05-31,533.50000,108.80000,25.60000,134.40000,10.50000,20.40000,20.90000,688.80000,-64.10000,-6.40000,-1101.40000,1592.80000,491.39980,-16.40000,404.50000,,-346.00000,-346.00000,9.00000,9.00000,-447.70000,,-784.70000,308.60000,25.70000,-447.70000
