,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-06-30,815.00000,627.00000,291.00000,918.00000,-272.00000,-626.00000,711.00000,0.00000,-207.00000,1526.00000,-509.00000,-1.00000,-17.00000,-527.00000,-182.00000,653.00000,471.00000,-630.00000,-630.00000,-732.00000,,-891.00000,-75.00000,63.00000,-732.00000
2021-06-30,951.00000,584.00000,-27.00000,557.00000,-189.00000,-112.00000,342.00000,-117.00000,-47.00000,1461.00000,-442.00000,214.00000,-5.00000,-233.00000,258.00000,-358.00000,-100.00000,-329.00000,-329.00000,-742.00000,-8.00000,-1179.00000,107.00000,58.00000,-742.00000
2020-06-30,616.00000,660.00000,-31.00000,629.00000,133.00000,26.00000,-48.00000,-53.00000,139.00000,1384.00000,-387.00000,425.00000,,38.00000,-1033.00000,1157.00000,124.00000,-603.00000,-603.00000,-761.00000,4.00000,-1236.00000,141.00000,34.00000,-761.00000
2019-06-30,437.00000,452.00000,-119.00000,333.00000,-84.00000,3.00000,120.00000,-1.00000,6.00000,776.00000,-247.00000,258.00000,-1.00000,10.00000,119.00000,-179.00000,-60.00000,-1.00000,-1.00000,-680.00000,-24.00000,-765.00000,-19.00000,19.00000,-680.00000
2018-12-31,225.70000,167.60000,45.40000,213.00000,-26.40000,-19.10000,60.10000,-20.70000,22.80000,461.50000,-139.90000,,,-139.90000,-4.20000,-194.30000,-198.50000,,,-113.80000,-5.80000,-318.10000,5.00000,19.60000,-113.80000
2018-06-30,586.60000,357.80000,49.50000,407.30000,0.70000,-95.00000,137.00000,-111.30000,-122.50000,871.40000,-228.00000,,-13.90000,-241.90000,-140.90000,171.70000,30.80000,-7.60000,-7.60000,-526.80000,-39.10000,-542.70000,59.30000,21.00000,-526.80000
2017-12-31,94.00000,366.40000,-110.10000,256.30000,17.30000,-64.10000,90.80000,-7.70000,28.70000,379.00000,-174.00000,-3.90000,,-177.90000,2.20000,14.00000,16.20000,-103.80000,-103.80000,-111.20000,-8.50000,-207.30000,-3.10000,17.40000,-111.20000
2017-06-30,581.00000,377.30000,1.60000,378.90000,-13.20000,-48.10000,137.50000,-122.10000,-51.00000,908.90000,-296.40000,-335.60000,,-632.00000,212.70000,114.00000,326.70000,-16.40000,-16.40000,-489.10000,-44.20000,-223.00000,45.80000,26.50000,-489.10000
2016-12-31,236.20000,162.10000,40.20000,202.30000,7.50000,-7.50000,37.80000,-22.60000,-1.10000,437.40000,-196.70000,-114.50000,,-311.20000,275.20000,-118.10000,157.10000,-143.90000,-143.90000,-113.90000,-9.70000,-110.40000,15.00000,18.10000,-113.90000
2015-12-31,239.30000,158.10000,31.80000,189.90000,-3.30000,16.00000,77.50000,7.10000,123.20000,552.40000,-209.80000,-52.80000,,-262.60000,1.10000,2.60000,3.70000,-150.10000,-150.10000,-109.70000,-9.20000,-265.30000,12.10000,18.40000,-109.70000
2014-12-31,191.10000,180.60000,44.30000,224.90000,-63.90000,-48.00000,-7.60000,-52.20000,-167.90000,248.10000,-175.10000,215.60000,,40.50000,-200.80000,97.90000,-102.90000,-152.10000,-152.10000,-108.40000,-7.40000,-370.80000,-94.60000,12.40000,-108.40000
2013-12-31,212.60000,190.30000,-1.70000,188.60000,0.70000,-0.40000,-9.60000,-11.20000,-28.00000,373.20000,-126.10000,-29.70000,,-155.80000,-7.40000,20.80000,13.40000,-77.30000,-77.30000,-107.50000,-13.30000,-184.70000,27.60000,16.40000,-107.50000
2012-12-31,173.80000,204.30000,64.00000,268.30000,9.40000,-20.40000,-28.40000,-4.80000,-20.80000,421.30000,-131.70000,-19.10000,,-150.80000,-321.70000,164.90000,-156.80000,,,-104.30000,-4.60000,-265.70000,4.30000,17.60000,-104.30000
2011-12-31,187.30000,220.30000,78.50000,298.80000,-44.70000,15.40000,-7.60000,-24.00000,-65.20000,420.90000,-131.30000,-152.80000,,-284.10000,389.10000,-112.80000,276.30000,-250.80000,-250.80000,-101.90000,-3.60000,-80.00000,49.40000,16.30000,-101.90000
2010-12-31,211.50000,209.70000,21.20000,230.90000,-18.50000,-92.10000,42.90000,-12.00000,-74.40000,368.00000,-110.90000,-1104.50000,,-1215.40000,-33.70000,54.80000,21.10000,-61.60000,-61.60000,-101.90000,-11.00000,-153.40000,-1005.30000,18.40000,-101.90000
2009-12-31,152.51000,159.27400,20.15500,179.42900,16.70400,67.50800,15.03400,8.68700,143.87400,475.81300,-78.23300,-30.34300,,-108.57600,798.93400,-251.18900,547.74500,202.80900,202.80900,-96.59500,-2.67700,651.28200,1022.23300,19.02000,-96.59500
