,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1961.00000,754.00000,25.00000,779.00000,-151.00000,-76.00000,109.00000,-11.00000,-17.00000,2733.00000,-864.00000,-46.00000,139.00000,,139.00000,-14.00000,-785.00000,-312.00000,261.00000,-51.00000,-6.00000,-6.00000,-1656.00000,-47.00000,-1760.00000,157.00000,150.00000,-1656.00000
2021-12-31,1844.00000,766.00000,70.00000,836.00000,-37.00000,-417.00000,627.00000,1.00000,46.00000,2730.00000,-964.00000,,-82.00000,,-82.00000,-10.00000,-1056.00000,336.00000,-97.00000,239.00000,-335.00000,-335.00000,-1552.00000,-48.00000,-1696.00000,-33.00000,26.00000,-1552.00000
2020-12-31,2396.00000,796.00000,219.00000,1015.00000,95.00000,-96.00000,239.00000,-49.00000,363.00000,3729.00000,-1186.00000,-1083.00000,-63.00000,,-63.00000,27.00000,-2305.00000,991.00000,-561.00000,430.00000,-483.00000,-483.00000,-1488.00000,-26.00000,-1567.00000,-139.00000,147.00000,-1488.00000
2019-12-31,2197.00000,917.00000,-61.00000,856.00000,-116.00000,24.00000,-153.00000,-48.00000,-288.00000,2736.00000,-967.00000,-4.00000,-26.00000,,-26.00000,-45.00000,-1042.00000,-1.00000,303.00000,302.00000,-572.00000,-572.00000,-1408.00000,-114.00000,-1792.00000,-97.00000,96.00000,-1408.00000
2018-12-31,1445.00000,882.00000,162.00000,1044.00000,33.00000,-127.00000,392.00000,-88.00000,389.00000,2970.00000,-826.00000,,-81.00000,,-81.00000,5.00000,-902.00000,100.00000,-34.00000,66.00000,-738.00000,-738.00000,-1386.00000,-57.00000,-2115.00000,-77.00000,41.00000,-1386.00000
2017-12-31,2319.00000,724.00000,56.00000,780.00000,-44.00000,-33.00000,174.00000,33.00000,-148.00000,2929.00000,-782.00000,,-31.00000,,-31.00000,-38.00000,-851.00000,-544.00000,360.00000,-184.00000,-790.00000,-790.00000,-1359.00000,-88.00000,-2421.00000,-307.00000,76.00000,-1359.00000
2016-12-31,2219.00000,705.00000,16.00000,721.00000,-23.00000,230.00000,-61.00000,41.00000,334.00000,3232.00000,-748.00000,,-33.00000,,-33.00000,49.00000,-732.00000,695.00000,-908.00000,-213.00000,-632.00000,-632.00000,-1311.00000,-29.00000,-2185.00000,304.00000,77.00000,-1311.00000
2015-12-31,1066.00000,746.00000,893.00000,1639.00000,60.00000,-28.00000,44.00000,-330.00000,-445.00000,2306.00000,-1056.00000,,18.00000,,18.00000,-12.00000,-1050.00000,547.00000,303.00000,850.00000,-872.00000,-872.00000,-1272.00000,-4.00000,-1298.00000,-170.00000,75.00000,-1272.00000
2014-12-31,1595.00000,862.00000,41.00000,903.00000,267.00000,12.00000,-30.00000,316.00000,286.00000,2845.00000,-1039.00000,,88.00000,127.00000,215.00000,54.00000,-770.00000,1134.00000,721.00000,1855.00000,-1812.00000,-2312.00000,-1256.00000,-180.00000,-1893.00000,-265.00000,52.00000,-1256.00000
2013-12-31,2221.00000,863.00000,105.00000,968.00000,4.00000,100.00000,128.00000,-87.00000,-122.00000,3040.00000,-824.00000,-32.00000,1.00000,26.00000,27.00000,-15.00000,-844.00000,346.00000,-287.00000,59.00000,-984.00000,-1011.00000,-1223.00000,-10.00000,-2185.00000,-52.00000,92.00000,-1223.00000
2012-12-31,1828.00000,857.00000,477.00000,1334.00000,,,,119.00000,119.00000,3288.00000,-1084.00000,-5.00000,-117.00000,23.00000,-94.00000,-1.00000,-1184.00000,-177.00000,271.00000,94.00000,-719.00000,-747.00000,-1151.00000,2.00000,-1802.00000,342.00000,67.00000,-1151.00000
2011-12-31,1684.00000,1091.00000,-223.00000,868.00000,-169.00000,9.00000,161.00000,-65.00000,-262.00000,2288.00000,-917.00000,,-17.00000,28.00000,11.00000,225.00000,-681.00000,732.00000,13.00000,745.00000,-811.00000,-1368.00000,-1099.00000,-19.00000,-1741.00000,-112.00000,48.00000,-1099.00000
2010-12-31,1943.00000,813.00000,-107.00000,706.00000,45.00000,-341.00000,263.00000,-1.00000,24.00000,2744.00000,-955.00000,,117.00000,47.00000,164.00000,10.00000,-781.00000,9.00000,-28.00000,-19.00000,-672.00000,-726.00000,-1066.00000,-48.00000,-1859.00000,78.00000,52.00000,-1066.00000
2009-12-31,1994.00000,783.00000,-399.00000,384.00000,,,,1105.00000,1105.00000,3481.00000,-823.00000,-458.00000,-47.00000,40.00000,-7.00000,,-1288.00000,-276.00000,-312.00000,-588.00000,-135.00000,-188.00000,-986.00000,-26.00000,-1788.00000,434.00000,86.00000,-986.00000
