,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,748.46200,39.02500,39.74200,78.76700,19.68500,-263.56700,7.59700,-52.81500,-342.37500,484.85400,-43.61900,-9.26400,2.01300,2.01300,,-50.87000,202.03520,0.77000,202.80520,-462.29500,-462.29500,-150.62400,-1.54400,-411.65800,21.27000,14.87900,-150.62400
2021-12-31,650.62400,30.02600,25.18300,55.20900,-79.94000,-525.20700,114.89300,-51.19900,-392.34300,313.49000,-37.65800,-811.95600,,,,-849.61400,769.65200,-0.09800,769.55400,-120.84200,-120.84200,-119.58100,-3.00000,526.13100,-9.80700,15.18700,-119.58100
2020-12-31,366.73800,29.39800,22.51700,51.91500,-38.68800,-42.44700,-9.21200,-13.74400,-21.07200,397.58100,-21.70200,-124.58700,,,,-146.28900,-95.89810,0.12400,-95.77410,-56.37500,-56.37500,-91.92900,-0.29300,-244.37100,5.54500,14.51600,-91.92900
2019-12-31,261.57500,29.27400,22.10800,51.38200,-15.69100,-14.16500,16.86000,-4.21800,-14.18100,298.77600,-33.36200,-8.90100,,,,-42.26300,-157.95900,2.57700,-155.38200,-4.61400,-4.61400,-83.77200,-0.71800,-244.48600,12.22500,13.47200,-83.77200
2018-12-31,234.46100,27.91500,22.12000,50.03500,-14.37100,-142.17000,-6.56700,1.01800,-165.84000,118.65600,-31.58000,-2.57800,,,,-34.15800,148.19200,-1.66600,146.52600,-173.90000,-173.90000,-69.43000,-0.76700,-97.57100,-13.58200,12.87400,-69.43000
2017-12-31,191.33900,25.72500,8.19600,33.92100,-21.90300,-35.78300,5.07700,-4.09600,-49.94900,175.31100,-39.39000,-12.83400,0.00400,0.00400,,-52.22000,72.39100,9.73000,82.12100,-134.54000,-134.54000,-58.02900,-4.00100,-114.44900,7.98400,12.48200,-58.02900
2016-12-31,148.60300,21.97700,10.91700,32.89400,-5.66600,-8.05000,-17.89600,-3.07700,-16.11900,165.37800,-34.35200,-19.73000,0.02400,0.02400,-1.58500,-55.64300,110.03300,-0.59500,109.43800,-166.66200,-166.66200,-49.74900,7.30100,-99.67200,8.71900,9.90200,-49.74900
2015-12-31,128.22400,17.38800,8.10100,25.48900,-16.65600,-10.84800,9.95600,-0.43400,-6.79400,146.05000,-29.09500,-4.48300,0.08800,0.08800,-4.30300,-37.79300,8.70590,0.17100,8.87690,-80.95000,-80.95000,-43.11700,7.38600,-107.80400,-1.59300,9.54300,-43.11700
2014-12-31,111.03000,15.88200,9.75900,25.64100,-12.75100,-30.40900,20.09000,-2.26500,-14.85600,121.81500,-17.32800,-10.64800,0.16500,0.16500,,-27.81100,72.89100,0.53200,73.42300,-122.93600,-122.93600,-37.60000,5.13000,-81.98300,6.82400,9.06500,-37.60000
2013-12-31,97.33000,14.59600,7.11500,21.71100,-10.08500,-27.29100,14.00700,0.50400,-13.95300,105.08800,-18.74200,-1.24400,0.12500,0.12500,,-19.86100,15.53600,-0.01000,15.52600,-74.77000,-74.77000,-33.80800,3.56700,-89.48500,-4.45700,8.15000,-33.80800
2012-12-31,81.97200,12.87600,17.48100,30.35700,-3.39600,-9.23200,20.25300,-1.15900,6.61100,119.07800,-16.27100,-4.69900,-0.23800,-0.23800,,-21.20800,-16.44000,,-16.44000,-61.55600,-61.55600,-29.13500,4.48700,-102.64400,-5.02400,8.46500,-29.13500
2011-12-31,71.99300,11.30500,8.70300,20.00800,-5.88700,-35.33900,6.40200,-2.95100,-17.09300,75.10300,-19.45400,-5.93400,-0.19000,-0.19000,,-25.57800,48.45100,,48.45100,-63.47900,-63.47900,-26.47000,0.94400,-40.55400,7.76600,8.23300,-26.47000
2010-12-31,57.63800,11.32800,1.38400,12.71200,4.83200,15.95100,-14.41700,4.69400,23.46400,93.95900,-8.07800,-6.17300,,,,-14.25100,-52.75400,,-52.75400,-7.39000,-7.39000,-25.74600,0.73200,-85.15800,-6.12200,7.79000,-25.74600
2009-12-31,19.20200,11.54500,29.53700,41.08200,25.44100,56.67600,-1.81500,-6.17800,52.85100,113.25000,-7.16800,-10.93700,,,,-18.10500,-79.24900,,-79.24900,3.11200,3.11200,-25.31000,2.10300,-99.34400,0.08100,6.42900,-25.31000
