,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4065.00000,1595.00000,-18.00000,1577.00000,-184.00000,-24.00000,96.00000,44.00000,-186.00000,5456.00000,-1674.00000,,,,,-1674.00000,-880.00000,-880.00000,-1238.00000,-1248.00000,-1992.00000,-25.00000,-4145.00000,-363.00000,73.00000,-1992.00000
2021-12-31,1158.00000,683.00000,-30.00000,653.00000,-229.00000,5.00000,47.00000,-1.00000,-144.00000,1667.00000,-720.00000,,,,1033.00000,313.00000,-190.00000,-190.00000,2.00000,2.00000,-780.00000,-118.00000,-1086.00000,894.00000,52.00000,-780.00000
2020-12-31,201.00000,394.00000,90.00000,484.00000,-6.00000,-2.00000,-30.00000,7.00000,93.00000,778.00000,-575.00000,,-9.00000,-9.00000,,-584.00000,-87.00000,-87.00000,,,-159.00000,-10.00000,-256.00000,-62.00000,40.00000,-159.00000
2019-12-31,681.00000,410.00000,270.00000,680.00000,153.00000,-3.00000,-30.00000,-22.00000,84.00000,1445.00000,-785.00000,,242.00000,242.00000,,-543.00000,-7.00000,-7.00000,-520.00000,-520.00000,-146.00000,-17.00000,-690.00000,212.00000,30.00000,-146.00000
2018-12-31,557.04300,422.11000,289.21000,711.32000,-146.92100,-3.92700,30.46800,16.53600,-163.46000,1104.90300,-216.12000,,-77.26300,-77.26300,,-293.38300,-297.00000,-297.00000,-872.76100,-872.76100,-111.36900,-8.15000,-1289.28000,-477.76000,31.44300,-111.36900
2017-12-31,100.39300,573.59100,302.11800,875.70900,-25.03600,1.33400,-2.55200,-5.32000,-77.94200,898.16000,-649.11400,,-57.03900,-57.03900,,-706.15300,,,-123.74100,-123.74100,-78.83800,-7.92300,-210.50200,-18.49500,33.41900,-78.83800
2016-12-31,-417.12400,595.21100,282.61600,877.82700,-71.06000,3.04400,10.85800,-0.12900,-63.26200,397.44100,-324.73400,,-28.48400,-28.48400,,-353.21800,-497.00000,-497.00000,995.27900,995.27900,-36.18700,-8.28700,453.80500,498.02800,25.98200,-36.18700
2015-12-31,-113.89100,626.66500,186.29200,812.95700,112.40600,-3.02300,-55.21700,-2.95700,50.49800,749.59800,-947.94900,-16.31200,-29.07300,-29.07300,,-993.33400,273.00000,273.00000,,,-33.09000,-16.61400,223.29600,-20.44000,13.64500,-33.09000
2014-12-31,104.46800,637.51400,530.00300,1167.51700,-11.68900,3.44100,-7.58300,14.56300,-35.55000,1236.43500,-1440.14000,-214.73700,-38.05700,-38.05700,28.09400,-1664.84000,605.00000,605.00000,-138.85200,-138.85200,-33.27800,-6.91100,425.95900,-2.44600,21.42900,-33.27800
2013-12-31,279.77300,654.74500,163.70000,818.44500,-49.39800,-3.03300,-22.90800,-27.35500,-73.69200,1024.52600,-871.23800,,-18.87500,-18.87500,-28.09400,-918.20700,60.00000,60.00000,-164.63400,-164.63400,-25.23200,16.21100,-113.65500,-7.33600,46.96500,-25.23200
2012-12-31,131.73000,456.67000,91.66000,548.33000,-58.03700,7.10400,18.84300,1.06800,-27.96700,652.09300,-758.65100,,-6.86300,-6.86300,,-765.51400,137.00000,137.00000,,,-16.75700,-5.99700,114.24600,0.82500,46.87200,-16.75700
2011-12-31,122.40800,347.52200,79.24400,426.76600,-19.89300,7.70800,8.54600,1.14300,-29.84100,501.83900,-487.62000,,,,,-487.62000,-25.00000,-25.00000,,,-12.50800,-2.74900,-40.25700,-26.03800,52.94000,-12.50800
2010-12-31,103.38600,330.46400,38.09500,368.55900,-14.12500,-1.67700,-1.48800,3.67500,21.25100,484.91100,-613.74100,,,,,-613.74100,170.00000,170.00000,,,-12.46700,-12.91200,144.62100,15.79100,29.79400,-12.46700
2009-12-31,148.34300,254.89500,192.81400,447.70900,28.72500,17.68700,-27.20200,-1.56800,18.00000,614.05200,-531.02700,,,,,-531.02700,-62.00000,-62.00000,,,-12.43200,3.46400,-70.96800,12.05700,17.33600,-12.43200
