,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2590.00000,13651.00000,3181.00000,16832.00000,-5158.00000,744.00000,801.00000,-3055.00000,16781.00000,-13970.00000,-3331.00000,-52.00000,,,,4994.00000,-12359.00000,-3081.00000,,-3081.00000,-3000.00000,-3000.00000,,-370.00000,-6451.00000,-2029.00000,595.00000
2021-12-31,3024.00000,16383.00000,1388.00000,17771.00000,-3225.00000,201.00000,-4639.00000,-7114.00000,13917.00000,-12326.00000,-9366.00000,-1916.00000,,,,4222.00000,-19386.00000,2516.00000,-184.00000,2332.00000,,,,-623.00000,1709.00000,-3760.00000,540.00000
2020-12-31,3064.00000,14151.00000,2943.00000,17094.00000,-3273.00000,-2222.00000,-4267.00000,-11885.00000,8640.00000,-11034.00000,-1333.00000,-3776.00000,,,,3428.00000,-12715.00000,13900.00000,-667.00000,13233.00000,304.00000,304.00000,,-527.00000,13010.00000,8935.00000,694.00000
2019-12-31,3468.00000,6616.00000,2042.00000,8658.00000,-3709.00000,-617.00000,-1250.00000,-5559.00000,6824.00000,-6391.00000,-967.00000,-31.00000,,,,3264.00000,-4125.00000,-1398.00000,-775.00000,-2173.00000,,,,-201.00000,-2374.00000,325.00000,495.00000
2018-12-31,2888.00000,6486.00000,2006.00000,8492.00000,-4617.00000,-201.00000,-1848.00000,-7533.00000,3899.00000,-5541.00000,-127.00000,-338.00000,,,,5427.00000,-579.00000,-1555.00000,-300.00000,-1855.00000,-1071.00000,-1071.00000,,-410.00000,-3336.00000,-16.00000,424.00000
2017-12-31,4536.00000,5984.00000,-560.00000,5424.00000,-3931.00000,-844.00000,-2544.00000,-6240.00000,3831.00000,-5237.00000,-5828.00000,,,,,4320.00000,-6745.00000,-424.00000,-300.00000,-724.00000,-427.00000,-427.00000,-55.00000,-161.00000,-1367.00000,-4281.00000,306.00000
2016-12-31,1460.00000,6243.00000,1140.00000,7383.00000,-3459.00000,-802.00000,-648.00000,-6110.00000,2779.00000,-4702.00000,-3968.00000,,2998.00000,,2998.00000,3348.00000,-2324.00000,772.00000,-150.00000,622.00000,,,-55.00000,-104.00000,463.00000,918.00000,235.00000
2015-12-31,733.00000,4688.00000,1360.00000,6048.00000,-259.00000,-2495.00000,709.00000,-1352.00000,5414.00000,-4724.00000,-1935.00000,,-2997.00000,,-2997.00000,96.00000,-9560.00000,4062.00000,-564.00000,3498.00000,47.00000,47.00000,-55.00000,-77.00000,3413.00000,-733.00000,201.00000
2014-12-31,247.00000,4412.00000,308.00000,4720.00000,-90.00000,-499.00000,-2649.00000,-843.00000,4146.00000,-4317.00000,-2900.00000,,,,,-29.00000,-7246.00000,1974.00000,-418.00000,1556.00000,27.00000,1009.00000,,-41.00000,2524.00000,-576.00000,196.00000
2013-12-31,35.00000,3627.00000,813.00000,4440.00000,-158.00000,42.00000,-1561.00000,-1066.00000,3545.00000,-4025.00000,-381.00000,2144.00000,300.00000,,300.00000,-130.00000,-2092.00000,2485.00000,-244.00000,2241.00000,1924.00000,1924.00000,,-121.00000,4044.00000,5497.00000,100.00000
2012-12-31,-7336.00000,3106.00000,8886.00000,11992.00000,-299.00000,-2.00000,-461.00000,-794.00000,3862.00000,-2850.00000,-387.00000,-5.00000,-651.00000,-22.00000,-673.00000,,-3915.00000,57.00000,,57.00000,,,,,57.00000,4.00000,
2011-12-31,-4718.00000,2898.00000,7075.00000,9973.00000,-558.00000,166.00000,14.00000,-275.00000,4980.00000,-2727.00000,-23.00000,73.00000,-2005.00000,-17.00000,-2022.00000,,-4699.00000,,,,,,,,,281.00000,
2010-12-31,193.41500,449.73200,287.15400,736.88600,-6.52300,-13.64800,53.42400,64.19900,994.50000,-753.39200,,-49.93200,,-149.32700,-149.32700,2.23300,-950.41800,-67.07590,-82.71200,-149.78790,8.20900,8.20900,,-35.35300,-176.93200,-132.85000,46.53700
2009-12-31,176.84400,377.85600,181.47500,559.33100,-17.05600,8.55400,43.50900,163.17400,899.34900,-859.45900,0.94900,-19.18600,,-224.14500,-224.14500,-15.11300,-1116.95400,472.65100,-20.31400,452.33700,8.62600,8.62600,,-11.92500,449.03800,231.43300,47.78300
