,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-08-31,6988.96000,2088.21600,1466.49500,3554.71100,,374.34900,-2926.22800,-806.56710,9541.12900,-717.99800,-3555.21100,,,12.58000,-4260.62900,-16.45300,,-16.45300,-2767.31400,-2767.31400,-2457.30600,-69.95300,-5311.02600,-278.34100,1679.78900,-2457.30600
2021-08-31,5990.54500,1891.24200,1403.88100,3295.12300,,825.47200,-2349.94800,32.32890,8975.14800,-580.13200,-3757.57000,,,27.93600,-4309.76600,-7.79800,,-7.79800,-2637.34900,-2637.34900,-2236.09400,-45.09600,-4926.33700,-247.15600,1342.95100,-2236.09400
2020-08-31,5185.31300,1773.12400,1368.75700,3141.88100,,-359.68200,444.15400,131.82500,8215.15200,-599.13200,-1301.20600,,,5.81900,-1894.51900,-6.71900,,-6.71900,-1960.53900,-1960.53900,-2037.73300,-44.10100,-4049.09200,2288.47700,1197.80600,-2037.73300
2019-08-31,4846.24100,892.76000,996.89310,1889.65300,,177.18600,-422.61900,-21.41900,6626.95300,-599.00900,-1165.12000,,,8.55300,-1755.57600,-4.77200,,-4.77200,-1842.66900,-1842.66900,-1864.35300,-55.37700,-3767.17100,1065.49300,1093.25300,-1864.35300
2018-08-31,4214.59400,926.77600,1070.90800,1997.68400,,-167.97100,-855.57400,-193.19600,6026.69100,-619.18700,-637.34900,,,6.93200,-1249.60400,-4.19500,,-4.19500,-1885.94800,-1885.94800,-1708.72400,-110.16100,-3709.02800,934.50000,976.90800,-1708.72400
2017-08-31,3634.93200,801.78900,892.26200,1694.05100,,173.71200,-515.77500,-444.06700,4973.03900,-515.91900,-1728.22300,,,10.26300,-2233.87900,-2.12000,,-2.12000,-1973.00600,-1973.00600,-1567.57800,-17.53100,-3560.23500,-778.74900,795.23500,-1567.57800
2016-08-31,4349.60300,729.05200,-24.70700,704.34500,-370.06800,72.62600,-262.44800,-332.84200,4667.40000,-492.34600,-118.00400,,,,-610.35000,-1.05900,,-1.05900,-2013.63200,-2013.63200,-1438.13800,-36.38900,-3489.21800,544.84300,758.17600,-1438.13800
2015-08-31,3273.78900,645.92300,285.60200,931.52500,-427.12500,113.54800,-253.30900,208.72500,4176.16300,-389.23300,-781.15100,,,,-1170.38400,0.70100,,0.70100,-1898.84000,-1898.84000,-1353.47100,-34.71200,-3286.32200,-560.53900,680.32900,-1353.47100
2014-08-31,3175.95800,620.74300,579.19400,1199.93700,-704.53200,72.52600,-332.99600,-994.76000,3486.08500,-316.34400,-740.06700,,,,-1056.41100,0.54300,,0.54300,-2000.93700,-2000.93700,-1254.91600,89.89400,-3165.41600,-710.58000,671.30100,-1254.91600
2013-08-31,3554.51900,593.02800,134.16200,727.19000,-309.69400,-5.07300,-401.07100,-888.53800,3303.12800,-352.22700,-803.98800,,,,-1156.21500,,0.05400,0.05400,-2028.54000,-2028.54000,-1121.73800,84.59500,-3065.62900,-1008.64100,615.87800,-1121.73800
2012-08-31,2824.93300,593.54500,596.75800,1190.30300,-128.45900,-68.08200,43.29400,335.94800,4256.85200,-365.99700,-174.38300,4.99500,4.99500,,-535.38500,-6.39900,0.13100,-6.26800,-1644.45400,-1644.45400,-950.85700,42.72400,-2558.85500,939.44800,538.08600,-950.85700
2011-08-31,2553.24000,513.25600,255.26200,768.51790,-620.48100,63.00500,-32.71400,38.85400,3441.73900,-396.95900,-306.18700,-0.24100,-0.24100,,-703.38700,-1.53900,-0.06900,-1.60800,-1614.51100,-1614.51100,-643.64200,138.25700,-2121.50400,862.78600,450.13700,-643.64200
2010-08-31,2060.45900,474.68800,494.08900,968.77700,-377.23300,125.12600,-269.90700,26.78000,3091.62000,-234.42300,-41.07500,1.73300,1.73300,,-273.76500,0.68200,0.00500,0.68700,-1633.85000,-1633.85000,-824.14800,28.28500,-2429.02600,296.63000,425.82200,-824.14800
2009-08-31,1938.14600,498.59100,639.11700,1137.70800,982.06200,-306.16600,-411.76000,1.41800,3160.20200,-238.79000,-27.32400,20.94000,20.94000,,-245.17400,-2.18200,-4.78700,-6.96900,-1450.67400,-1450.67400,-378.44600,-14.21400,-1850.30300,938.90200,452.82300,-378.44600
