,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2815.13100,300.84100,237.99100,538.83200,-786.12100,-1609.64200,1287.07200,-104.65500,-1414.70200,1907.84900,-1261.64600,-162.23900,,1.23600,1.23600,,-1422.64900,867.55400,867.55400,2.78300,2.78300,-228.63700,-29.81300,611.88700,1059.87000,30.47400,-228.63700
2021-12-31,199.94200,254.00000,-274.92800,-20.92800,-49.29500,-127.40100,143.93900,17.41100,111.72200,344.25700,-953.66700,289.79100,,-2.71400,-2.71400,,-666.59000,-1112.83200,-1112.83200,1472.28000,1472.28000,-273.98900,-35.24700,50.21200,-307.45200,20.12000,-273.98900
2020-12-31,446.61500,231.98400,178.35900,410.34300,100.11800,51.97800,-31.51900,7.90200,-86.53200,798.91400,-850.47700,-11.57200,,-1.52400,-1.52400,,-863.57300,339.79800,339.79800,40.43700,40.43700,-193.87900,-9.09500,177.26100,133.61400,22.83700,-193.87900
2019-12-31,604.35700,213.48400,143.39400,356.87800,-18.22000,-46.30400,-12.23400,-32.94100,-114.33900,719.37400,-841.44000,-820.00000,,-2.18500,-2.18500,,-1663.62500,1296.22800,1296.22800,4.81400,4.81400,-235.39100,-22.96400,1042.68700,57.79000,19.68000,-235.39100
2018-12-31,739.13900,200.69800,-183.23800,17.46000,-97.44800,-124.06700,73.73000,-2.18100,-151.96500,546.16500,-699.99100,402.16600,,-5.87000,-5.87000,,-303.69500,-113.56700,-113.56700,-496.36700,-496.36700,-159.35200,-17.24000,-786.52600,-581.98300,15.22800,-159.35200
2017-12-31,99.46800,196.92800,-49.97000,146.95800,-74.54500,-101.54500,53.42100,-0.21300,-392.26300,303.97900,-317.70300,-37.51000,,-2.59000,-2.59000,,-357.80300,-612.45800,-612.45800,-241.76200,-241.76200,-177.31300,-55.33500,-1086.86800,-1132.45300,19.40400,-177.31300
2016-12-31,680.76900,226.16900,-470.15700,-243.98800,-42.81600,25.97400,43.95300,1.80800,239.19500,735.52400,-196.65400,3116.83700,,0.30500,0.30500,,2920.48800,-1252.30200,-1252.30200,9.40100,9.40100,-171.20800,-165.91500,-1580.02400,2056.02200,17.03100,-171.20800
2015-12-31,360.06400,260.07600,-155.31700,104.75900,-8.78800,27.64900,23.74500,12.75600,-41.53400,360.81000,-227.64900,-2091.60700,,0.99800,0.99800,157.70600,-2160.55200,-278.27590,-278.27590,0.51700,0.51700,-142.58800,-58.09900,-478.44600,-2276.03400,15.18800,-142.58800
2014-12-31,160.90600,103.57200,164.22800,267.80000,36.22100,-6.48600,28.29600,5.80900,57.16000,492.60900,-110.57600,104.71800,0.64900,,0.64900,-40.92400,-46.13300,1876.35500,1876.35500,-147.28700,-147.28700,-99.63700,-20.10200,1609.32900,2012.52900,14.26700,-99.63700
2013-12-31,439.83400,107.37000,-88.01600,19.35400,-65.90600,-1.81000,19.26700,5.26100,-31.00300,432.85900,-155.34600,-2.56500,0.16900,,0.16900,,-157.74200,379.81100,379.81100,-576.74500,-576.74500,-88.12100,-2.99100,-288.04600,-0.45700,10.16400,-88.12100
2012-12-31,330.12700,99.02000,90.42500,189.44500,-25.99200,7.36400,-11.47300,-19.59000,-47.71000,488.76600,-280.87300,6.28600,-1.61500,,-1.61500,-24.95900,-301.16100,-14.39000,-14.39000,-42.42700,-42.42700,-76.74100,-43.73600,-177.29400,8.28000,15.21100,-76.74100
2011-12-31,420.19700,96.75300,21.97400,118.72700,-16.43500,-41.74900,-11.97100,4.49900,-37.42700,487.35900,-190.57400,-13.16400,1.67000,-10.86800,-9.19800,,-212.93600,-100.17600,-100.17600,-175.90200,-175.90200,-57.75900,4.71800,-329.11900,-60.23400,27.06900,-57.75900
2010-12-31,329.41700,95.57800,-19.45100,76.12700,-57.41400,-58.58200,13.46300,-14.51100,-77.95200,331.30900,-75.47800,-16.02700,,-0.68600,-0.68600,,-92.19100,48.52700,48.52700,-7.81000,-7.81000,-49.64300,0.98800,-7.93800,220.85900,15.69400,-49.64300
2009-12-31,189.62300,100.51300,-13.87100,86.64200,1.26900,180.13200,-53.54300,-9.58500,65.53800,358.52500,-100.78600,-20.45700,-0.34700,-0.04000,-0.38700,,-121.63000,-120.03200,-120.03200,-1.65900,-1.65900,-56.14100,-2.95100,-180.78300,55.48800,0.30700,-56.14100
