,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,2582.00000,3212.00000,-422.00000,2790.00000,-770.00000,511.00000,-485.00000,-744.00000,4618.00000,-1479.00000,-742.00000,-29.00000,-29.00000,138.00000,-2112.00000,-1701.00000,1835.00000,134.00000,-2528.00000,-2528.00000,-84.00000,-2478.00000,-13.00000,323.00000
2021-12-31,1403.00000,3248.00000,-74.00000,3174.00000,-358.00000,303.00000,-440.00000,-495.00000,4034.00000,-1160.00000,-848.00000,263.00000,263.00000,115.00000,-1630.00000,-1446.00000,1704.00000,258.00000,-2646.00000,-2646.00000,647.00000,-1741.00000,636.00000,239.00000
2020-12-31,975.00000,3257.00000,142.00000,3399.00000,320.00000,-146.00000,-385.00000,-211.00000,4147.00000,-900.00000,440.00000,10.00000,10.00000,109.00000,-341.00000,-2037.00000,-24.00000,-2061.00000,-1693.00000,-1693.00000,323.00000,-3431.00000,391.00000,369.00000
2019-12-31,914.00000,1778.00000,67.00000,1845.00000,-7.00000,238.00000,-195.00000,36.00000,2795.00000,-721.00000,-15032.00000,-45.00000,-45.00000,118.00000,-15680.00000,14987.00000,,14987.00000,-405.00000,-405.00000,-209.00000,14373.00000,1622.00000,229.00000
2018-12-31,1187.00000,556.00000,-22.00000,534.00000,-108.00000,116.00000,-177.00000,-169.00000,1552.00000,-360.00000,-293.00000,-3.00000,-3.00000,-7.00000,-663.00000,1034.00000,,1034.00000,-1871.00000,-1871.00000,-5.00000,-842.00000,90.00000,73.00000
2017-12-31,1246.00000,444.00000,-181.00000,263.00000,-75.00000,54.00000,-5.00000,-26.00000,1483.00000,-287.00000,-367.00000,-10.00000,-10.00000,7.00000,-657.00000,325.00000,,325.00000,-1145.00000,-1145.00000,,-820.00000,25.00000,63.00000
2016-12-31,930.00000,421.00000,57.00000,478.00000,-88.00000,172.00000,-61.00000,23.00000,1431.00000,-290.00000,-265.00000,-1.00000,-1.00000,2.00000,-554.00000,263.00000,,263.00000,-1166.00000,-1166.00000,51.00000,-852.00000,25.00000,68.00000
2015-12-31,712.00000,417.00000,142.00000,559.00000,-2.00000,148.00000,-70.00000,76.00000,1346.00000,-359.00000,,-4.00000,-4.00000,3.00000,-360.00000,414.00000,,414.00000,-1451.00000,-1451.00000,32.00000,-1005.00000,-19.00000,65.00000
2014-12-31,754.00000,404.00000,53.00000,457.00000,-42.00000,168.00000,-30.00000,96.00000,1307.00000,-292.00000,,7.00000,7.00000,-1.00000,-286.00000,-49.00000,,-49.00000,-1095.00000,-1095.00000,18.00000,-1126.00000,-106.00000,49.00000
2013-12-31,648.00000,403.00000,-16.00000,387.00000,-47.00000,,14.00000,4.00000,1039.00000,-236.00000,-30.00000,4.00000,4.00000,114.00000,-148.00000,-338.00000,,-338.00000,-529.00000,-529.00000,-6.00000,-873.00000,42.00000,46.00000
2012-12-31,611.00000,350.00000,-57.00000,293.00000,-12.00000,,-66.00000,-78.00000,826.00000,-193.00000,,28.00000,28.00000,29.00000,-136.00000,-173.00000,,-173.00000,-538.00000,-538.00000,5.00000,-706.00000,21.00000,44.00000
2011-12-31,472.00000,345.00000,148.00000,493.00000,-83.00000,79.00000,-16.00000,-20.00000,945.00000,-190.00000,-511.00000,-4.00000,-4.00000,42.00000,-663.00000,-37.00000,,-37.00000,-460.00000,-460.00000,-1.00000,-498.00000,-226.00000,39.00000
2010-12-31,496.00000,339.00000,131.00000,470.00000,-12.00000,,30.00000,-8.00000,958.00000,-175.00000,-9.00000,14.00000,14.00000,54.00000,-116.00000,-312.00000,,-312.00000,-351.00000,-351.00000,-8.00000,-671.00000,200.00000,39.00000
2009-12-31,476.00000,333.00000,84.00000,417.00000,44.00000,-71.00000,-16.00000,-43.00000,850.00000,-198.00000,,,,-50.00000,-248.00000,-475.00000,,-475.00000,-130.00000,-130.00000,4.00000,-601.00000,133.00000,36.00000
