,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1097.13800,2190.37100,163.46100,2353.83200,-157.26700,6.94300,-102.01300,-1880.97700,-2124.93800,2585.49000,-5172.51400,,-3.32800,-222.99600,-226.32400,-311.05900,-5709.89700,23.93210,-373.55600,-349.62390,884.59700,866.27800,-841.67700,3231.03500,2906.01200,-218.39500,-841.67700
2021-12-31,1118.71900,2242.94400,426.60500,2669.54900,-84.62900,18.35900,269.79700,-1910.17600,-1738.47200,2300.71300,-6238.17900,,2.34300,-89.42530,-87.08230,145.98500,-6179.27600,3480.60000,-426.31200,3054.28800,206.75300,188.43400,-775.12200,94.42300,2562.02300,-1316.54000,-775.12200
2020-12-31,1406.65300,2257.75000,-395.92800,1861.82200,-139.29600,-27.45800,137.45700,-688.38100,-502.46000,2689.86600,-4941.19700,,-12.75500,-191.47900,-204.23400,373.12500,-4772.30600,4466.82300,-319.23800,4147.58500,42.60000,24.09800,-748.34200,-7.52400,3415.81700,1333.37700,-748.34200
2019-12-31,1258.24400,2182.31300,420.62800,2602.94100,-101.22700,-28.17300,-71.89800,-184.26400,-405.40900,2816.62700,-4467.16700,,30.31900,-71.02300,-40.70400,-2.37100,-4510.24200,1685.01700,4.38900,1689.40600,701.51200,684.70000,-728.01100,-7.73200,1638.36200,-55.25300,-711.57300
2018-12-31,862.55500,2040.55500,270.59700,2311.15200,98.54600,45.83900,97.31200,-1109.07300,-822.88400,2385.24700,-3943.73100,,-54.50000,-173.27390,-227.77390,65.51800,-4105.98700,1069.79800,364.03100,1433.82900,602.58700,622.04900,-661.88900,26.45300,1420.44200,-300.29800,-647.70400
2017-12-31,425.35300,2078.57800,883.02500,2961.60300,-97.63700,-3.04300,101.80200,-232.92600,-197.20900,2623.50000,-3524.29400,,1.07800,-379.25100,-378.17300,61.41800,-3841.04900,223.70900,1163.29600,1387.00500,80.72900,74.52900,-642.82500,-7.73100,810.97800,-406.57100,-628.88500
2016-12-31,-564.50300,2123.29100,1999.38000,4122.67100,-96.97500,38.21000,174.42100,-217.15100,-137.79300,2998.69900,-3708.58300,,,-322.06810,-322.06810,180.60300,-3850.04800,1489.23400,-79.33700,1409.89700,33.11400,-82.16900,-632.62400,-6.87200,688.23200,-163.11700,-611.83500
2015-12-31,-156.73400,2117.23600,1173.08500,3290.32100,38.15200,-12.37600,-135.21100,62.16400,23.25300,3291.18400,-1989.05500,-70.79000,0.57100,-498.75100,-498.18000,-50.75700,-2608.78200,40.67090,-104.04700,-63.37610,-75.44100,-82.05800,-598.89700,-9.13600,-753.46700,-71.06500,-598.89700
2014-12-31,960.25700,2127.89200,720.46200,2848.35400,98.49300,3.52400,-12.99600,677.85300,728.90200,3889.56100,-2109.09100,,46.98300,-586.50420,-539.52110,-305.87600,-2954.48800,776.75610,-448.47500,328.28110,11.59500,11.59500,-615.62800,23.57900,-252.17300,682.90000,-596.11700
2013-12-31,730.57200,2012.07600,609.75700,2621.83300,-180.64800,4.87300,94.43600,-250.05900,-477.69100,3189.21900,-2156.97100,,,-646.63820,-646.63820,202.01600,-2601.59300,-68.64990,250.88900,182.23910,24.52700,48.77600,-611.83900,,-380.82400,206.55700,-593.03700
2012-12-31,868.36300,1771.64900,329.04500,2100.69400,-14.20200,-11.60400,-6.77900,139.30800,163.35900,2940.28500,-3131.00600,,,-584.26290,-584.26290,75.47200,-3639.79700,348.12820,687.67500,1035.80300,62.88600,113.88600,-611.53800,,538.15100,-161.86900,-589.20900
2011-12-31,1367.37200,1745.45500,-280.02900,1465.42600,28.09100,5.39300,-131.97000,453.48700,900.87100,3128.81700,-2686.16400,6.53100,-11.62300,-669.91210,-681.53510,-85.68500,-3446.85300,553.50900,-6.50100,547.00810,-188.44700,-218.75500,-610.53800,,-282.28500,-600.03400,-589.60500
2010-12-31,1270.30500,1705.33100,718.98700,2424.31800,-99.64000,-10.66500,216.63500,372.43100,379.42400,3926.08100,-1974.28600,228.17100,24.95600,-472.32370,-447.36770,-380.74000,-2574.22300,-307.43290,-8.51200,-315.94490,-827.41300,-827.41300,-623.91700,,-1767.27500,-415.07900,-603.85400
2009-12-31,1251.05000,1458.86100,852.65400,2311.51500,116.44400,19.29100,-14.25100,-314.44500,-448.01600,2933.15800,-1931.24500,-32.44600,99.92000,-277.58130,-177.66130,46.95800,-2094.39400,160.30000,-25.00000,135.30000,-584.92700,-586.77400,-596.91400,,-1048.38800,-210.94000,-576.95600
