,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,23200.00000,8686.00000,12906.00000,21592.00000,231.00000,210.00000,1032.00000,5683.00000,50475.00000,-31186.00000,-1312.00000,3532.00000,-5.00000,3527.00000,1.00000,-28970.00000,9071.00000,9071.00000,-27956.00000,-27956.00000,-3251.00000,-22136.00000,-1269.00000,11992.00000
2021-12-31,39370.00000,7967.00000,9646.00000,17613.00000,-3110.00000,1436.00000,-1170.00000,700.00000,57683.00000,-18567.00000,-851.00000,12179.00000,-47.00000,12132.00000,-284.00000,-7570.00000,-677.00000,-677.00000,-44537.00000,-44537.00000,-5514.00000,-50728.00000,-1089.00000,9164.00000
2020-12-31,29146.00000,6862.00000,5462.00000,12324.00000,-1512.00000,-17.00000,-248.00000,-2723.00000,38747.00000,-15115.00000,-388.00000,-8159.00000,-6361.00000,-14520.00000,-36.00000,-30059.00000,-604.00000,-604.00000,-6272.00000,-6272.00000,-3416.00000,-10292.00000,-1325.00000,6536.00000
2019-12-31,18485.00000,5741.00000,4838.00000,10579.00000,-1961.00000,113.00000,1798.00000,7250.00000,36314.00000,-15102.00000,-508.00000,-4193.00000,-61.00000,-4254.00000,,-19864.00000,-552.00000,-552.00000,-4202.00000,-4202.00000,-2545.00000,-7299.00000,9155.00000,4836.00000
2018-12-31,22112.00000,4315.00000,4374.00000,8689.00000,-1892.00000,221.00000,-1273.00000,-1527.00000,29274.00000,-13915.00000,-137.00000,2474.00000,-25.00000,2449.00000,,-11603.00000,,,-12879.00000,-12879.00000,-2693.00000,-15572.00000,1920.00000,4152.00000
2017-12-31,15934.00000,3025.00000,3370.00000,6395.00000,-1609.00000,43.00000,3144.00000,1887.00000,24216.00000,-6733.00000,-122.00000,-13250.00000,,-13250.00000,-13.00000,-20118.00000,,,-1976.00000,-1976.00000,-3259.00000,-5235.00000,-905.00000,3723.00000
2016-12-31,10217.00000,2342.00000,2791.00000,5133.00000,-1489.00000,14.00000,1219.00000,758.00000,16108.00000,-4491.00000,-123.00000,-7186.00000,,-7186.00000,8.00000,-11792.00000,-312.00000,-312.00000,,,2.00000,-310.00000,3943.00000,3218.00000
2015-12-31,3688.00000,1945.00000,3903.00000,5848.00000,-973.00000,18.00000,1226.00000,784.00000,10320.00000,-2523.00000,-313.00000,-6700.00000,,-6700.00000,102.00000,-9434.00000,-119.00000,-119.00000,,,-20.00000,-139.00000,592.00000,2960.00000
2014-12-31,2940.00000,1243.00000,3405.00000,4648.00000,-610.00000,31.00000,-11.00000,-262.00000,7326.00000,-1831.00000,-4975.00000,1243.00000,,1243.00000,-350.00000,-5913.00000,-243.00000,-243.00000,,,-55.00000,-298.00000,992.00000,1786.00000
2013-12-31,1500.00000,1011.00000,1035.00000,2046.00000,-378.00000,26.00000,1066.00000,676.00000,4222.00000,-1362.00000,-368.00000,-882.00000,,-882.00000,-12.00000,-2624.00000,-1891.00000,-1891.00000,1504.00000,1504.00000,-280.00000,-667.00000,939.00000,906.00000
2012-12-31,53.00000,649.00000,1409.00000,2058.00000,-170.00000,1.00000,-482.00000,-499.00000,1612.00000,-1235.00000,-911.00000,-4874.00000,,-4874.00000,-4.00000,-7024.00000,1130.00000,1130.00000,6777.00000,6777.00000,-1624.00000,6283.00000,872.00000,1572.00000
2011-12-31,1000.00000,323.00000,191.00000,514.00000,-174.00000,6.00000,166.00000,35.00000,1549.00000,-606.00000,-24.00000,-2396.00000,-3.00000,-2399.00000,6.00000,-3023.00000,-431.00000,-431.00000,1026.00000,1026.00000,603.00000,1198.00000,-273.00000,217.00000
2010-12-31,606.00000,139.00000,46.00000,185.00000,-209.00000,12.00000,84.00000,-93.00000,698.00000,-293.00000,-22.00000,0.00000,,,-9.00000,-324.00000,160.00000,160.00000,506.00000,506.00000,115.00000,781.00000,1152.00000,20.00000
2009-12-31,229.00000,78.00000,27.00000,105.00000,-112.00000,-7.00000,-87.00000,-179.00000,155.00000,-33.00000,3.00000,,,,-32.00000,-62.00000,-48.00000,-48.00000,9.00000,209.00000,82.00000,243.00000,336.00000,27.00000
