,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6933.00000,3267.00000,900.00000,4167.00000,-68.00000,-1413.00000,-75.00000,-1519.00000,9581.00000,-1777.00000,48.00000,-33.00000,-33.00000,22.00000,-1740.00000,-746.00000,47.00000,-699.00000,-3628.00000,-3628.00000,-3309.00000,,-7636.00000,83.00000,685.00000,-3309.00000
2021-12-31,7071.00000,3538.00000,695.00000,4233.00000,-383.00000,-456.00000,-312.00000,-771.00000,10533.00000,-1885.00000,-53.00000,-96.00000,-96.00000,26.00000,-2008.00000,-44.00000,-204.00000,-248.00000,-2044.00000,-2044.00000,-3202.00000,,-5494.00000,2961.00000,640.00000,-3202.00000
2020-12-31,4495.00000,3327.00000,971.00000,4298.00000,-924.00000,-493.00000,-627.00000,-892.00000,7901.00000,-2177.00000,16.00000,-73.00000,-73.00000,19.00000,-2215.00000,-52.00000,2.00000,-50.00000,-158.00000,-158.00000,-2560.00000,-11.00000,-2779.00000,2978.00000,546.00000,-2560.00000
2019-12-31,3687.00000,3014.00000,766.00000,3780.00000,-275.00000,-593.00000,-138.00000,-1331.00000,6136.00000,-1638.00000,-122.00000,-82.00000,-82.00000,27.00000,-1815.00000,-1599.00000,,-1599.00000,-420.00000,-420.00000,-2270.00000,,-4289.00000,16.00000,519.00000,-2270.00000
2018-12-31,2368.00000,3310.00000,770.00000,4080.00000,-190.00000,-514.00000,23.00000,-148.00000,6300.00000,-1394.00000,-6.00000,-58.00000,-58.00000,102.00000,-1356.00000,-8424.00000,-26.00000,-8450.00000,33.00000,33.00000,-1974.00000,,-10391.00000,-5563.00000,477.00000,-1974.00000
2017-12-31,477.00000,3933.00000,-755.00000,3178.00000,-207.00000,249.00000,109.00000,1915.00000,5570.00000,-1135.00000,-11141.00000,-81.00000,-81.00000,2739.00000,-9618.00000,-1908.00000,-1034.00000,-2942.00000,233.00000,-477.00000,-1849.00000,-13.00000,-5281.00000,-9213.00000,406.00000,-1849.00000
2016-12-31,1400.00000,1518.00000,1798.00000,3316.00000,-177.00000,-98.00000,113.00000,-1513.00000,3203.00000,-1121.00000,-55.00000,886.00000,886.00000,42.00000,-248.00000,14922.00000,-1767.00000,13155.00000,-274.00000,-274.00000,-1539.00000,-195.00000,11147.00000,13619.00000,310.00000,-1539.00000
2015-12-31,4423.00000,1472.00000,-2773.00000,-1301.00000,-171.00000,-257.00000,57.00000,-156.00000,2966.00000,-1110.00000,2285.00000,-821.00000,-821.00000,52.00000,406.00000,2428.00000,-1281.00000,1147.00000,-1923.00000,-1923.00000,-1443.00000,-17.00000,-2236.00000,938.00000,292.00000,-1443.00000
2014-12-31,2284.00000,1548.00000,333.00000,1881.00000,-195.00000,-297.00000,30.00000,-490.00000,3675.00000,-1077.00000,-3312.00000,4117.00000,4117.00000,70.00000,-202.00000,-577.00000,1343.00000,766.00000,-1766.00000,-1766.00000,-1342.00000,-400.00000,-2742.00000,588.00000,246.00000,-1342.00000
2013-12-31,2576.00000,1719.00000,266.00000,1985.00000,-113.00000,-154.00000,131.00000,-1237.00000,3324.00000,-1145.00000,-580.00000,-2225.00000,-2225.00000,21.00000,-3929.00000,-294.00000,2086.00000,1792.00000,-1210.00000,-1210.00000,-882.00000,-6396.00000,-6696.00000,-7327.00000,262.00000,-882.00000
2012-12-31,5963.00000,2782.00000,2428.00000,5210.00000,36.00000,-417.00000,-35.00000,-1859.00000,9314.00000,-1795.00000,-706.00000,-3062.00000,-3062.00000,3.00000,-5560.00000,3629.00000,784.00000,4413.00000,-514.00000,-514.00000,-3183.00000,-521.00000,195.00000,3989.00000,433.00000,-3183.00000
2011-12-31,4728.00000,3044.00000,1197.00000,4241.00000,-670.00000,-130.00000,413.00000,1.00000,8970.00000,-1491.00000,-273.00000,539.00000,539.00000,1886.00000,661.00000,-2012.00000,-1965.00000,-3977.00000,892.00000,892.00000,-2938.00000,-400.00000,-6423.00000,3165.00000,383.00000,-2938.00000
2010-12-31,4626.17200,2624.30500,826.72000,3451.02500,-394.66500,139.85700,553.14500,658.78410,8735.98100,-1015.07500,-9433.24300,148.42900,148.42900,-1888.42600,-12188.32000,2326.00200,-203.85400,2122.14800,-538.41400,-538.41400,-2671.47500,,-1087.74100,-5160.96800,387.18300,-2671.47500
2009-12-31,5745.83800,2089.51000,-218.80600,1870.70400,-387.74900,230.55500,-386.88900,-341.38200,7275.16000,-1089.04800,-2370.63000,-232.66400,-232.66400,-6.36800,-3698.71000,516.82400,3217.33100,3734.15500,-317.67600,-317.67600,-2414.46000,,1002.01900,4697.31700,366.35700,-2414.46000
