,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,756.00000,1233.00000,220.00000,1453.00000,-176.00000,-90.00000,358.00000,-403.00000,-391.00000,1730.00000,-2155.00000,,-3514.00000,,,,15.00000,-5654.00000,586.00000,916.00000,1502.00000,,,-787.00000,-6.00000,709.00000,-3215.00000,,-787.00000
2021-12-31,-1480.00000,1121.00000,2710.00000,3831.00000,-14.00000,-21.00000,24.00000,-56.00000,-40.00000,2270.00000,-1973.00000,,,,,,9930.00000,7957.00000,-4256.00000,-799.00000,-5055.00000,-1003.00000,-1003.00000,-1279.00000,-53.00000,-7390.00000,3129.00000,,-1279.00000
2020-12-31,1469.00000,1080.00000,162.00000,1242.00000,-70.00000,-9.00000,-1.00000,-140.00000,-89.00000,2746.00000,-2270.00000,,,,,,-988.00000,-3258.00000,1173.00000,30.00000,1203.00000,,,-1275.00000,458.00000,386.00000,-217.00000,,-1275.00000
2019-12-31,1746.00000,1007.00000,-25.00000,982.00000,-3.00000,,-66.00000,-212.00000,-272.00000,2427.00000,-2243.00000,,,,,,-837.00000,-3080.00000,799.00000,-341.00000,458.00000,1167.00000,1167.00000,-1192.00000,403.00000,836.00000,39.00000,,-1192.00000
2018-12-31,1827.00000,1172.00000,-361.00000,811.00000,28.00000,17.00000,78.00000,-5.00000,118.00000,2821.00000,-3238.00000,,,-59.00000,,-59.00000,-64.00000,-3361.00000,782.00000,363.00000,1145.00000,698.00000,698.00000,-1133.00000,-20.00000,690.00000,132.00000,26.00000,-1133.00000
2017-12-31,1128.00000,1105.00000,254.00000,1359.00000,-33.00000,40.00000,-10.00000,-23.00000,-26.00000,2461.00000,-3133.00000,,,0.00000,,,-28.00000,-3161.00000,1347.00000,115.00000,1462.00000,453.00000,453.00000,-1072.00000,-19.00000,824.00000,139.00000,38.00000,-1072.00000
2016-12-31,1902.00000,1006.00000,128.00000,1134.00000,-15.00000,-3.00000,57.00000,-240.00000,-201.00000,2890.00000,-2920.00000,,,,,,-6.00000,-2926.00000,412.00000,29.00000,441.00000,144.00000,144.00000,-1030.00000,6.00000,-439.00000,-503.00000,28.00000,-1030.00000
2015-12-31,682.00000,942.00000,1088.00000,2030.00000,47.00000,24.00000,-116.00000,123.00000,-97.00000,2615.00000,-3533.00000,-37.00000,,,136.00000,136.00000,-154.00000,-3588.00000,1236.00000,94.00000,1330.00000,203.00000,203.00000,-1004.00000,-461.00000,68.00000,-563.00000,31.00000,-1004.00000
2014-12-31,1737.00000,988.00000,436.00000,1424.00000,-123.00000,,40.00000,164.00000,242.00000,3403.00000,-3674.00000,-49.00000,,19.00000,-120.00000,-101.00000,495.00000,-3329.00000,59.00000,147.00000,206.00000,1074.00000,1074.00000,-967.00000,270.00000,583.00000,536.00000,,-967.00000
2013-12-31,1130.00000,909.00000,914.00000,1823.00000,-211.00000,,127.00000,-64.00000,-97.00000,2856.00000,-3629.00000,-53.00000,,2.00000,,2.00000,-615.00000,-4295.00000,2038.00000,405.00000,2443.00000,1337.00000,1337.00000,-878.00000,-1271.00000,1631.00000,375.00000,,-878.00000
2012-12-31,1531.00000,1286.00000,,1286.00000,7.00000,-18.00000,-29.00000,-92.00000,-108.00000,2764.00000,-3105.00000,-71.00000,-84.00000,96.00000,-15.00000,81.00000,56.00000,-3123.00000,1115.00000,74.00000,1189.00000,72.00000,-178.00000,-833.00000,-130.00000,48.00000,-301.00000,49.00000,-833.00000
2011-12-31,1512.00000,1215.00000,-181.00000,1034.00000,-89.00000,,-36.00000,119.00000,-1.00000,2507.00000,-2106.00000,-102.00000,-5763.00000,-143.00000,150.00000,7.00000,12.00000,-7952.00000,4535.00000,-125.00000,4410.00000,2297.00000,2297.00000,-746.00000,-194.00000,5767.00000,277.00000,,-746.00000
2010-12-31,959.00000,780.00000,675.00000,1455.00000,-106.00000,,216.00000,-593.00000,-413.00000,2033.00000,-1597.00000,,-6650.00000,85.00000,-14.00000,71.00000,-53.00000,-8229.00000,4622.00000,70.00000,4692.00000,2441.00000,2387.00000,-566.00000,-206.00000,6307.00000,124.00000,,-566.00000
2009-12-31,426.00000,860.00000,415.00000,1275.00000,76.00000,,-150.00000,235.00000,138.00000,1852.00000,-1225.00000,,81.00000,218.00000,128.00000,346.00000,-82.00000,-880.00000,-718.00000,-52.00000,-770.00000,60.00000,60.00000,-517.00000,-44.00000,-1271.00000,-299.00000,,-517.00000
