,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,6552.00000,3417.00000,485.00000,3902.00000,-746.00000,-742.00000,154.00000,258.00000,-733.00000,9721.00000,-936.00000,,-3709.00000,-1369.00000,-1369.00000,-30.00000,-6044.00000,6919.00000,6919.00000,-6360.00000,-6360.00000,-4196.00000,-400.00000,-4037.00000,-360.00000,401.00000,-4196.00000
2021-12-31,5893.00000,3398.00000,1164.00000,4562.00000,-429.00000,-165.00000,-69.00000,-237.00000,-1194.00000,9261.00000,-880.00000,,-2529.00000,4334.00000,4334.00000,-192.00000,733.00000,795.00000,795.00000,-4975.00000,-4975.00000,-4013.00000,-78.00000,-8271.00000,1723.00000,341.00000,-4013.00000
2020-12-31,7264.00000,3601.00000,-152.00000,3449.00000,-427.00000,-215.00000,45.00000,129.00000,-216.00000,10497.00000,-608.00000,,,-1499.00000,-1499.00000,-3294.00000,-5401.00000,2464.00000,2464.00000,-3486.00000,-3486.00000,-3755.00000,-90.00000,-4867.00000,229.00000,330.00000,-3755.00000
2019-12-31,7842.00000,2206.00000,-167.00000,2039.00000,-504.00000,-66.00000,164.00000,10.00000,-731.00000,9150.00000,-618.00000,,-13617.00000,19996.00000,19996.00000,-52.00000,5709.00000,-4514.00000,-4514.00000,-7702.00000,-7702.00000,-3509.00000,-42.00000,-15767.00000,-908.00000,308.00000,-3509.00000
2018-12-31,8394.00000,1946.00000,334.00000,2280.00000,-378.00000,-3.00000,-143.00000,35.00000,622.00000,11296.00000,-738.00000,,195.00000,15027.00000,15027.00000,-145.00000,14339.00000,-1121.00000,-1121.00000,-17794.00000,-17794.00000,-3507.00000,-68.00000,-22490.00000,3145.00000,311.00000,-3507.00000
2017-12-31,1979.00000,1955.00000,-667.00000,1288.00000,-58.00000,133.00000,424.00000,-24.00000,7910.00000,11177.00000,-664.00000,,-19.00000,-3193.00000,-3193.00000,-148.00000,-4024.00000,71.00000,71.00000,-3160.00000,-3160.00000,-3365.00000,-140.00000,-6594.00000,559.00000,329.00000,-3365.00000
2016-12-31,7722.00000,2105.00000,526.00000,2631.00000,-214.00000,-80.00000,-44.00000,-128.00000,1.00000,10354.00000,-738.00000,,,-7677.00000,-7677.00000,-243.00000,-8658.00000,3593.00000,3593.00000,-2965.00000,-2965.00000,-2998.00000,-229.00000,-2599.00000,-903.00000,311.00000,-2998.00000
2015-12-31,6939.00000,2108.00000,-431.00000,1677.00000,-420.00000,481.00000,-12.00000,155.00000,1115.00000,9731.00000,-320.00000,,-359.00000,-4421.00000,-4421.00000,-447.00000,-5547.00000,1065.00000,1065.00000,-1867.00000,-1867.00000,-2396.00000,-573.00000,-3771.00000,413.00000,322.00000,-2396.00000
2014-12-31,5158.00000,2092.00000,356.00000,2448.00000,136.00000,327.00000,228.00000,-1.00000,1346.00000,8952.00000,-715.00000,-285.00000,-165.00000,-4982.00000,-4982.00000,395.00000,-5752.00000,-1129.00000,-1129.00000,48.00000,48.00000,-1851.00000,-342.00000,-3274.00000,-74.00000,408.00000,-1851.00000
2013-12-31,5081.00000,1286.00000,317.00000,1603.00000,-38.00000,-7.00000,60.00000,-59.00000,-393.00000,6291.00000,-673.00000,0.00000,-9434.00000,2248.00000,2248.00000,-610.00000,-8469.00000,4683.00000,4683.00000,-536.00000,-536.00000,-1415.00000,-6.00000,2726.00000,548.00000,403.00000,-1415.00000
2012-12-31,4345.00000,1088.00000,494.00000,1582.00000,348.00000,-150.00000,161.00000,-656.00000,-45.00000,5882.00000,-689.00000,-25.00000,-2390.00000,-6875.00000,-6875.00000,-11.00000,-9990.00000,4810.00000,4810.00000,-3319.00000,-3319.00000,-1118.00000,46.00000,419.00000,-3689.00000,362.00000,-1118.00000
2011-12-31,3683.00000,1060.00000,82.00000,1142.00000,-557.00000,-383.00000,-95.00000,576.00000,294.00000,5119.00000,-567.00000,,-701.00000,437.00000,437.00000,45.00000,-786.00000,7887.00000,7887.00000,-8073.00000,-8073.00000,-500.00000,12.00000,-674.00000,3659.00000,341.00000,-500.00000
2010-12-31,4627.00000,1017.00000,460.00000,1477.00000,-210.00000,153.00000,142.00000,20.00000,-317.00000,5787.00000,-580.00000,,,-3475.00000,-3475.00000,-97.00000,-4152.00000,2471.00000,2471.00000,-3706.00000,-3706.00000,,3.00000,-1232.00000,403.00000,353.00000,0.00000
2009-12-31,4605.00000,1049.00000,573.00000,1622.00000,-36.00000,-134.00000,71.00000,-3.00000,109.00000,6336.00000,-530.00000,,,-2723.00000,-2723.00000,51.00000,-3202.00000,980.00000,980.00000,-3208.00000,-3208.00000,,204.00000,-2024.00000,1110.00000,284.00000,0.00000
