,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,4338.40000,341.40000,578.40000,919.80000,707.80000,-696.50000,-116.20000,-243.30000,5014.90000,-590.10000,-1026.80000,-230.30000,-1937.40000,-1937.40000,,-3784.60000,,,-1009.00000,-1009.00000,,-1009.00000,221.30000,725.00000
2021-12-31,8075.30000,286.20000,636.30000,922.50010,-1927.40000,-494.30000,-360.90000,-1916.50000,7081.30000,-551.90000,,,-4832.80000,-4832.80000,,-5384.70000,,,-1005.80000,-1005.80000,,-1005.80000,690.80000,601.70000
2020-12-31,3513.20000,235.90000,372.60000,608.50000,-1356.10000,-529.40000,263.00000,-1503.60000,2618.10000,-614.60000,,,544.00000,544.00000,,-70.60000,1981.90000,1981.90000,-3952.40000,-3952.40000,,-1970.50000,577.00000,432.00000
2019-12-31,2115.80000,210.30000,304.40000,514.70000,-523.70000,-335.50000,59.70000,-200.50000,2430.00000,-429.60000,,,-1598.20000,-1598.20000,,-2027.80000,,,-252.10000,-252.10000,,-252.10000,150.10000,464.30000
2018-12-31,2444.40000,148.20000,299.50000,447.70000,-236.40000,-387.90000,-131.50000,-697.00000,2195.10000,-383.10000,,,-1069.90000,-1069.90000,-10.00000,-1463.00000,,,-77.10000,-77.10000,,-77.10000,655.00000,427.40000
2017-12-31,1198.50000,145.50000,889.60000,1035.10000,-362.70000,-314.20000,-226.40000,-926.50010,1307.10000,-272.60000,,,-732.60000,-732.60000,,-1005.20000,37.10000,37.10000,-61.50000,-61.50000,,-24.40000,277.50000,507.30000
2016-12-31,895.50000,104.70000,244.90000,349.60000,-143.80000,-149.80000,280.40000,240.80000,1485.90000,-511.90000,,,-534.90000,-534.90000,,-1046.80000,-40.60000,-40.60000,-659.90000,-659.90000,,-700.50000,-261.40000,559.90000
2015-12-31,636.05600,74.90900,389.98800,464.89700,-491.42100,-111.82500,529.41600,229.82710,1330.78000,-677.93300,,,-229.66800,-229.66800,,-907.60100,-713.93400,-713.93400,45.82100,45.82100,405.31700,-262.79600,160.38300,459.04900
2014-12-31,338.12600,52.68600,346.04500,398.73100,-34.92700,-56.94700,-53.73000,15.57800,752.43500,-333.00600,,,-87.77100,-87.77100,,-420.77700,-516.28590,-516.28590,-141.53900,-141.53900,439.27800,-218.54700,113.11100,321.75000
2013-12-31,413.73800,41.20400,324.32300,365.52700,-245.47200,-47.95600,-33.92500,-190.66900,588.59600,-156.32300,,,-199.13200,-199.13200,,-355.45500,-2.02400,-2.02400,-137.69400,-137.69400,211.90900,72.19100,305.33200,215.37700
2012-12-31,750.26900,36.94000,-189.02500,-152.08500,-588.39800,-28.93200,-66.44800,-672.79900,-74.61500,-49.33700,,,-31.73600,-31.73600,,-81.07300,-2.20300,-2.20300,-99.75100,-99.75100,4.30800,-97.64600,-253.33400,94.15700
2011-12-31,-221.76000,31.08200,67.90900,98.99100,-21.11800,-14.09400,-33.71700,-18.91300,-141.68200,-57.21700,,,185.68800,185.68800,,128.47100,271.94000,271.94000,112.30900,112.30900,,384.24900,371.03800,56.09400
2010-12-31,-104.46800,19.68700,43.97700,63.66400,-17.51800,,149.93900,140.02600,99.22200,-99.68900,,,-331.40100,-331.40100,-5.94100,-437.03100,46.51600,46.51600,196.79000,196.79000,,243.30600,-94.50300,39.89700
2009-12-31,-67.83000,14.24700,33.49700,47.74400,-30.49400,,-31.93300,-49.85000,-69.93600,-97.31800,,,95.12000,95.12000,0.05000,-2.14800,22.76500,22.76500,8.59800,8.59800,,31.36300,-40.72100,31.25900
