,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3522.00000,1013.00000,-1858.00000,-845.00000,36.00000,,-153.00000,-74.00000,2603.00000,-89.00000,210.00000,-2.00000,-2.00000,3509.00000,3628.00000,1697.00000,-32.00000,1665.00000,-11997.00000,-11997.00000,-1294.00000,300.00000,-11326.00000,-5218.00000,214.00000,-1294.00000
2021-12-31,3263.00000,178.00000,227.00000,405.00000,-144.00000,,36.00000,-70.00000,3598.00000,-35.00000,-99.00000,-2.00000,-2.00000,16.00000,-120.00000,,,,13.00000,13.00000,-970.00000,-56.00000,-1013.00000,2383.00000,122.00000,-970.00000
2020-12-31,2534.00000,206.00000,580.00000,786.00000,18.00000,,97.00000,247.00000,3567.00000,-76.00000,-201.00000,19.00000,19.00000,18.00000,-240.00000,-118.00000,,-118.00000,-1148.00000,-1148.00000,-839.00000,-61.00000,-2166.00000,1236.00000,90.00000,-839.00000
2019-12-31,2303.00000,204.00000,271.00000,475.00000,-135.00000,,60.00000,-2.00000,2776.00000,-115.00000,-91.00000,-10.00000,-10.00000,85.00000,-131.00000,218.00000,,218.00000,-1200.00000,-1200.00000,-703.00000,-66.00000,-1751.00000,928.00000,78.00000,-703.00000
2018-12-31,2121.00000,206.00000,249.00000,455.00000,-164.00000,,-134.00000,-512.00000,2064.00000,-113.00000,-401.00000,-5.00000,-5.00000,6.00000,-513.00000,86.00000,,86.00000,-1651.00000,-1651.00000,-657.00000,-66.00000,-2288.00000,-821.00000,94.00000,-657.00000
2017-12-31,1638.00000,180.00000,266.00000,446.00000,-196.00000,,57.00000,-68.00000,2016.00000,-123.00000,-83.00000,-5.00000,-5.00000,2.00000,-209.00000,,,,-926.00000,-926.00000,-532.00000,-49.00000,-1507.00000,387.00000,99.00000,-532.00000
2016-12-31,2228.00000,181.00000,-853.00000,-672.00000,-177.00000,,312.00000,4.00000,1560.00000,-115.00000,-211.00000,-1.00000,-1.00000,1498.00000,1171.00000,72.00000,-143.00000,-71.00000,-1035.00000,-1035.00000,-496.00000,-60.00000,-1662.00000,911.00000,76.00000,-496.00000
2015-12-31,1268.00000,157.00000,531.00000,688.00000,-118.00000,,151.00000,-1600.00000,356.00000,-139.00000,-2396.00000,-4.00000,-4.00000,14.00000,-2525.00000,2674.00000,143.00000,2817.00000,-904.00000,-904.00000,-467.00000,-97.00000,1349.00000,-1016.00000,78.00000,-467.00000
2014-12-31,-13.00000,134.00000,1355.00000,1489.00000,-9.00000,,-93.00000,-267.00000,1209.00000,-92.00000,-71.00000,15.00000,15.00000,83.00000,-65.00000,,,,-169.00000,-169.00000,-410.00000,117.00000,-462.00000,955.00000,100.00000,-410.00000
2013-12-31,1466.00000,137.00000,-335.00000,-198.00000,-35.00000,,-357.00000,-486.00000,782.00000,-117.00000,-47.00000,-17.00000,-17.00000,51.00000,-130.00000,,-457.00000,-457.00000,-934.00000,-934.00000,-383.00000,31.00000,-1743.00000,782.00000,96.00000,-383.00000
2012-12-31,492.00000,141.00000,387.00000,528.00000,-250.00000,,-113.00000,-290.00000,730.00000,-96.00000,-177.00000,27.00000,27.00000,,-246.00000,-400.00000,457.00000,57.00000,4.00000,4.00000,-1008.00000,42.00000,-905.00000,-75.00000,90.00000,-1008.00000
2011-12-31,934.00000,126.00000,-158.00000,-32.00000,14.00000,,37.00000,22.00000,924.00000,-92.00000,-194.00000,-6.00000,-6.00000,21.00000,-271.00000,,,,-1361.00000,-1361.00000,-319.00000,20.00000,-1660.00000,-581.00000,77.00000,-319.00000
2010-12-31,851.00000,108.00000,-129.00000,-21.00000,-73.00000,,-153.00000,-126.00000,704.00000,-61.00000,-327.00000,2.00000,2.00000,,-386.00000,,,,-206.00000,-206.00000,-326.00000,2.00000,-530.00000,298.00000,51.00000,-326.00000
2009-12-31,750.00000,461.00000,74.00000,535.00000,50.00000,68.00000,-73.00000,45.00000,1330.00000,-92.00000,,-25.00000,-25.00000,-162.00000,-279.00000,,-70.00000,-70.00000,25.00000,25.00000,-290.00000,,-335.00000,738.00000,22.00000,-290.00000
