,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1595.00000,940.00000,436.00000,1376.00000,-1151.00000,-642.00000,852.00000,,-941.00000,2242.00000,-811.00000,,,,,-156.00000,-967.00000,-1242.00000,-1242.00000,229.00000,229.00000,-435.00000,-350.00000,-1798.00000,-698.00000,,-435.00000
2021-12-31,1468.00000,904.00000,-521.00000,383.00000,-500.00000,-10.00000,795.00000,,285.00000,1911.00000,-542.00000,,,,,8.00000,-534.00000,-700.00000,-700.00000,79.00000,79.00000,-161.00000,-56.00000,-838.00000,481.00000,,-161.00000
2020-12-31,-2942.00000,1058.00000,3005.00000,4063.00000,1394.00000,340.00000,-934.00000,,800.00000,1881.00000,-442.00000,,,,,-44.00000,-486.00000,-660.00000,-660.00000,87.00000,87.00000,-278.00000,-156.00000,-1007.00000,295.00000,,-278.00000
2019-12-31,-1129.00000,1625.00000,1966.00000,3591.00000,636.00000,-202.00000,-595.00000,,-161.00000,2445.00000,-1340.00000,,,,,-105.00000,-1445.00000,-13.00000,-13.00000,118.00000,118.00000,-630.00000,-170.00000,-695.00000,260.00000,,-630.00000
2018-12-31,1657.00000,1606.00000,-2.00000,1604.00000,-186.00000,-681.00000,483.00000,,-453.00000,3157.00000,-1808.00000,-187.00000,,,,2.00000,-1993.00000,-445.00000,-445.00000,195.00000,195.00000,-630.00000,-539.00000,-1419.00000,-329.00000,,-630.00000
2017-12-31,-468.00000,1556.00000,1381.00000,2937.00000,-1350.00000,-29.00000,753.00000,,-626.00000,2468.00000,-1215.00000,-628.00000,,,,-84.00000,-1927.00000,-1641.00000,-1641.00000,158.00000,158.00000,-626.00000,-52.00000,-2161.00000,-1672.00000,,-626.00000
2016-12-31,-5769.00000,1503.00000,1856.00000,3359.00000,899.00000,552.00000,-219.00000,-525.00000,707.00000,-1703.00000,-576.00000,-31.00000,,4.00000,4.00000,-107.00000,-710.00000,-3171.00000,-3171.00000,186.00000,186.00000,-620.00000,65.00000,-3540.00000,-6068.00000,,-620.00000
2015-12-31,-667.00000,1835.00000,1316.00000,3151.00000,1468.00000,153.00000,-603.00000,-596.00000,422.00000,2906.00000,-2016.00000,-39.00000,,,,-137.00000,-2192.00000,7432.00000,7432.00000,167.00000,167.00000,-614.00000,96.00000,7081.00000,7786.00000,,-614.00000
2014-12-31,3501.00000,2126.00000,-922.00000,1204.00000,-1381.00000,-271.00000,489.00000,520.00000,-643.00000,4062.00000,-2945.00000,-231.00000,,,,38.00000,-3138.00000,-4.00000,-4.00000,-468.00000,-468.00000,-533.00000,-25.00000,-1030.00000,-65.00000,,-533.00000
2013-12-31,2135.00000,1900.00000,868.00000,2768.00000,-449.00000,-107.00000,327.00000,-227.00000,-456.00000,4447.00000,-2693.00000,-94.00000,356.00000,-329.00000,27.00000,-110.00000,-2870.00000,2968.00000,2968.00000,-4079.00000,-4079.00000,-465.00000,-178.00000,-1754.00000,-128.00000,,-465.00000
2012-12-31,2645.00000,1628.00000,682.00000,2310.00000,-682.00000,-611.00000,200.00000,-208.00000,-1301.00000,3654.00000,-3171.00000,-214.00000,,-248.00000,-248.00000,-55.00000,-3688.00000,,,107.00000,107.00000,-333.00000,54.00000,-172.00000,-214.00000,217.00000,-333.00000
2011-12-31,2844.00000,1359.00000,136.00000,1495.00000,-1218.00000,-564.00000,649.00000,478.00000,-655.00000,3684.00000,-2793.00000,-880.00000,,500.00000,500.00000,-17.00000,-3190.00000,978.00000,978.00000,160.00000,160.00000,-330.00000,25.00000,833.00000,1300.00000,,-330.00000
2010-12-31,1842.00000,1119.00000,84.00000,1203.00000,-902.00000,-331.00000,330.00000,70.00000,-833.00000,2212.00000,-1842.00000,-523.00000,1925.00000,-1282.00000,643.00000,-33.00000,-1755.00000,-790.00000,-790.00000,-39.00000,-39.00000,-327.00000,42.00000,-1114.00000,-684.00000,,-327.00000
2009-12-31,1155.00000,931.00000,-134.00000,797.00000,869.00000,232.00000,-118.00000,-529.00000,454.00000,2406.00000,-1864.00000,-55.00000,300.00000,-1620.00000,-1320.00000,154.00000,-3085.00000,1944.00000,1944.00000,57.00000,57.00000,-324.00000,-7.00000,1670.00000,958.00000,,-324.00000
