,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-09-30,1302.00000,430.10000,-60.60000,369.50000,272.30000,-136.60000,-14.40000,372.00000,454.20000,2125.70000,-127.20000,,-158.60000,,,,79.50000,-206.30000,36.20000,,36.20000,-531.50000,-531.50000,-260.70000,-756.00000,1169.20000,66.70000
2021-09-30,1869.70000,406.90000,40.80000,447.70000,110.90000,-84.10000,20.40000,-42.30000,13.00000,2330.40000,-177.70000,-6.50000,-1164.70000,,,,19.30000,-1329.60000,-361.90010,,-361.90010,-406.00000,-406.00000,238.10000,-529.80000,469.30000,65.00000
2020-09-30,1110.50000,376.00000,46.40000,422.40000,-427.10000,-25.30000,-4.90000,-271.20000,-636.30000,896.60000,-17.10000,,-119.40000,,,,-5.10000,-141.60000,202.50000,,202.50000,-602.30000,-602.30000,-260.10000,-659.90000,99.20000,83.30000
2019-09-30,-203.60000,463.10000,546.30000,1009.40000,-76.50000,-63.00000,-5.50000,8.40000,-156.30000,649.50000,-109.10000,-4.50000,-110.60000,,-18.20000,-18.20000,-38.30000,-280.70000,-269.39990,,-269.39990,-163.10000,-163.10000,1.00000,-431.50000,-64.90000,62.00000
2018-09-30,-111.30000,480.30000,390.10000,870.40010,-38.20000,-50.60000,23.90000,-5.70000,-26.20000,732.90000,-105.60000,,-76.50000,,-6.00000,-6.00000,-7.10000,-195.20000,-143.29980,,-143.29980,-259.30000,-259.30000,-2.20000,-404.80000,126.10000,65.00000
2017-09-30,755.50000,449.20000,-1093.20000,-644.00000,-41.50000,-11.60000,-10.60000,-13.00000,-103.20000,8.30000,-107.60000,,306.90000,87.10000,,87.10000,-0.60000,285.80000,-136.50000,,-136.50000,-219.80000,-219.80000,47.10000,-309.20000,-7.80000,68.20000
2016-09-30,330.80000,465.40000,-54.40000,411.00010,-31.80000,7.60000,40.10000,-9.80000,56.40000,798.20000,-94.50000,,,31.10000,,31.10000,-5.00000,-68.40000,-692.80000,50.00000,-642.80000,-266.40000,-266.40000,238.50000,-670.70000,57.10000,65.40000
2015-09-30,131.60000,491.40000,75.30000,566.70000,-30.30000,43.90000,25.50000,21.80000,98.50000,796.80000,-89.40000,,,,3.60000,3.60000,-0.30000,-86.10000,-1143.60000,175.00000,-968.59990,57.10000,57.10000,-35.90000,-947.40000,-244.80000,59.30000
2014-09-30,17.30000,523.20000,-76.60000,446.60000,7.90000,-44.70000,11.80000,32.40000,44.50000,508.40000,-70.10000,,,,6.50000,6.50000,-3.40000,-67.00000,-595.00000,,-595.00000,71.60000,71.60000,-1.70000,-525.10000,-86.40000,50.00000
2013-09-30,-1172.80000,1633.40000,-31.30000,1602.10000,4.10000,25.20000,-6.40000,14.20000,64.50000,493.80000,-90.10000,60.00000,62.00000,,-5.60000,-5.60000,-7.50000,18.80000,-265.00000,,-265.00000,62.80000,62.80000,-46.60000,-248.80000,262.10000,52.30000
2012-09-30,-73.60000,351.60000,64.00000,415.60000,-11.00000,-12.20000,3.80000,82.50000,28.20000,370.20000,-78.70000,8.00000,-3772.20000,,-0.30000,-0.30000,-7.60000,-3850.80000,3476.30000,,3476.30000,28.60000,28.60000,-176.80000,3328.10000,-151.90000,40.60000
2011-09-30,157.15000,304.73600,7.37500,312.11100,-17.13100,-32.15800,2.58900,-0.95200,-13.23700,456.02400,-55.66300,10.22900,-216.13700,,-5.42100,-5.42100,0.40500,-266.58700,-1.36200,,-1.36200,25.40400,25.40400,-16.36800,7.67400,196.70700,35.47200
2010-09-30,-62.81300,371.49100,149.44200,520.93300,-20.21100,-5.24700,7.15100,21.01900,-1.40800,456.71200,-46.65800,70.50000,-85.35700,,-5.43900,-5.43900,-0.02600,-66.98000,,-177.00400,-177.00400,12.59400,12.59400,-3.16500,-167.57500,222.43900,34.16000
2009-09-30,-2216.64200,2613.94700,96.41200,2710.35900,57.58100,-14.33600,-12.88100,19.06300,56.73900,550.45600,-58.23400,-3.98800,-0.22900,0.00000,-5.87200,-5.87200,2.71300,-65.61000,,-301.25800,-301.25800,10.88700,10.88700,1.74700,-288.62400,197.52500,32.93900
