,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1498.00000,1031.00000,902.00000,1933.00000,20.00000,103.00000,123.00000,3554.00000,-482.00000,-59.00000,548.00000,670.00000,1218.00000,,677.00000,4174.00000,,4174.00000,-632.00000,-632.00000,-853.00000,-4530.00000,-1841.00000,2367.00000,155.00000,-853.00000
2021-12-31,4069.00000,1009.00000,-1868.00000,-859.00000,-5.00000,-82.00000,-87.00000,3123.00000,-452.00000,-66.00000,-1389.00000,1121.00000,-268.00000,,-786.00000,-2639.00000,,-2639.00000,-250.00000,-250.00000,-747.00000,65662.00000,62026.00000,64357.00000,188.00000,-747.00000
2020-12-31,2108.00000,751.00000,151.00000,902.00000,-149.00000,20.00000,-129.00000,2881.00000,-410.00000,-9446.00000,-531.00000,4.00000,-527.00000,22.00000,-10361.00000,8696.00000,,8696.00000,-1247.00000,-1247.00000,-669.00000,19220.00000,26000.00000,18528.00000,139.00000,-669.00000
2019-12-31,1960.00000,662.00000,66.00000,728.00000,-30.00000,1.00000,-29.00000,2659.00000,-305.00000,-352.00000,-1146.00000,69.00000,-1077.00000,-6.00000,-1740.00000,370.00000,,370.00000,-1460.00000,-1460.00000,-621.00000,1287.00000,-424.00000,499.00000,139.00000,-621.00000
2018-12-31,2020.00000,586.00000,23.00000,609.00000,-44.00000,-52.00000,-96.00000,2533.00000,-280.00000,-1246.00000,,-229.00000,-229.00000,,-1755.00000,1330.00000,,1330.00000,-1198.00000,-1198.00000,-555.00000,-40.00000,-463.00000,304.00000,130.00000,-555.00000
2017-12-31,2554.00000,535.00000,-765.00000,-230.00000,-135.00000,-104.00000,-239.00000,2085.00000,-357.00000,776.00000,,-327.00000,-327.00000,,92.00000,-275.00000,,-275.00000,-949.00000,-949.00000,-476.00000,-271.00000,-1971.00000,218.00000,135.00000,-476.00000
2016-12-31,1457.00000,610.00000,238.00000,848.00000,-65.00000,-91.00000,-156.00000,2149.00000,-365.00000,-425.00000,,-70.00000,-70.00000,,-860.00000,-949.00000,,-949.00000,-104.00000,-104.00000,-409.00000,,-1462.00000,-197.00000,124.00000,-409.00000
2015-12-31,1295.00000,351.00000,-14.00000,337.00000,-45.00000,-276.00000,-321.00000,1311.00000,-277.00000,-3751.00000,1089.00000,-60.00000,1029.00000,-5.00000,-3004.00000,658.00000,2472.00000,3130.00000,-660.00000,-660.00000,-331.00000,-163.00000,1976.00000,269.00000,111.00000,-331.00000
2014-12-31,1016.00000,278.00000,61.00000,339.00000,-43.00000,151.00000,108.00000,1463.00000,-250.00000,1697.00000,,-1250.00000,-1250.00000,-161.00000,36.00000,-175.00000,-377.00000,-552.00000,-645.00000,-645.00000,-299.00000,-177.00000,-1673.00000,-309.00000,97.00000,-299.00000
2013-12-31,270.00000,149.00000,320.00000,469.00000,-35.00000,10.00000,-25.00000,714.00000,-179.00000,-2241.00000,,-26.00000,-26.00000,-75.00000,-2521.00000,1080.00000,289.00000,1369.00000,13.00000,13.00000,-75.00000,-188.00000,1119.00000,-651.00000,64.00000,-75.00000
2012-12-31,562.00000,131.00000,24.00000,155.00000,10.00000,6.00000,16.00000,733.00000,-68.00000,-18.00000,,,,-32.00000,-118.00000,,245.00000,245.00000,-46.00000,-46.00000,,-27.00000,172.00000,789.00000,52.00000,0.00000
2011-12-31,522.00000,130.00000,54.00000,184.00000,-22.00000,-14.00000,7.00000,713.00000,-87.00000,-10.00000,,-516.00000,-516.00000,-2.00000,-615.00000,,309.00000,309.00000,-166.00000,-166.00000,,-38.00000,105.00000,201.00000,53.00000,
2010-12-31,407.76700,127.19500,32.04700,159.24200,-2.66900,-5.24400,-33.25100,533.75800,-47.76800,-552.98100,,1.31500,1.31500,-33.64800,-633.08200,,271.00000,271.00000,-77.62700,-77.62700,,-23.85300,169.52000,69.32700,49.32000,
2009-12-31,314.15400,116.92700,33.53100,150.45800,-27.42700,5.97500,21.98100,486.59300,-44.74200,-37.79200,,3.90100,3.90100,-63.64200,-142.27500,,-71.87500,-71.87500,12.70400,12.70400,,-15.94100,-75.11200,268.94300,53.17100,
