,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-03-31,1386.94100,677.06700,-269.09300,407.97400,-202.52600,-380.85100,105.35700,-730.20400,-918.62000,864.28800,-245.44900,-82.87100,620.68800,598.80600,598.80600,12.56100,903.73500,-504.20000,324.40400,-179.79600,-313.35000,-313.35000,-773.20500,-2.49600,-1268.84700,425.87700,91.35800,-773.20500
2021-03-31,407.86900,717.03600,55.26800,772.30400,70.47100,314.31500,20.10600,-349.80800,120.64000,1313.22500,-198.65800,-75.54200,-2009.15100,-600.00000,-600.00000,-12.26700,-2895.61800,2994.42600,-1217.76400,1776.66200,54.43800,54.43800,-756.78400,-21.43800,1052.87800,-560.11800,70.82300,-756.78400
2020-03-31,679.44900,983.54900,107.39600,1090.94500,-5.94700,-140.74400,-73.67400,-375.85600,-985.47000,874.52700,-288.18900,-45.64700,,0.00000,,31.78900,-302.04700,427.57790,576.56000,1004.13800,-844.61700,-844.61700,-748.66300,898.87400,309.73200,854.73600,68.20500,-748.66300
2019-03-31,1259.79200,255.72900,119.19200,374.92100,-310.89800,-58.70000,68.08200,-7.88000,68.83200,1664.22300,-215.77600,-53.22600,109.88100,0.00000,,-61.51100,-220.63200,-6.26400,-864.17700,-870.44100,48.62000,48.62000,-767.06100,-2.12300,-1591.00500,-132.60300,84.28500,-767.06100
2018-03-31,0.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,614.92300,238.32000,134.99900,373.31900,-39.24200,38.63300,41.87600,-20.01000,497.87200,1474.66000,-140.18500,-63.63300,-525.57300,,,-46.86000,-776.25100,-254.31400,686.45300,432.13900,-1110.46300,-1110.46300,-684.67900,,-1363.00300,-661.62900,63.88800,-684.67900
2016-12-31,1074.10600,361.22100,206.78200,568.00300,47.10200,-37.21000,-9.55300,-45.97800,-146.30900,1480.56800,-175.84000,-44.22600,115.98300,,,-8.33100,-112.41400,938.54100,-421.06900,517.47200,-951.55000,-951.55000,-635.99400,-6.80700,-1076.87900,284.63000,67.76200,-635.99400
2015-12-31,1231.59300,415.63700,-116.19500,299.44200,-124.24800,-175.09800,14.22500,2.78500,-292.63500,1203.61600,-254.50100,-63.28300,,,,-5.03800,-322.82200,-3.97500,432.26200,428.28700,-701.75200,-701.75200,-565.27500,-1.47500,-840.21500,-26.10100,73.42000,-565.27500
2014-12-31,1047.50500,671.24500,14.18700,685.43190,0.85400,-130.54000,69.80700,22.61400,25.01700,1762.06600,-234.07700,-67.94300,,,,-27.23500,-329.25500,-4.76000,4.76100,0.00100,-692.92600,-692.92600,-478.93300,,-1171.85800,195.49200,104.31300,-478.93300
2013-12-31,1210.11900,253.27300,62.40200,315.67500,-155.05300,-47.24000,75.07300,-7.93900,-34.05900,1506.04100,-271.15300,-53.98900,,,,-25.13100,-350.27300,-404.87200,9.03200,-395.84000,-233.99500,-233.99500,-402.13600,48.14000,-983.83100,178.94200,87.11800,-402.13600
2012-12-31,1086.13800,237.95600,26.59800,264.55400,-111.57100,87.62000,-74.29400,73.18300,-34.76100,1275.00000,-251.94000,-30.89000,70.76900,,,-8.23000,-220.29100,-2.77600,-269.01000,-271.78600,-244.51200,-244.51200,-333.22900,47.01200,-802.51500,256.23300,92.81400,-333.22900
2011-12-31,890.39300,198.73500,124.70800,323.44300,-154.48700,-7.50900,-32.89800,22.14100,-165.13000,1081.37100,-170.89400,-78.23400,-2207.06500,,,-3.84000,-2460.03300,895.71200,250.82400,1146.53600,126.59200,126.59200,-285.72200,-75.16100,912.24500,-451.01100,76.73900,-285.72200
2010-12-31,573.51200,375.13400,-66.93900,308.19500,-12.95400,-114.33400,140.47000,13.15700,90.39600,1001.28200,-111.64000,-13.61000,-38.29000,,,-16.94000,-180.48000,-203.06300,-9.74100,-212.80400,-274.10600,-274.10600,-264.28100,8.35900,-742.83200,60.69000,63.53800,-264.28100
2009-12-31,458.45800,292.40500,1.39900,293.80400,75.44900,209.43900,-69.56000,34.95100,228.14600,973.48500,-85.85900,-9.73500,-212.33900,,,-8.94300,-316.87600,-3.24200,-11.01900,-14.26100,-49.38400,-49.38400,-261.68200,5.98400,-319.34300,349.70500,36.03800,-261.68200
