,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-09-30,715.41200,301.05600,243.39300,544.44900,-267.94700,87.40200,40.15900,-762.68000,474.70900,-118.22300,,-437.08300,,16.88700,16.88700,,-538.41900,725.33400,-6.35900,718.97500,-230.89200,-230.89200,-189.00400,21.15500,320.23400,127.63200,53.38300,-189.00400
2021-09-30,430.82900,250.80000,138.27800,389.07800,242.15400,-165.50200,58.98200,-95.71000,726.27600,-92.34000,,-1704.70200,,416.29900,416.29900,,-1380.74300,1228.11500,-7.67500,1220.44000,-236.87100,-236.87100,-155.97200,-28.61400,798.98300,164.15100,56.22100,-155.97200
2020-09-30,523.86700,181.63300,300.58600,482.21890,-107.78400,-92.83800,19.00800,-174.26900,806.84900,-118.17300,,-298.64100,,-12.27800,-12.27800,,-429.09200,465.19380,-199.93000,265.26390,-300.01600,-300.01600,-143.96200,-29.60100,-208.31500,231.35600,48.15000,-143.96200
2019-09-30,873.21900,169.26900,-919.84500,-750.57600,-67.89400,295.14600,-114.10600,-487.56500,-366.43600,-128.80000,,2226.31500,,55.94700,55.94700,-1.11300,2152.34900,-1214.77700,171.43500,-1043.34200,-788.71800,-788.71800,-106.39600,-30.55600,-1969.01200,-162.29000,69.13700,-106.39600
2018-09-30,173.14200,198.58700,329.32100,527.90810,-428.93000,183.05700,-19.13400,-233.78300,481.15200,-91.59100,,-1480.60000,-5.41600,,-5.41600,,-1577.60700,1212.17300,-2.67900,1209.49400,50.60300,50.60300,-86.56900,-31.10800,1142.42000,-139.28100,79.24200,-86.56900
2017-09-30,287.37500,122.51300,26.07800,148.59100,75.44100,153.96100,-55.73100,121.65600,574.88100,-115.67300,,-152.22600,,31.70100,31.70100,,-236.19800,-152.77400,0.64500,-152.12900,-34.53500,-34.53500,-58.79300,2.87700,-242.58000,-47.89500,38.76400,-58.79300
2016-09-30,214.51500,129.97100,7.17900,137.15000,397.26800,-44.21400,51.25300,327.79100,680.17300,-57.20900,-10.02700,-68.98200,-3.40300,,-3.40300,,-139.62100,-191.13600,-11.00200,-202.13800,-109.41000,-109.41000,-5.85500,0.37700,-317.02600,194.85700,32.37000,-5.85500
2015-09-30,328.88200,149.29200,23.40700,172.69900,172.95800,-28.94300,-22.45400,-21.97100,484.57200,-88.03500,0.00000,-8.10100,,0.01300,0.01300,,-96.12300,-138.47000,-19.75700,-158.22700,-389.09400,-389.09400,-7.23000,1.23700,-553.31400,-271.78800,41.41200,-7.23000
2014-09-30,352.11200,145.41200,9.77900,155.19100,107.94400,108.24100,8.03300,204.67300,721.71600,-109.36100,,-1384.34200,,-25.07900,-25.07900,,-1518.78200,364.25500,-18.21500,346.04000,-33.69500,-33.69500,-6.08100,-1.34400,304.92000,-523.75800,43.40000,-6.08100
2013-09-30,440.18200,98.87400,11.99300,110.86700,-234.86400,82.38900,83.96000,-99.47400,448.51600,-122.99400,,-39.42900,,-0.00400,-0.00400,5.34400,-157.08300,-118.29300,23.69400,-94.59900,46.07900,46.07900,-7.97400,-3.21300,-59.70700,223.94800,39.51800,-7.97400
2012-09-30,390.95400,100.82400,-25.60100,75.22300,-227.12300,10.67300,-34.89100,-160.52000,299.80500,-89.52900,,-91.57500,,-0.02300,-0.02300,,-181.12700,528.57500,-577.31500,-48.74010,43.56800,43.56800,-5.37600,7.82400,-2.72400,126.82400,32.44200,-5.37600
2011-09-30,335.22100,95.37000,-3.19400,92.17600,-234.02400,-15.99700,-1.30000,-183.40500,236.49000,-94.88900,,-711.42100,4.66700,-0.19300,4.47400,,-801.83600,586.49210,-82.33900,504.15310,45.94300,45.94300,,6.83700,556.93300,-33.20900,29.08400,
2010-09-30,246.28700,88.49500,49.03200,137.52700,-3.05200,-46.92000,-42.87500,-160.90800,223.62100,-34.69600,,-259.49200,,-106.73300,-106.73300,2.43500,-398.48600,-0.21700,58.09000,57.87300,36.20900,36.20900,,-0.96800,93.11400,-94.77700,24.36100,
2009-09-30,399.21300,86.34200,18.00800,104.35000,300.92900,-117.53700,9.50300,27.36000,531.65900,-53.25800,,-23.32900,,-32.23200,-32.23200,15.71300,-93.10600,-45.96300,15.93300,-30.03000,43.36100,43.36100,,-52.33400,-39.00300,429.19900,24.08500,
