,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,985.60000,661.90000,-410.90000,250.99990,2.50000,-43.10000,21.30000,41.80000,-484.00000,734.60000,-70.30000,-4280.10000,5559.90000,1209.50000,-800.00000,-470.00000,-1270.00000,82.50000,82.50000,-262.30000,-15.50000,-1465.30000,441.30000,118.50000,-262.30000
2021-12-31,805.30000,723.80000,678.60000,1402.40000,-73.70000,-0.30000,16.00000,145.80000,-159.10000,2011.90000,-58.20000,-217.00000,132.30000,-142.90000,-500.00000,-1150.00000,-1650.00000,79.40000,79.40000,-236.40000,-6.50000,-1813.50000,43.20000,123.00000,-236.40000
2020-12-31,673.80000,502.50000,495.80000,998.29990,22.30000,-8.40000,4.90000,56.20000,-128.10000,1525.10000,-42.40000,-6022.60000,-8.90000,-6073.90000,2700.00000,1620.00000,4320.00000,74.90000,74.90000,-214.10000,-43.90000,4136.90000,-401.40000,108.30000,-214.10000
2019-12-31,1640.00000,416.10000,-310.90000,105.20000,-30.70000,-14.10000,,120.50000,-259.60000,1461.80000,-53.20000,-1230.50000,-12.30000,-1296.00000,1200.00000,-865.00000,335.00000,41.70000,41.70000,-191.70000,-8.00000,177.00000,345.30000,101.20000,-191.70000
2018-12-31,944.40000,373.30000,403.70000,777.00000,-83.50000,-21.80000,,72.60000,-285.50000,1430.10000,-58.60000,-1275.80000,-0.70000,-1335.10000,200.00000,-405.00000,-205.00000,16.00000,16.00000,-170.10000,-29.00000,-388.10000,-306.90000,133.80000,-170.10000
2017-12-31,971.80000,352.20000,73.70000,425.90000,-6.70000,-15.30000,,61.40000,-144.30000,1234.50000,-59.60000,-153.70000,3.70000,-209.60000,-400.00000,-660.00000,-1060.00000,32.70000,32.70000,-142.80000,0.10000,-1170.00000,-85.90000,83.10000,-142.80000
2016-12-31,658.60000,246.10000,79.70000,325.80000,-20.70000,6.30000,,24.00000,-17.80000,963.80000,-40.10000,-3721.80000,9.00000,-3752.90000,1181.50000,1750.00000,2931.50000,13.30000,13.30000,-121.10000,-18.40000,2805.30000,-21.30000,78.80000,-121.10000
2015-12-31,696.06700,208.39700,-9.09400,199.30300,52.59700,-1.15000,,-13.60500,32.51900,928.82500,-38.69900,-1657.25900,-2.37400,-1698.33200,882.86800,180.00000,1062.86800,21.20100,21.20100,-100.33400,12.50700,996.24200,168.08100,61.76600,-100.33400
2014-12-31,646.03300,201.28700,63.02700,264.31400,-0.40400,6.34900,,-38.50700,-71.43400,840.44100,-40.23200,-305.37900,-2.49400,-348.10500,-252.07900,,-252.07900,13.21400,13.21400,-79.85900,20.62000,-298.10400,150.71000,63.02700,-79.85900
2013-12-31,538.29300,193.10800,53.13300,246.24100,32.80000,-12.68700,,-14.75400,22.23700,802.55300,-42.52800,-1074.41300,1.07800,-1115.86300,437.17400,,437.17400,10.39300,10.39300,-49.09200,5.15800,403.63300,89.13000,53.13300,-49.09200
2012-12-31,483.36000,157.14700,40.77300,197.92000,-16.45500,18.36100,,-5.12200,-9.99500,677.85200,-38.40500,-1467.77200,0.63200,-1505.54500,766.05500,100.00000,866.05500,39.87400,39.87400,-69.90300,17.84400,853.87000,32.48900,40.77300,-69.90300
2011-12-31,427.24700,142.50500,31.73000,174.23500,-33.33300,-23.03300,,11.75900,-5.73400,601.61800,-40.70200,-233.59400,-1.45300,-275.74900,-26.45700,-230.00000,-256.45700,30.27100,30.27100,-42.09000,11.59700,-256.67900,67.70700,31.73000,-42.09000
2010-12-31,322.58000,125.38300,25.15000,150.53300,-9.69700,-5.68700,,-16.11500,31.16400,499.54000,-28.59100,-536.41300,1.73000,-563.27400,-23.41100,190.00000,166.58900,30.74400,30.74400,-35.70600,5.98200,167.60900,102.68600,25.15000,-35.70600
2009-12-31,239.48100,106.02100,27.47600,133.49700,26.97800,31.08100,,4.01500,-2.95200,367.49900,-25.88500,-354.56100,6.25400,-374.19200,25.73000,-139.00000,-113.27000,133.64900,133.64900,-29.82300,-4.15300,-13.59700,-10.36100,27.47600,-29.82300
