,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-04-30,5062.00000,2707.00000,328.00000,3035.00000,-477.00000,-560.00000,-65.00000,-889.00000,7346.00000,-1368.00000,,-91.00000,-190.00000,-190.00000,-10.00000,-1659.00000,-1.00000,,-1.00000,-2115.00000,-2115.00000,-3383.00000,163.00000,-5336.00000,121.00000,359.00000,-3383.00000
2021-04-30,3630.00000,2702.00000,358.00000,3060.00000,-761.00000,78.00000,-549.00000,-701.00000,6240.00000,-1355.00000,,-994.00000,-463.00000,-463.00000,-54.00000,-2866.00000,-195.00000,-375.00000,-570.00000,-178.00000,-178.00000,-3120.00000,-268.00000,-4136.00000,-547.00000,344.00000,-3120.00000
2020-04-30,4806.00000,2663.00000,-513.00000,2150.00000,1291.00000,-577.00000,-609.00000,61.00000,7234.00000,-1213.00000,,-488.00000,-1465.00000,-1465.00000,-37.00000,-3203.00000,-542.00000,-17.00000,-559.00000,-664.00000,-664.00000,-2894.00000,-81.00000,-4198.00000,-253.00000,297.00000,-2894.00000
2019-04-30,4650.00000,2659.00000,521.00000,3180.00000,-581.00000,-274.00000,-624.00000,-1080.00000,7007.00000,-1134.00000,,-1827.00000,2151.00000,2151.00000,36.00000,-774.00000,-154.00000,-713.00000,-867.00000,-1885.00000,-1885.00000,-2693.00000,14.00000,-5431.00000,724.00000,290.00000,-2693.00000
2018-04-30,3095.00000,2644.00000,-955.00000,1689.00000,-275.00000,-192.00000,229.00000,-173.00000,4684.00000,-1068.00000,,5921.00000,1027.00000,1027.00000,-22.00000,5858.00000,-7349.00000,-249.00000,-7598.00000,-1768.00000,-1768.00000,-2494.00000,-94.00000,-11954.00000,-1298.00000,344.00000,-2494.00000
2017-04-30,4024.00000,2917.00000,-72.00000,2845.00000,-75.00000,-227.00000,85.00000,139.00000,6880.00000,-1254.00000,,-1324.00000,985.00000,985.00000,22.00000,-1571.00000,1277.00000,906.00000,2183.00000,-3116.00000,-3116.00000,-2376.00000,26.00000,-3283.00000,2091.00000,348.00000,-2376.00000
2016-04-30,3538.00000,2849.00000,415.00000,3264.00000,-435.00000,-186.00000,-403.00000,-1403.00000,5218.00000,-1046.00000,,-1213.00000,4518.00000,4518.00000,-14.00000,2245.00000,-5132.00000,7.00000,-5125.00000,-2339.00000,-2339.00000,-2139.00000,60.00000,-9543.00000,-1967.00000,375.00000,-2139.00000
2015-04-30,2675.00000,1382.00000,182.00000,1564.00000,-413.00000,-282.00000,643.00000,797.00000,4902.00000,-571.00000,,-14884.00000,-1692.00000,-1692.00000,89.00000,-17058.00000,18674.00000,-1.00000,18673.00000,-1271.00000,-1271.00000,-1337.00000,-116.00000,15949.00000,3440.00000,439.00000,-1337.00000
2014-04-30,3065.00000,858.00000,846.00000,1704.00000,-70.00000,-39.00000,444.00000,218.00000,4959.00000,-396.00000,,-385.00000,-2784.00000,-2784.00000,-29.00000,-3594.00000,1429.00000,2.00000,1431.00000,-1246.00000,-1246.00000,-1116.00000,13.00000,-918.00000,484.00000,145.00000,-1116.00000
2013-04-30,3467.00000,923.00000,192.00000,1115.00000,1.00000,93.00000,-215.00000,360.00000,4942.00000,-457.00000,,-820.00000,-1810.00000,-1810.00000,-14.00000,-3101.00000,766.00000,-792.00000,-26.00000,-980.00000,-980.00000,-1055.00000,-40.00000,-2101.00000,-253.00000,152.00000,-1055.00000
2012-04-30,3617.00000,918.00000,-83.00000,835.00000,-252.00000,-185.00000,155.00000,18.00000,4470.00000,-484.00000,,-170.00000,-1987.00000,-1987.00000,-21.00000,-2662.00000,1186.00000,-585.00000,601.00000,-1344.00000,-1344.00000,-1021.00000,-118.00000,-1882.00000,-145.00000,161.00000,-1021.00000
2011-04-30,3096.00000,975.00000,682.00000,1657.00000,-342.00000,-101.00000,-532.00000,-1012.00000,3741.00000,-501.00000,,-1332.00000,275.00000,275.00000,-176.00000,-1734.00000,-1603.00000,1621.00000,18.00000,-1055.00000,-1055.00000,-969.00000,,-2006.00000,63.00000,198.00000,-969.00000
2010-04-30,3099.00000,939.00000,-149.00000,790.00000,-271.00000,158.00000,130.00000,242.00000,4131.00000,-573.00000,-62.00000,-350.00000,-3687.00000,-3687.00000,-87.00000,-4759.00000,2980.00000,-444.00000,2536.00000,-865.00000,-865.00000,-907.00000,,764.00000,129.00000,225.00000,-907.00000
2009-04-30,2070.00000,853.00000,696.00000,1549.00000,108.00000,-212.00000,-147.00000,259.00000,3878.00000,-498.00000,-165.00000,-1624.00000,-115.00000,-115.00000,-338.00000,-2740.00000,950.00000,-633.00000,317.00000,-343.00000,-343.00000,-843.00000,24.00000,-845.00000,211.00000,237.00000,-843.00000
