,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,1725.57500,17.39600,112.98990,130.38580,-27.38400,159.09100,-103.65900,-26.40700,-12.13600,1870.10100,-17.69600,,-9.73500,-9.73500,-27.43100,-601.49500,,-601.49500,-1303.64100,-1303.64100,,-1905.13600,-62.46600,82.53700
2021-12-31,1236.71900,19.46300,185.84090,205.30390,1.95600,-238.28400,176.70500,-87.37400,-166.95100,1242.39300,-16.89700,,-1.28200,-1.28200,-18.17900,-1.36300,,-1.36300,-1395.64900,-1395.64900,,-1397.01200,-172.79800,58.23400
2020-12-31,901.24800,21.99200,106.65590,128.64790,-1.67500,-362.38400,108.87200,0.51900,-86.00100,925.26900,-15.12300,,11.19000,11.19000,-3.93300,922.91600,,922.91600,-190.21200,-190.21200,-5.06200,727.64200,1648.97800,50.79400
2019-12-31,878.53900,20.81800,39.79410,60.61210,2.75400,-94.17800,-6.36000,-16.99400,-80.85200,866.53500,-20.82900,,7.54500,7.54500,-13.28400,-0.30600,,-0.30600,-424.38900,-424.38900,,-424.69500,428.55600,78.53200
2018-12-31,797.19700,20.16800,-12.40020,7.76780,-1.00800,-6.91100,-11.78700,-30.86300,-81.28200,723.12600,-18.40800,,10.23100,10.23100,-8.17700,,,,-672.02400,-672.02400,-0.23400,-672.25800,42.69100,75.70100
2017-12-31,537.52100,22.66700,117.59390,140.26090,-0.34800,-154.09900,27.79700,8.17700,-107.68400,570.35400,-19.42200,,4.22900,4.22900,-15.19300,,,,-281.64100,-281.64100,,-281.64100,273.52000,44.56200
2016-12-31,425.26200,22.26900,3.76690,26.03600,-8.77900,-85.19400,11.27100,-32.28000,-56.45000,392.98800,-21.36900,,11.01900,11.01900,-10.35000,,,,-417.24500,-417.24500,-0.15000,-417.39500,-34.75700,43.59800
2015-12-31,382.92700,21.53400,-58.96910,-37.43510,-1.52700,-134.80300,4.21000,-37.56100,-114.27700,226.70200,-17.59400,,16.57200,16.57200,-1.02200,,-0.06400,-0.06400,-345.41900,-345.41900,-0.30000,-345.78300,-120.10300,54.09100
2014-12-31,281.63000,17.61400,65.85900,83.47300,-0.53300,-127.72900,5.73300,-57.56600,-180.03500,184.54900,-30.65100,,11.56900,11.56900,-19.08200,,-3.41600,-3.41600,-491.39100,-491.39100,8.50600,-486.30100,-320.83400,63.22700
2013-12-31,266.47700,13.39100,-28.44790,-15.05690,-0.26000,-52.86100,113.12100,-40.03400,21.30100,270.22200,-18.40900,,-16.06800,-16.06800,-34.47700,,-1.85100,-1.85100,-540.53410,-540.53410,19.38600,-522.99900,-287.25400,34.29600
2012-12-31,180.58800,8.10000,126.93010,135.03010,-1.81800,-97.75000,71.93200,-53.94200,-43.11400,264.38400,-12.04600,-14.25700,3.69200,3.69200,-22.61100,577.05200,-1.26500,575.78700,-154.07000,-154.07000,9.22300,430.94000,672.71300,64.84100
2011-12-31,129.42000,6.67200,10.69100,17.36300,0.46500,-99.52700,-2.97700,-42.38500,-144.42400,1.46300,-10.91900,,-50.94700,-50.94700,-61.86600,,-93.08500,-93.08500,-582.30300,-582.30300,22.83500,-652.55300,-712.95600,64.47300
2010-12-31,206.00500,7.26300,-2147.19000,-2139.92700,1.53200,-8.78300,-53.86600,2014.31900,2009.95400,55.38800,-6.28800,,218.72800,218.72800,212.44000,-133.37000,85.17100,-48.19900,-339.58700,-339.58700,63.55800,-324.22800,-56.40000,53.13600
2009-12-31,192.18000,9.71300,-1995.09700,-1985.38400,3.68200,-18.14800,82.57800,2005.37500,2073.48700,241.64200,-2.08200,,-219.53500,-219.53500,-221.61700,-29.95000,-32.55900,-62.50900,78.54300,78.54300,66.44800,82.48200,102.50700,46.30200
