,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,491.60000,184.60000,101.40000,286.00000,2.60000,-158.70000,-72.10000,77.50000,-164.30000,613.30000,-227.90000,-9.60000,-10.60000,-10.60000,5.10000,-243.00000,-11.70000,5.50000,-6.20000,-280.20000,-280.20000,-118.50000,-41.80000,-446.70000,-104.90000,50.50000,-118.50000
2021-12-31,506.80000,186.40000,75.40000,261.80000,-110.90000,-156.20000,206.10000,-43.60000,-58.90000,709.70000,-123.70000,-0.10000,-18.00000,-18.00000,16.10000,-125.70000,-19.40000,-5.90000,-25.30000,-403.10000,-403.10000,-115.60000,-31.80000,-575.80000,12.30000,43.50000,-115.60000
2020-12-31,502.90000,174.20000,123.70000,297.90000,27.40000,-16.20000,0.80000,-44.50000,-63.80000,737.00000,-168.70000,1.20000,5.70000,5.70000,2.00000,-159.80000,-17.20000,-99.00000,-116.20000,-33.00000,-33.00000,-100.40000,-12.10000,-261.70000,286.30000,41.70000,-100.40000
2019-12-31,263.00000,150.80000,62.80000,213.60000,38.10000,19.60000,-37.00000,-7.10000,34.50000,511.10000,-192.10000,-452.80000,-12.50000,-12.50000,-8.20000,-665.60000,460.60000,-127.50000,333.10000,-78.10000,-78.10000,-99.10000,-16.00000,139.90000,-9.30000,32.90000,-99.10000
2018-12-31,193.10000,131.20000,46.30000,177.50000,-0.90000,-56.40000,42.60000,88.50000,57.40000,428.00000,-177.10000,-68.40000,-7.50000,-7.50000,-13.70000,-266.70000,-1.60000,224.00000,222.40000,-590.50000,-590.50000,-104.10000,-6.10000,-478.30000,-322.30000,29.20000,-104.10000
2017-12-31,814.90000,149.30000,-408.20000,-258.90000,-81.40000,-51.80000,154.10000,54.60000,-131.60000,424.40000,-181.10000,2037.70000,,,-70.50000,1786.10000,-369.50000,-93.70000,-463.20000,-1324.20000,-1324.20000,-119.70000,17.40000,-1889.70000,207.40000,44.90000,-119.70000
2016-12-31,486.40000,214.00000,71.00000,285.00000,-33.90000,-10.70000,228.00000,-55.20000,135.50000,906.90000,-270.80000,2.00000,,,-46.00000,-314.80000,-27.10000,-154.20000,-181.30000,-247.70000,-247.70000,-121.60000,6.10000,-544.50000,8.40000,59.90000,-121.60000
2015-12-31,335.40000,213.30000,154.10000,367.40000,36.70000,-38.30000,81.40000,167.30000,279.30000,982.10000,-151.10000,67.10000,,,24.00000,-60.00000,100.70000,111.20000,211.90000,-811.30000,-811.30000,-106.80000,-82.50000,-788.70000,73.00000,61.20000,-106.80000
2014-12-31,258.10000,266.70000,-586.50000,-319.80000,-27.80000,-48.70000,140.10000,-220.70000,-157.10000,-218.80000,-137.80000,-3.60000,,,15.10000,-126.30000,-8.00000,79.10000,71.10000,-187.00000,-187.00000,-110.90000,-94.40000,-321.20000,-703.70000,54.10000,-110.90000
2013-12-31,95.30000,283.40000,205.30000,488.70000,35.50000,22.00000,36.30000,-37.40000,56.40000,640.40000,-104.40000,-1.00000,,,-8.50000,-113.90000,-233.20000,53.20000,-180.00000,,,-102.00000,-37.90000,-319.90000,312.80000,24.10000,-102.00000
2012-12-31,-1619.00000,2207.50000,-153.20000,2054.30000,-26.40000,50.70000,-84.30000,18.90000,-41.10000,394.20000,-115.00000,,,,0.10000,-114.90000,-452.60000,7.20000,-445.40000,-9.60000,-9.60000,-100.90000,-29.20000,-585.10000,-24.00000,16.90000,-100.90000
2011-12-31,132.70000,187.60000,47.20000,234.80000,-102.00000,-2.20000,-28.10000,127.90000,-4.40000,363.10000,-111.30000,-1983.70000,-262.90000,-262.90000,-7.80000,-2365.70000,1908.60000,-7.00000,1901.60000,-12.20000,-12.20000,-87.40000,214.40000,2016.40000,28.00000,25.00000,-87.40000
2010-12-31,255.90000,156.40000,85.60000,242.00000,-33.90000,-19.40000,19.00000,19.50000,-14.80000,483.10000,-83.40000,-24.10000,12.60000,12.60000,-2.00000,-96.90000,-276.10000,-4.40000,-280.50000,-9.80000,-9.80000,-79.70000,-3.00000,-373.00000,-18.90000,30.60000,-79.70000
2009-12-31,244.30000,155.50000,33.60000,189.10000,35.20000,116.30000,-68.40000,35.50000,118.60000,552.00000,-73.10000,,,,2.80000,-70.30000,181.30000,-8.30000,173.00000,,,-75.70000,-7.00000,90.30000,565.60000,38.80000,-75.70000
