,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,1083.00000,1510.00000,28.00000,1538.00000,-352.00000,-98.00000,109.00000,-271.00000,-644.00000,1977.00000,-3354.00000,,4.00000,4.00000,-81.00000,-3431.00000,584.00000,404.00000,988.00000,1248.00000,1248.00000,-692.00000,-82.00000,1462.00000,8.00000,-692.00000
2021-12-31,903.00000,1517.00000,366.00000,1883.00000,-146.00000,-153.00000,308.00000,779.00000,281.00000,3067.00000,-3769.00000,,11.00000,11.00000,-105.00000,-3863.00000,935.00000,720.00000,1655.00000,-22.00000,-22.00000,-836.00000,-482.00000,315.00000,-481.00000,-836.00000
2020-12-31,1371.00000,1480.00000,445.00000,1925.00000,111.00000,45.00000,,234.00000,401.00000,3697.00000,-3844.00000,-126.00000,-13.00000,-13.00000,-87.00000,-4070.00000,2810.00000,-790.00000,2020.00000,38.00000,38.00000,-799.00000,-463.00000,796.00000,423.00000,-799.00000
2019-12-31,1172.00000,1323.00000,368.00000,1691.00000,49.00000,59.00000,-288.00000,-5.00000,-214.00000,2649.00000,-2997.00000,-2470.00000,-145.00000,-145.00000,-120.00000,-5732.00000,1685.00000,219.00000,1904.00000,2326.00000,2326.00000,-751.00000,-379.00000,3100.00000,17.00000,-751.00000
2018-12-31,1118.00000,1169.00000,57.00000,1226.00000,-44.00000,-32.00000,146.00000,414.00000,336.00000,2680.00000,-2713.00000,,-613.00000,-613.00000,-21.00000,-3347.00000,1327.00000,-12.00000,1315.00000,53.00000,53.00000,-668.00000,-46.00000,654.00000,-13.00000,-668.00000
2017-12-31,1112.00000,1083.00000,183.00000,1266.00000,-252.00000,-4.00000,129.00000,69.00000,-261.00000,2117.00000,-2250.00000,,-275.00000,-275.00000,-37.00000,-2562.00000,1013.00000,122.00000,1135.00000,-1.00000,-1.00000,-632.00000,-81.00000,421.00000,-24.00000,-632.00000
2016-12-31,834.00000,1034.00000,252.00000,1286.00000,-226.00000,37.00000,145.00000,8.00000,-36.00000,2084.00000,-2045.00000,-1147.00000,-234.00000,-234.00000,36.00000,-3390.00000,1169.00000,,1169.00000,735.00000,735.00000,-536.00000,-9.00000,1359.00000,53.00000,-536.00000
2015-12-31,720.00000,898.00000,321.00000,1219.00000,259.00000,1.00000,-158.00000,22.00000,-23.00000,1916.00000,-2020.00000,-241.00000,-92.00000,-92.00000,149.00000,-2204.00000,670.00000,101.00000,771.00000,23.00000,23.00000,-509.00000,-8.00000,277.00000,-11.00000,-509.00000
2014-12-31,911.00000,1193.00000,338.00000,1531.00000,48.00000,-177.00000,128.00000,-596.00000,-597.00000,1845.00000,-2004.00000,,-39.00000,-39.00000,-17.00000,-2060.00000,499.00000,267.00000,766.00000,-52.00000,-52.00000,-470.00000,-33.00000,211.00000,-4.00000,-470.00000
2013-12-31,668.00000,1132.00000,143.00000,1275.00000,-154.00000,123.00000,14.00000,228.00000,211.00000,2154.00000,-1840.00000,,-29.00000,-29.00000,-37.00000,-1906.00000,273.00000,-109.00000,164.00000,39.00000,39.00000,-445.00000,-19.00000,-261.00000,-13.00000,-445.00000
2012-12-31,618.00000,1047.00000,118.00000,1165.00000,52.00000,35.00000,40.00000,299.00000,426.00000,2209.00000,-1782.00000,57.00000,-5.00000,-5.00000,-39.00000,-1769.00000,120.00000,-179.00000,-59.00000,39.00000,39.00000,-407.00000,-16.00000,-443.00000,-3.00000,-407.00000
2011-12-31,720.00000,1041.00000,193.00000,1234.00000,71.00000,-129.00000,-23.00000,135.00000,54.00000,2008.00000,-1466.00000,,-17.00000,-17.00000,-77.00000,-1560.00000,-276.00000,269.00000,-7.00000,-18.00000,-18.00000,-389.00000,-31.00000,-445.00000,3.00000,-389.00000
2010-12-31,639.00000,1027.00000,452.00000,1479.00000,79.00000,-133.00000,12.00000,-6.00000,-293.00000,1825.00000,-1043.00000,,-82.00000,-82.00000,-101.00000,-1226.00000,-49.00000,-177.00000,-226.00000,36.00000,36.00000,-360.00000,-36.00000,-586.00000,13.00000,-360.00000
2009-12-31,535.00000,1020.00000,195.00000,1215.00000,167.00000,28.00000,-162.00000,-7.00000,69.00000,1819.00000,-952.00000,,-35.00000,-35.00000,-77.00000,-1064.00000,-59.00000,-417.00000,-476.00000,35.00000,35.00000,-348.00000,,-789.00000,-34.00000,-348.00000
