,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,654.77600,550.06810,-130.30900,419.75900,,-16.05600,-16.05600,1058.47900,-419.23700,,-13.31100,-13.31100,27.31200,-405.23600,-126.40100,20.00000,-106.40100,,,-543.29300,-73.07600,-722.77000,-69.52700,18.79800,-539.60500
2021-12-31,550.70200,540.06700,-251.72700,288.33990,,55.92500,55.92500,894.96700,-264.23400,,-4.17200,-4.17200,14.82000,-253.58600,127.27000,-172.00000,-44.73000,,,-474.08900,-27.57900,-546.39800,94.98300,16.66500,-470.40100
2020-12-31,264.01500,516.63800,5.12600,521.76400,,38.17000,38.17000,823.94900,-481.28800,,-5.00000,-5.00000,1.55700,-484.73100,6.48500,102.00000,108.48500,,,-461.04300,-21.58600,-374.14400,-34.92600,14.32900,-457.35500
2019-12-31,366.61800,503.56800,-101.14900,402.41900,,,,781.42000,-233.38900,,-4.88400,-4.88400,,-238.27300,401.66990,-470.00000,-68.33010,,,-441.43100,-14.51800,-524.27900,18.86800,13.65400,-437.74300
2018-12-31,231.02200,486.00500,10.52700,496.53200,,6.73800,6.73800,734.29200,-364.22000,,-2.13000,-2.13000,,-366.35000,-8.98000,50.00000,41.02000,,,-423.53700,-22.61900,-405.13600,-37.19400,12.44400,-419.84900
2017-12-31,340.53600,484.73000,-116.83700,367.89300,,-47.62900,-47.62900,660.80000,-292.71000,,-1.50000,-1.50000,,-294.21000,183.92300,-160.00000,23.92300,,,-398.98200,-24.46400,-399.52300,-32.93300,10.57000,-395.29400
2016-12-31,224.40200,313.46300,-71.08200,242.38100,,18.22100,18.22100,485.00400,-226.75300,-424.15600,1.77800,1.77800,,-649.13100,153.97400,335.00000,488.97400,-1.72800,-1.72800,-248.57600,-16.38400,222.28600,58.15900,11.48600,-247.65200
2015-12-31,350.74500,279.38200,-183.98300,95.39900,,17.57700,17.57700,463.72100,-136.19700,,-0.02600,-0.02600,0.00800,-136.21500,116.88300,-180.90000,-64.01700,-0.53800,0.08400,-232.07900,-20.58800,-316.60000,10.90600,6.14700,-232.07900
2014-12-31,156.27700,280.46200,-50.10900,230.35300,-3.34800,-5.44700,-1.25200,385.37800,-244.61200,,15.96400,15.96400,24.88400,-203.76400,136.50800,-157.18400,-20.67600,12.82200,12.82200,-219.15800,-17.28200,-244.29400,-62.68000,4.22600,-219.15800
2013-12-31,119.27900,183.80300,-63.25300,120.55000,-48.67400,47.33500,18.55100,258.38000,-131.85800,63.45400,9.50000,9.50000,-24.88400,-83.78800,336.65600,-308.00000,28.65600,31.19000,31.19000,-147.24700,-6.93300,-94.33400,80.25800,2.26800,-147.24700
2012-12-31,109.82500,131.42800,-36.91200,94.51600,2.49500,-0.48200,6.62600,210.96700,-341.16900,,11.94600,11.94600,,-329.22300,312.05600,-320.06400,-8.00800,194.33500,194.33500,-107.74900,-8.56400,70.01400,-48.24200,2.23300,-107.74900
2011-12-31,51.23100,118.96900,-5.18600,113.78300,0.26500,-1.58700,7.27400,172.28800,-442.05200,,-0.10800,-0.10800,,-442.16000,271.45500,-121.53300,149.92200,233.19300,233.19300,-92.02800,-9.84000,281.24700,11.37500,5.51900,-92.02800
2010-12-31,30.87500,106.33200,5.70400,112.03600,0.10900,-8.57700,-9.11700,133.79400,-243.87600,,-10.39500,-10.39500,,-254.27100,135.95700,-35.00000,100.95700,304.35100,149.32900,-84.75700,-12.92900,152.60000,32.12300,3.01300,-77.13500
2009-12-31,39.22100,98.03300,-1.28100,96.75200,0.47300,-0.02200,4.31200,140.28500,-151.35000,,-2.61100,-2.61100,,-153.96100,-44.75700,121.65700,76.90000,32.79000,32.79000,-82.37000,-9.25100,18.06900,4.39300,1.32800,-69.50500
