,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,4566.00000,2103.00000,4166.00000,6269.00000,-406.00000,-310.00000,226.00000,70.00000,-1763.00000,9072.00000,-728.00000,-1797.00000,232.00000,-172.00000,60.00000,-1.00000,-2466.00000,-1500.00000,-1500.00000,-1087.00000,-1087.00000,-3709.00000,-173.00000,-6469.00000,74.00000,637.00000,-3709.00000
2021-12-31,6201.00000,2050.00000,2644.00000,4694.00000,313.00000,11.00000,-118.00000,-42.00000,489.00000,11384.00000,-579.00000,-1584.00000,-607.00000,-380.00000,-987.00000,19.00000,-3131.00000,-4750.00000,-4750.00000,-377.00000,-377.00000,-3605.00000,-145.00000,-8877.00000,-659.00000,635.00000,-3605.00000
2020-12-31,89.00000,1480.00000,8237.00000,9717.00000,-1171.00000,-195.00000,80.00000,-214.00000,-1638.00000,8168.00000,-650.00000,-25920.00000,12403.00000,-455.00000,11948.00000,7.00000,-14615.00000,5684.00000,5684.00000,-1327.00000,-1327.00000,-3449.00000,-138.00000,770.00000,-5634.00000,643.00000,-3449.00000
2019-12-31,5364.00000,1404.00000,3174.00000,4578.00000,-218.00000,-95.00000,-61.00000,-307.00000,-798.00000,9144.00000,-825.00000,-4251.00000,-534.00000,-1773.00000,-2307.00000,-434.00000,-7817.00000,-2750.00000,-2750.00000,-1540.00000,-1540.00000,-3222.00000,-122.00000,-7634.00000,-6309.00000,636.00000,-3222.00000
2018-12-31,5460.00000,1429.00000,2450.00000,3879.00000,480.00000,-310.00000,-39.00000,903.00000,-939.00000,8400.00000,-924.00000,,15625.00000,-156.00000,15469.00000,-190.00000,14355.00000,-6250.00000,-6250.00000,-2611.00000,-2611.00000,-2971.00000,-486.00000,-12318.00000,10352.00000,845.00000,-2971.00000
2017-12-31,4644.00000,1286.00000,860.00000,2146.00000,754.00000,-253.00000,-430.00000,358.00000,5108.00000,11898.00000,-590.00000,-10426.00000,-5053.00000,,-5053.00000,,-16069.00000,7174.00000,7174.00000,-720.00000,-720.00000,-2731.00000,-330.00000,3393.00000,-641.00000,638.00000,-2731.00000
2016-12-31,13488.00000,1158.00000,855.00000,2013.00000,1192.00000,-488.00000,47.00000,-520.00000,1546.00000,17047.00000,-748.00000,,-10880.00000,-357.00000,-11237.00000,,-11985.00000,4268.00000,4268.00000,-10793.00000,-10793.00000,-2455.00000,-745.00000,-9725.00000,-4622.00000,380.00000,-2455.00000
2015-12-31,18106.00000,1098.00000,551.00000,1649.00000,-1397.00000,-855.00000,226.00000,-90.00000,1495.00000,21250.00000,-747.00000,,-11728.00000,,-11728.00000,,-12475.00000,9689.00000,9689.00000,-9683.00000,-9683.00000,-1874.00000,-4016.00000,-5884.00000,2824.00000,382.00000,-1874.00000
2014-12-31,12059.00000,1050.00000,227.00000,1277.00000,-2578.00000,143.00000,-289.00000,-340.00000,-518.00000,12818.00000,-557.00000,,-1248.00000,-18.00000,-1266.00000,,-1823.00000,5670.00000,5670.00000,-5018.00000,-5018.00000,,-3677.00000,-3025.00000,7914.00000,360.00000,
2013-12-31,3057.00000,345.00000,265.00000,610.00000,-315.00000,-343.00000,-98.00000,-148.00000,-562.00000,3105.00000,-190.00000,-379.00000,315.00000,,315.00000,,-254.00000,-1666.00000,-1666.00000,-269.00000,-269.00000,,-609.00000,-2544.00000,309.00000,252.00000,
2012-12-31,2574.00000,278.00000,235.00000,513.00000,198.00000,-350.00000,117.00000,-106.00000,108.00000,3195.00000,-397.00000,-10752.00000,-672.00000,-25.00000,-697.00000,,-11846.00000,519.00000,519.00000,-201.00000,-201.00000,,245.00000,563.00000,-8080.00000,209.00000,
2011-12-31,2789.05900,302.23200,335.86600,638.09800,-375.73600,-200.79300,428.94400,-43.44300,211.85300,3639.01000,-131.90400,-588.60800,4310.35700,,4310.35700,,3589.84500,4009.15300,4009.15300,-2171.39500,-2171.39500,,-74.18900,1763.56900,8975.89800,192.37800,
2010-12-31,2889.74900,265.47700,359.06700,624.54400,-348.87500,-161.19000,-4.45300,-100.19400,-680.38000,2833.91300,-61.88400,-91.00000,-1784.86700,,-1784.86700,,-1937.75100,2094.09200,2094.09200,-3645.94500,-3645.94500,,213.14300,-1338.71000,-365.07900,200.04100,
2009-12-31,2625.59200,212.94400,211.30900,424.25300,-356.46200,-75.26600,203.64100,-17.06400,30.20900,3080.05400,-230.05700,-1247.81600,-738.02690,,-738.02690,,-2215.90000,-311.10300,-311.10300,-775.76700,-775.76700,,35.43200,-1051.43800,-186.34400,180.68400,
