,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-01-31,952.00000,313.30000,-162.40000,150.90000,-138.10000,-33.90000,-120.40000,-31.70000,1071.20000,-267.90000,222.90000,,0.00000,,,-45.00000,-1051.30000,10.50000,-1040.80000,-334.60000,-334.60000,-2.70000,-20.40000,-1398.50000,-408.90000,46.80000,-2.70000
2021-01-31,-1137.50000,1259.30000,-69.10000,1190.20000,138.40000,283.30000,82.40000,645.00000,697.70000,-226.60000,0.00000,169.10000,-1.60000,-1.60000,,-59.10000,665.30000,-53.60000,611.70000,-113.40000,-113.40000,-2.70000,-18.20000,477.40000,1148.00000,50.50000,-2.70000
2020-01-31,415.10000,323.80000,214.70000,538.50000,-17.10000,121.40000,-85.40000,66.70000,1020.30000,-285.80000,0.00000,-192.40000,-27.70000,-27.70000,,-505.90000,-80.10000,-12.10000,-92.20000,-342.60000,-342.60000,-11.30000,-5.50000,-451.60000,51.40000,56.10000,-11.30000
2019-01-31,744.60000,334.80000,-55.50000,279.30000,-151.40000,-212.10000,79.20000,-171.40000,852.50000,-379.50000,,-15.90000,0.00000,,,-395.40000,-150.00000,-6.70000,-156.70000,-304.80000,-304.80000,-11.60000,-5.40000,-478.50000,-41.90000,56.20000,-11.60000
2018-01-31,536.10000,324.90000,-146.80000,178.10000,3.30000,-163.50000,-95.70000,-70.00000,644.20000,-354.70000,,-40.10000,-14.20000,-14.20000,6.30000,-402.70000,-265.00000,0.40000,-264.60000,-229.10000,-229.10000,-11.90000,-3.40000,-509.00000,-236.20000,44.90000,-11.90000
2017-01-31,548.70000,321.80000,-145.10000,176.70000,22.30000,2.20000,-14.20000,177.20000,902.60000,-229.90000,,-157.70000,-32.00000,-32.00000,-7.60000,-427.20000,28.10000,-6.80000,21.30000,-309.00000,-309.00000,-12.20000,-4.80000,-304.70000,173.70000,38.20000,-12.20000
2016-01-31,572.40000,257.40000,6.40000,263.80000,33.20000,-96.20000,73.30000,68.90000,905.10000,-263.80000,,,-26.60000,-26.60000,-31.10000,-321.50000,-350.00000,17.40000,-332.60000,-131.00000,-131.00000,-12.50000,-7.80000,-483.90000,77.10000,42.00000,-12.50000
2015-01-31,438.90000,244.70000,258.80000,503.50000,-17.40000,-71.70000,-22.50000,-153.30000,789.10000,-255.80000,,-13.50000,-26.20000,-26.20000,-62.20000,-357.70000,-506.40000,0.20000,-506.20000,1.90000,1.90000,-12.50000,2.30000,-514.50000,-113.90000,48.70000,-12.50000
2014-01-31,143.40000,313.60000,-59.50000,254.10000,-31.70000,-44.30000,155.90000,38.70000,411.90000,-237.10000,,-1753.80000,-3.50000,-3.50000,-62.90000,-2057.30000,1593.20000,-244.30000,1348.90000,-9.90000,-9.90000,-12.30000,28.10000,1354.80000,-299.00000,58.00000,-12.30000
2013-01-31,433.80000,140.40000,8.80000,149.20000,55.70000,-57.50000,-98.20000,-13.40000,569.60000,-210.60000,,-37.90000,-8.40000,-8.40000,-51.20000,-308.10000,400.40000,-7.90000,392.50000,-0.70000,-0.70000,-10.90000,4.00000,384.90000,659.00000,33.60000,-10.90000
2012-01-31,275.69700,132.01000,134.47300,266.48300,-40.84000,-111.24800,31.69600,-72.16800,490.72100,-169.84100,,-34.64100,-48.70000,-48.70000,-50.67900,-303.86100,-450.72500,8.17200,-442.55300,19.18700,19.18700,-10.87400,-9.42100,-443.66100,-265.52100,40.93800,-10.87400
2011-01-31,54.37700,147.13700,163.98200,311.11900,-114.76700,-141.65500,16.44600,-6.32500,359.17100,-100.99500,,-2493.12500,0.00000,,-184.14500,-2778.26500,2158.34700,4.86800,2163.21500,385.98700,574.58200,-10.01500,-301.25600,2426.52600,17.83600,33.28100,-10.01500
2010-01-31,161.91000,49.88900,26.46000,76.34900,-1.20200,20.76800,-54.39700,-23.84500,214.41400,-23.85600,,-1.58200,,,-37.43500,-62.87300,,,,7.67800,7.67800,-7.81100,1.26900,1.13600,152.71500,14.45600,-7.81100
2009-01-31,91.77100,55.36600,62.67800,118.04400,-39.44600,38.56200,21.84000,30.00000,239.81500,-88.14100,,-35.04200,1.86400,1.86400,-55.36500,-176.68400,,,,2.79200,2.79200,-7.76000,1.15800,-3.81000,58.25300,10.52700,-7.76000
