,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2021-12-31,9923.00000,4633.00000,-6594.00000,-1961.00000,-1896.00000,,-1101.00000,-1683.00000,6279.00000,4683.00000,5088.00000,-19289.00000,-14201.00000,6238.00000,-3280.00000,-1253.00000,,-1253.00000,-2592.00000,-2592.00000,-1112.00000,1222.00000,-3735.00000,-803.00000,-1083.00000
2020-12-31,-5829.00000,4120.00000,6963.00000,11083.00000,1893.00000,,-3675.00000,-4216.00000,1038.00000,2173.00000,-4925.00000,-9885.00000,-14810.00000,6435.00000,-6202.00000,6149.00000,,6149.00000,-500.00000,-500.00000,-1132.00000,541.00000,5058.00000,-57.00000,-1103.00000
2019-12-31,4169.00000,5006.00000,-1550.00000,3456.00000,654.00000,,-10998.00000,-9432.00000,-1807.00000,2.00000,-3633.00000,-15450.00000,-19083.00000,13606.00000,-5475.00000,6309.00000,,6309.00000,,485.00000,-1136.00000,1600.00000,7258.00000,-8.00000,-1114.00000
2018-12-31,61.00000,5362.00000,-5121.00000,241.00000,-2402.00000,,1706.00000,-696.00000,-394.00000,-5707.00000,5279.00000,-4360.00000,919.00000,4565.00000,-223.00000,7696.00000,,7696.00000,-1739.00000,-1739.00000,-1138.00000,-3570.00000,1249.00000,621.00000,-1138.00000
2017-12-31,-6056.00000,3874.00000,606.00000,4480.00000,-10460.00000,,-2763.00000,-6242.00000,-7818.00000,792.00000,5890.00000,2589.00000,8479.00000,4770.00000,14041.00000,1781.00000,,1781.00000,-6275.00000,-6275.00000,-1172.00000,-31.00000,-5697.00000,630.00000,-1172.00000
2016-12-31,-349.00000,4090.00000,1220.00000,5310.00000,-1268.00000,,117.00000,-1459.00000,3502.00000,2809.00000,1075.00000,-8059.00000,-6984.00000,7427.00000,3252.00000,5931.00000,,5931.00000,-11460.00000,-11460.00000,-1372.00000,68.00000,-6833.00000,-131.00000,-1372.00000
2015-12-31,2222.00000,4629.00000,153.00000,4782.00000,1455.00000,,-6130.00000,-4127.00000,2877.00000,,7218.00000,-6706.00000,512.00000,7950.00000,8462.00000,-528.00000,,-528.00000,-10691.00000,-10691.00000,-1028.00000,818.00000,-11429.00000,-129.00000,-1028.00000
2014-12-31,7524.00000,4448.00000,-2652.00000,1796.00000,2692.00000,,-9195.00000,-4313.00000,5007.00000,2348.00000,13690.00000,-3168.00000,10522.00000,1414.00000,14284.00000,-7754.00000,,-7754.00000,-4902.00000,-4902.00000,-712.00000,-6420.00000,-19788.00000,-483.00000,-712.00000
2013-12-31,9092.00000,4713.00000,-2434.00000,2279.00000,2174.00000,,-7243.00000,-5506.00000,5865.00000,,12976.00000,-12369.00000,607.00000,6492.00000,7099.00000,-9509.00000,,-9509.00000,-597.00000,-597.00000,-294.00000,-1358.00000,-11758.00000,1090.00000,-294.00000
2012-12-31,3700.00000,7349.00000,-1707.00000,5642.00000,3085.00000,,-7496.00000,-5666.00000,3676.00000,,9705.00000,-11987.00000,-2282.00000,18894.00000,16612.00000,-11815.00000,,-11815.00000,-13000.00000,-13000.00000,,4251.00000,-20564.00000,-323.00000,0.00000
2011-12-31,21330.00000,7420.00000,4161.00000,11581.00000,725.00000,,-13237.00000,-32992.00000,-81.00000,587.00000,28602.00000,-32672.00000,-4070.00000,39931.00000,36448.00000,-59194.00000,,-59194.00000,4985.00000,4985.00000,,17283.00000,-36926.00000,-84.00000,0.00000
2010-12-31,12285.00000,10200.00000,-9998.00000,202.00000,-3028.00000,,1086.00000,4110.00000,16597.00000,21760.00000,537.00000,-13376.00000,-12839.00000,-18833.00000,-9912.00000,-3249.00000,,-3249.00000,,,,-6012.00000,-9261.00000,-2842.00000,
2009-12-31,-12313.00000,22249.00000,13417.00000,35666.00000,2036.00000,993.00000,-5401.00000,-4769.00000,18584.00000,5278.00000,-1382.00000,-10470.00000,-11852.00000,12352.00000,5778.00000,-14611.00000,-11072.00000,-25683.00000,,,,-3314.00000,-28997.00000,-4242.00000,
