,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-73.40000,93.60000,154.50000,248.10000,-39.50000,-9.90000,-42.10000,132.60000,-94.50000,,-248.00000,-248.00000,,-342.50000,-8.40000,-8.40000,878.50000,878.50000,,870.10000,652.10000,144.80000
2021-12-31,-75.40000,94.40000,70.80000,165.20000,-34.80000,-15.90000,-41.00000,48.80000,-25.80000,-409.50000,-275.80000,-275.80000,,-711.10000,509.00000,509.00000,-100.30000,-100.30000,-1.20000,407.50000,-275.70000,113.40000
2020-12-31,-4.00000,53.00000,81.90000,134.90000,-12.00000,-144.00000,-161.10000,-30.20000,-59.80000,-58.30000,156.90000,156.90000,,38.80000,-10.00000,-10.00000,575.30000,575.30000,,565.30000,569.90000,65.80000
2019-12-31,78.70000,58.30000,-24.90000,33.40000,-16.40000,-37.80000,-61.50000,50.60000,-55.20000,-30.20000,-33.90000,-33.90000,,-119.30000,-7.20000,-7.20000,87.00000,87.00000,529.90000,609.70000,552.30000,36.50000
2018-12-31,-61.10000,58.70000,60.40000,119.10000,-3.60000,-46.90000,-48.50000,9.50000,-40.20000,,-10.90000,-10.90000,,-51.10000,-454.00000,-454.00000,640.80000,640.80000,-1438.40000,-1251.60000,-1305.50000,23.20000
2017-12-31,2.00000,57.50000,-48.50000,9.00000,5.70000,-49.90000,-50.80000,-39.80000,-50.60000,-0.50000,11.70000,11.70000,-0.20000,-39.60000,-25.90000,-25.90000,76.60000,76.60000,356.10000,406.80000,343.60000,16.10000
2016-12-31,-92.80000,56.70000,9.90000,66.60000,-5.80000,-53.80000,-49.30000,-75.50000,-32.90000,101.60000,-22.10000,-22.10000,716.40000,763.00000,-11.80000,-11.80000,75.00000,75.00000,-693.90000,-630.70000,57.60000,12.50000
2015-12-31,-104.70000,59.20000,67.80000,127.00000,-7.50000,-35.30000,-40.60000,-18.30000,-34.50000,,-53.60000,-53.60000,412.00000,323.90000,-7.00000,-7.00000,,,-361.20000,-368.20000,-72.90000,12.80000
