,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,1213.00000,585.00000,557.00000,1142.00000,10.00000,,-310.00000,-379.00000,1976.00000,-411.00000,-136.00000,0.00000,-1.00000,-1.00000,,-548.00000,493.00000,80.00000,573.00000,-643.00000,-643.00000,-1339.00000,-153.00000,-1562.00000,-134.00000,197.00000,-1339.00000
2021-12-31,1314.00000,583.00000,512.00000,1095.00000,-108.00000,,-406.00000,-411.00000,1998.00000,-388.00000,-14.00000,2.00000,-25.00000,-23.00000,225.00000,-200.00000,939.00000,-653.00000,286.00000,-1513.00000,-1513.00000,-268.00000,-187.00000,-1682.00000,116.00000,202.00000,-268.00000
2020-12-31,131.00000,559.00000,1596.00000,2155.00000,-36.00000,,-287.00000,-268.00000,2018.00000,-350.00000,-300.00000,11.00000,-102.00000,-91.00000,,-741.00000,-26.00000,649.00000,623.00000,-1555.00000,-1555.00000,-237.00000,-145.00000,-1314.00000,-37.00000,223.00000,-237.00000
2019-12-31,914.00000,521.00000,656.00000,1177.00000,-137.00000,,-78.00000,-74.00000,2017.00000,-363.00000,313.00000,73.00000,-26.00000,47.00000,,-3.00000,1049.00000,-439.00000,610.00000,-2151.00000,-2151.00000,-226.00000,-192.00000,-1959.00000,55.00000,250.00000,-226.00000
2018-12-31,1176.00000,298.00000,420.00000,718.00000,-42.00000,-2.00000,59.00000,-14.00000,1880.00000,-355.00000,-2.00000,3.00000,-25.00000,-22.00000,,-379.00000,120.00000,,120.00000,-1314.00000,-1314.00000,-201.00000,-120.00000,-1515.00000,-14.00000,133.00000,-201.00000
2017-12-31,648.00000,296.00000,816.00000,1112.00000,-74.00000,2.00000,104.00000,96.00000,1856.00000,-288.00000,-108.00000,,-620.00000,-620.00000,-131.00000,-1147.00000,870.00000,,870.00000,-1408.00000,-1408.00000,-190.00000,-126.00000,-854.00000,-145.00000,124.00000,-190.00000
2016-12-31,745.93300,266.20700,528.48700,794.69400,-44.18800,1.93200,118.96800,178.61000,1719.23700,-205.82900,,,-4.29500,-4.29500,,-210.12400,357.06110,,357.06110,-1673.17000,-1673.17000,-48.07900,-42.82400,-1407.01200,102.10100,108.60400,-48.07900
2015-12-31,509.72400,269.43800,525.69600,795.13390,-61.44000,-2.89800,-60.38000,-60.80700,1244.05100,-134.89200,,,-3.96600,-3.96600,,-138.85800,931.45400,,931.45400,-2017.99400,-2017.99400,,-54.53900,-1141.07900,-35.88600,84.31000,0.00000
2014-12-31,493.24100,263.64700,513.84900,777.49600,-72.62800,-5.53400,39.50500,-17.49300,1253.24400,-121.64600,1.14400,,24.17800,24.17800,,-96.32400,1389.78500,,1389.78500,-2496.46800,-2496.46800,,-37.31800,-1144.00100,12.91900,78.21200,0.00000
2013-12-31,377.21500,250.53800,408.69300,659.23100,-15.24500,11.47400,106.03500,66.38600,1102.83200,-173.61700,-525.35200,,-1.71900,-1.71900,,-700.68800,998.45000,,998.45000,-1740.39200,-1740.39200,,-46.34200,-788.28400,-386.14000,68.87600,
2012-12-31,3472.70200,263.51900,-3021.58600,-2758.06700,-58.59300,11.37400,129.75700,92.13000,806.76500,-97.29300,,,-0.02600,-0.02600,,-97.31900,-758.79800,,-758.79800,123.36900,123.36900,-327.06200,,-962.49100,-253.04500,63.82200,-327.06200
2011-12-31,426.96100,265.10400,-198.12900,66.97500,-30.45200,-14.79300,128.99700,49.69400,543.63000,-137.42900,,,9.54100,9.54100,,-127.88800,-239.99600,,-239.99600,11.55300,11.55300,,,-228.44300,187.29900,53.19000,0.00000
2010-12-31,43.05500,270.91500,86.82800,357.74310,-50.25900,-5.72500,163.54500,112.09700,512.89500,-311.86800,,,9.45400,9.45400,,-302.41400,-18.11790,,-18.11790,10.83900,10.83900,,,-7.27900,203.20200,60.43700,
2009-12-31,-352.03800,306.67400,258.22800,564.90200,-44.94600,8.26900,301.85900,220.96600,433.83000,-248.51100,,,,,,-248.51100,-178.56400,,-178.56400,,-3.71200,,,-182.27600,3.04300,73.98100,
