,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation
2022-12-31,-694.28800,1141.72400,195.71000,1337.43400,-14.05600,0.53200,47.55100,40.46600,683.61200,-37.19900,,7.17500,7.17500,,-30.02400,-6.35100,-6.35100,-410.70300,-410.70300,-89.43000,-506.48400,141.08200,230.88800
2021-12-31,493.50700,74.26700,59.89400,134.16100,-19.25600,-14.16900,-27.48100,23.88300,651.55100,-30.10700,-1699.97400,172.11200,172.11200,,-1557.96900,862.23600,862.23600,-280.06800,-280.06800,-129.41900,452.74900,-463.90300,139.91000
2020-12-31,349.24600,58.18900,147.32400,205.51300,-22.54000,14.55000,-14.44700,124.19700,678.95600,-7.99000,,-3.38900,-3.38900,,-11.37900,428.93600,428.93600,-243.33400,-243.33400,-66.32000,119.28200,800.80600,65.11400
2019-12-31,95.89400,50.03700,50.99500,101.03200,-12.65600,-0.95300,-13.80700,9.99400,206.92000,-17.24100,-270.40900,-200.72300,-200.72300,,-488.37300,562.98700,562.98700,-167.19400,-167.19400,-36.18600,359.60700,76.30800,44.39500
2018-12-31,77.49100,27.93300,34.15500,62.08800,17.21500,13.36400,5.68800,59.34600,198.92500,-56.05000,,-229.34300,-229.34300,,-285.39300,294.55500,294.55500,-116.39400,-116.39400,-34.15500,144.00600,51.54300,38.23100
2017-12-31,81.80000,27.66000,-40.67800,-13.01800,-8.82600,2.83700,8.96700,0.31900,69.10100,-13.15600,,74.99200,74.99200,,61.83600,-13.68100,-13.68100,17.12000,17.12000,3.11600,6.55500,133.85000,26.55900
2016-12-31,-29.90100,39.84100,48.50600,88.34700,-8.19200,-3.58500,0.50000,-10.48200,47.96400,-47.75000,-7.88000,-79.80000,-79.80000,,-135.43000,-6.08600,-6.08600,9.31000,9.31000,-3.74800,-0.52400,-89.65200,15.90100
2015-12-31,-54.06300,35.84900,37.90200,73.75100,-6.73900,6.72800,1.08300,13.46700,33.15500,-20.83500,,-2.44800,-2.44800,,-23.28300,-3.37700,-3.37700,203.09300,203.09300,-4.05200,195.66400,201.58500,10.84100
2014-12-31,-15.24300,17.29100,10.59300,27.88400,-6.19700,1.04600,-6.86600,-0.55400,12.08700,-9.58400,-4.68800,-1.11000,-1.11000,-5.34100,-20.72300,-1.48000,-1.48000,42.95600,42.95600,3.76100,45.23700,32.86400,10.05000
2013-12-31,-0.79600,12.38800,5.91000,18.29800,-4.83200,1.71200,0.20000,-0.96000,16.54200,-17.07200,-0.67500,2.72200,2.72200,,-15.02500,-1.26500,-1.26500,1.14000,1.14000,0.02200,-0.10300,1.86000,3.83400
2012-12-31,-2.38500,7.94400,5.51500,13.45900,-4.04600,2.34000,-0.11400,-1.39000,9.68400,-13.94600,-0.20000,-14.73100,-14.73100,,-28.87700,-1.38700,-1.38700,4.57400,44.35900,,42.97200,23.75200,4.09400
