,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,7514.00000,1626.00000,1733.00000,3359.00000,,8815.00000,1391.00000,10206.00000,21079.00000,-1855.00000,-15.00000,-2257.00000,-2257.00000,-29562.00000,-33689.00000,4324.00000,-706.00000,3618.00000,-3446.00000,-3446.00000,-1565.00000,25902.00000,24509.00000,11886.00000,375.00000,-1565.00000
2021-12-31,8060.00000,1695.00000,-1567.00000,128.00000,,5389.00000,1068.00000,6457.00000,14645.00000,-1550.00000,1.00000,18577.00000,18577.00000,-27557.00000,-10529.00000,-3874.00000,461.00000,-3413.00000,-7588.00000,-7604.00000,-1448.00000,-2468.00000,-14933.00000,-10937.00000,330.00000,-1448.00000
2020-12-31,3135.00000,1543.00000,4723.00000,6266.00000,,-2025.00000,-1785.00000,-3810.00000,5591.00000,-1478.00000,-597.00000,-13334.00000,-13334.00000,27041.00000,11632.00000,-15524.00000,-4627.00000,-20151.00000,-985.00000,-985.00000,-1474.00000,13542.00000,-9068.00000,8519.00000,249.00000,-1474.00000
2019-12-31,6759.00000,1188.00000,4282.00000,5470.00000,,1771.00000,-368.00000,1403.00000,13632.00000,-1645.00000,-352.00000,-3815.00000,-3815.00000,-10895.00000,-16707.00000,-1144.00000,3316.00000,2172.00000,-4599.00000,-4599.00000,-1422.00000,3330.00000,-519.00000,-3362.00000,283.00000,-1422.00000
2018-12-31,6921.00000,1293.00000,4090.00000,5383.00000,,-4365.00000,991.00000,-3374.00000,8930.00000,-1310.00000,-520.00000,-1931.00000,-1931.00000,-15854.00000,-19615.00000,2629.00000,-148.00000,2481.00000,-1598.00000,-1598.00000,-1324.00000,5542.00000,5101.00000,-5455.00000,283.00000,-1324.00000
2017-12-31,2748.00000,1321.00000,3824.00000,5145.00000,,5249.00000,398.00000,5647.00000,13540.00000,-1062.00000,-211.00000,-116.00000,-116.00000,-16853.00000,-18242.00000,8682.00000,-2300.00000,6382.00000,-4271.00000,-4271.00000,-1251.00000,11385.00000,12245.00000,7769.00000,282.00000,-1251.00000
2016-12-31,5375.00000,1095.00000,1215.00000,2310.00000,-332.00000,1180.00000,-242.00000,606.00000,8291.00000,-1375.00000,-487.00000,365.00000,365.00000,3220.00000,1723.00000,-1024.00000,888.00000,-136.00000,-4321.00000,-4321.00000,-1207.00000,-1935.00000,-7599.00000,2255.00000,254.00000,-1207.00000
2015-12-31,5163.00000,1043.00000,2729.00000,3772.00000,-714.00000,794.00000,1691.00000,1771.00000,10706.00000,-1341.00000,-155.00000,390.00000,390.00000,-7087.00000,-8193.00000,-9323.00000,1395.00000,-7928.00000,-4382.00000,-3541.00000,-1172.00000,10878.00000,-1763.00000,474.00000,234.00000,-1172.00000
2014-12-31,5885.00000,1012.00000,1393.00000,2405.00000,-56.00000,2594.00000,162.00000,2700.00000,10990.00000,-1195.00000,-229.00000,1462.00000,1462.00000,-8005.00000,-7967.00000,3252.00000,-1374.00000,1878.00000,-4027.00000,-3285.00000,-1041.00000,2459.00000,11.00000,2802.00000,290.00000,-1041.00000
2013-12-31,5359.00000,1020.00000,2177.00000,3197.00000,-73.00000,88.00000,-24.00000,-9.00000,8547.00000,-1006.00000,-195.00000,161.00000,161.00000,-6229.00000,-7269.00000,-2768.00000,1843.00000,-925.00000,-3222.00000,-3222.00000,-939.00000,1195.00000,-3891.00000,-2764.00000,350.00000,-939.00000
2012-12-31,4482.00000,991.00000,2505.00000,3496.00000,153.00000,-358.00000,-691.00000,-896.00000,7082.00000,-1053.00000,-466.00000,1614.00000,1614.00000,-6640.00000,-6545.00000,-142.00000,-1015.00000,-1157.00000,-3509.00000,-3509.00000,-902.00000,2300.00000,-3268.00000,-2643.00000,297.00000,-902.00000
2011-12-31,4935.00000,918.00000,2195.00000,3113.00000,663.00000,2186.00000,-1129.00000,1720.00000,9768.00000,-1189.00000,-610.00000,6092.00000,6092.00000,-4784.00000,-491.00000,-7047.00000,705.00000,-6342.00000,-1706.00000,-1706.00000,-861.00000,8232.00000,-677.00000,8537.00000,301.00000,-861.00000
2010-12-31,4057.00000,917.00000,3629.00000,4546.00000,-498.00000,1531.00000,-907.00000,126.00000,8729.00000,-878.00000,-400.00000,6458.00000,6458.00000,-6409.00000,-1229.00000,-11752.00000,1262.00000,-10490.00000,73.00000,73.00000,-867.00000,3406.00000,-7878.00000,-243.00000,287.00000,-867.00000
2009-12-31,2130.00000,1070.00000,3888.00000,4958.00000,-730.00000,-98.00000,77.00000,-751.00000,6337.00000,-722.00000,,-10445.00000,-10445.00000,4415.00000,-6752.00000,-8500.00000,-6574.00000,-15074.00000,274.00000,274.00000,-924.00000,11077.00000,-4647.00000,-5055.00000,230.00000,-924.00000
