,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,common-stock-dividends-paid
2022-12-31,13304.00000,6926.00000,-2095.00000,4831.00000,-97.00000,-230.00000,-335.00000,-1325.00000,16810.00000,-3913.00000,-990.00000,-116.00000,-116.00000,147.00000,-4872.00000,-9484.00000,-9484.00000,-2806.00000,-2806.00000,-1184.00000,-241.00000,-13715.00000,-1777.00000,-1184.00000
2021-12-31,2322.00000,8447.00000,1091.00000,9538.00000,-2086.00000,-86.00000,-119.00000,-1426.00000,10434.00000,-1246.00000,-431.00000,406.00000,406.00000,18.00000,-1253.00000,-6834.00000,-6834.00000,23.00000,23.00000,-839.00000,-922.00000,-8572.00000,609.00000,-839.00000
2020-12-31,-14831.00000,8097.00000,11967.00000,20064.00000,2062.00000,-484.00000,350.00000,-1278.00000,3955.00000,-254.00000,-114.00000,109.00000,109.00000,-560.00000,-819.00000,-1980.00000,-1980.00000,122.00000,122.00000,-1845.00000,-813.00000,-4516.00000,-1380.00000,-1845.00000
2019-12-31,-522.00000,6140.00000,730.00000,6870.00000,401.00000,78.00000,170.00000,1027.00000,7375.00000,-224.00000,-28088.00000,-291.00000,-291.00000,-424.00000,-29027.00000,15057.00000,15057.00000,9791.00000,9791.00000,-2624.00000,-31.00000,22193.00000,541.00000,-2624.00000
2018-12-31,4131.00000,3977.00000,5.00000,3982.00000,955.00000,-108.00000,94.00000,-521.00000,7669.00000,-2151.00000,-928.00000,-182.00000,-182.00000,55.00000,-3206.00000,478.00000,478.00000,-1215.00000,-1215.00000,-2374.00000,9.00000,-3102.00000,1361.00000,-2374.00000
2017-12-31,1311.00000,4002.00000,-639.00000,3363.00000,-158.00000,-349.00000,39.00000,-493.00000,4861.00000,-3599.00000,-1064.00000,1462.00000,1462.00000,122.00000,-3079.00000,,,3.00000,3.00000,-2346.00000,,-2343.00000,-561.00000,-2346.00000
2016-12-31,-574.00000,4268.00000,534.00000,4802.00000,-1091.00000,17.00000,65.00000,-383.00000,3384.00000,-2717.00000,-2044.00000,302.00000,302.00000,-284.00000,-4743.00000,1493.00000,1493.00000,14.00000,14.00000,-2309.00000,,-802.00000,-2161.00000,-2309.00000
2015-12-31,-7829.00000,4544.00000,8166.00000,12710.00000,1431.00000,-24.00000,33.00000,-880.00000,3351.00000,-5272.00000,-109.00000,819.00000,819.00000,-861.00000,-5423.00000,1478.00000,1478.00000,-556.00000,-556.00000,-2264.00000,2826.00000,1484.00000,-588.00000,-2264.00000
2014-12-31,630.00000,4261.00000,5371.00000,9632.00000,1413.00000,-112.00000,89.00000,806.00000,11068.00000,-8930.00000,-1687.00000,4177.00000,4177.00000,-2030.00000,-8470.00000,-107.00000,-107.00000,-2467.00000,-2467.00000,-2210.00000,2582.00000,-2202.00000,396.00000,-2210.00000
2013-12-31,5903.00000,4203.00000,2266.00000,6469.00000,-747.00000,79.00000,58.00000,24.00000,12778.00000,-7357.00000,-606.00000,1619.00000,1619.00000,-1700.00000,-8044.00000,-690.00000,-690.00000,-913.00000,-913.00000,-1553.00000,223.00000,-2933.00000,1801.00000,-1553.00000
2012-12-31,4598.00000,3585.00000,4058.00000,7643.00000,452.00000,-242.00000,176.00000,-572.00000,11299.00000,-7874.00000,-2084.00000,4.00000,4.00000,-2688.00000,-12642.00000,1736.00000,1736.00000,-498.00000,-498.00000,-2128.00000,44.00000,-846.00000,-2189.00000,-2128.00000
2011-12-31,6771.00000,3591.00000,1597.00000,5188.00000,-360.00000,-50.00000,95.00000,168.00000,12281.00000,-7518.00000,-4909.00000,50.00000,50.00000,2474.00000,-9903.00000,588.00000,588.00000,-224.00000,-224.00000,-1436.00000,-103.00000,-1175.00000,1203.00000,-1436.00000
2010-12-31,4602.00000,3153.00000,1240.00000,4393.00000,-929.00000,-42.00000,210.00000,571.00000,9566.00000,-3940.00000,-4924.00000,,,-431.00000,-9295.00000,2273.00000,2273.00000,-57.00000,-57.00000,-1159.00000,26.00000,1083.00000,1354.00000,-1159.00000
2009-12-31,2966.00000,2687.00000,1423.00000,4110.00000,-573.00000,-119.00000,-9.00000,-1016.00000,5946.00000,-3245.00000,-1782.00000,,,-439.00000,-5466.00000,48.00000,48.00000,-22.00000,-22.00000,-1063.00000,4.00000,-1033.00000,-553.00000,-1063.00000
