,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,197.00000,770.00000,-24.00000,746.00000,130.00000,-276.00000,-536.00000,-1215.00000,-272.00000,-312.00000,617.00000,38.00000,343.00000,-102.00000,619.00000,517.00000,-325.00000,-325.00000,-385.00000,-39.00000,-232.00000,-174.00000,12.00000,-385.00000
2021-12-31,622.00000,385.00000,27.00000,412.00000,130.00000,-463.00000,177.00000,-150.00000,884.00000,-289.00000,,21.00000,-268.00000,-709.00000,,-709.00000,,,-394.00000,-40.00000,-1143.00000,-544.00000,52.00000,-394.00000
2020-12-31,-766.00000,1860.00000,-136.00000,1724.00000,168.00000,-34.00000,415.00000,474.00000,1432.00000,-259.00000,16.00000,15.00000,-228.00000,-152.00000,-26.00000,-178.00000,,,-392.00000,11.00000,-559.00000,650.00000,41.00000,-392.00000
2019-12-31,107.00000,1781.00000,-979.00000,802.00000,311.00000,131.00000,-109.00000,135.00000,1044.00000,-265.00000,996.00000,5.00000,736.00000,-1272.00000,-26.00000,-1298.00000,,,-562.00000,-44.00000,-1904.00000,-125.00000,42.00000,-562.00000
2018-12-31,-6942.00000,10235.00000,-2333.00000,7902.00000,162.00000,126.00000,-309.00000,-280.00000,680.00000,-384.00000,5133.00000,58.00000,4807.00000,-2590.00000,-904.00000,-3494.00000,-1507.00000,-1507.00000,-435.00000,-18.00000,-5454.00000,10.00000,76.00000,-435.00000
2017-12-31,2748.80000,720.60000,-2417.20000,-1696.60000,288.70000,-350.40000,211.00000,-86.00000,966.20000,-406.20000,1472.60000,12.10000,1078.50000,-1546.40000,111.80000,-1434.60000,-152.40000,-152.40000,-590.20000,-18.60000,-2195.80000,-101.80000,70.90000,-590.20000
2016-12-31,527.80000,437.20000,31.20000,468.40000,-324.50000,784.60000,282.00000,844.20000,1840.40000,-441.40000,-8408.00000,24.60000,-8824.80000,8314.60000,-641.40000,7673.20000,-16.10000,-16.10000,-328.60000,,7328.50000,312.70000,63.90000,-328.60000
2015-12-31,350.00000,171.60000,131.80000,303.40000,-33.80000,-97.80000,20.30000,-60.50000,592.90000,-211.40000,-358.90000,-79.60000,-649.90000,594.60000,-57.00000,537.60000,-186.10000,-186.10000,-206.30000,,145.20000,75.40000,29.20000,-206.30000
2014-12-31,377.80000,156.10000,241.90000,398.00000,-140.90000,-28.20000,87.30000,-141.70000,634.10000,-142.90000,-602.30000,-6.70000,-751.90000,841.80000,-247.90000,593.90000,-302.50000,-302.50000,-182.50000,10.10000,119.00000,-26.90000,29.90000,-182.50000
2013-12-31,474.60000,158.90000,74.90000,233.80000,-19.00000,-61.60000,59.00000,-103.20000,605.20000,51.60000,,1.80000,53.40000,,-35.80000,-35.80000,-418.20000,-418.20000,-174.10000,14.60000,-613.50000,42.50000,37.20000,-174.10000
2012-12-31,401.30000,163.70000,122.10000,285.80000,-101.20000,7.70000,56.30000,-68.60000,618.50000,-177.20000,17.00000,-2.80000,-163.00000,841.90000,-1097.40000,-255.50000,-92.30000,-92.30000,-125.90000,27.70000,-446.00000,13.60000,32.90000,-125.90000
2011-12-31,125.20000,161.60000,458.20000,619.80000,-17.60000,-21.50000,3.30000,-183.70000,561.30000,-178.60000,-20.00000,-7.80000,-206.40000,3.30000,-185.40000,-182.10000,-51.60000,-51.60000,-84.90000,-6.00000,-324.60000,30.60000,43.00000,-84.90000
2010-12-31,292.80000,172.30000,277.20000,449.50000,-103.60000,-14.50000,39.10000,-159.70000,582.60000,-147.90000,-1.50000,-4.00000,-153.40000,547.30000,-577.20000,-29.90000,-500.10000,-500.10000,-55.40000,13.50000,-571.90000,-138.70000,36.50000,-55.40000
2009-12-31,285.50000,175.10000,103.50000,278.60000,98.00000,243.10000,-103.60000,38.70000,602.80000,-135.70000,-13.70000,,-149.40000,634.80000,-920.50000,-285.70000,32.70000,32.70000,-71.40000,-102.60000,-427.00000,2.90000,35.10000,-71.40000
