,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-intangible-assets,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,2691.00000,362.60000,56.30000,418.90000,-51.10000,72.50000,31.20000,-95.20000,3056.00000,-89.70000,,11.10000,6.30000,-417.50000,-411.20000,,-489.80000,741.00000,-756.20000,-15.20000,,,-2633.50000,-22733.00000,-25381.70000,-22815.50000,84.30000,-2633.50000
2021-12-31,2636.90000,385.40000,-438.10000,-52.70000,-45.70000,-18.60000,23.00000,-161.80000,2402.40000,-87.90000,,48.50000,9.40000,-12.30000,-2.90000,100.70000,58.40000,,,,,965.00000,-2189.30000,71133.00000,69908.70000,72369.50000,75.20000,-2189.30000
2020-12-31,2106.40000,464.40000,84.70000,549.10000,28.20000,7.40000,18.90000,59.20000,2715.60000,-197.50000,,26.30000,12.30000,-16.60000,-4.30000,,-175.50000,-304.60000,,-304.60000,,,-2110.00000,49661.20000,47246.60000,49786.70000,96.00000,-2110.00000
2019-12-31,2115.80000,473.30000,106.40000,579.70000,60.80000,-54.10000,-12.70000,-34.60000,2672.80000,-245.60000,,89.60000,18.80000,-15.40000,3.40000,,-152.60000,-92.50000,-569.20000,-661.70000,,,-1695.90000,-2361.70000,-4719.30000,-2199.10000,73.10000,-1695.90000
2018-12-31,1963.70000,248.70000,167.40000,416.10000,-65.50000,32.30000,-101.20000,61.00000,2440.80000,-116.70000,,-1774.70000,1.80000,,1.80000,,-1889.60000,,1119.40000,1119.40000,,,-2149.90000,-49.50000,-1080.00000,-528.80000,96.50000,-2149.90000
2017-12-31,4063.40000,208.50000,-2415.40000,-2206.90000,6.00000,5.10000,-120.00000,-105.40000,1751.10000,-81.90000,,267.60000,-0.50000,-5.30000,-5.80000,,179.90000,,,,,,-1993.50000,8.20000,-1985.30000,-54.30000,58.00000,-1993.50000
2016-12-31,1534.10000,225.30000,-40.40000,184.90000,-8.10000,-2.60000,-36.80000,13.00000,1732.00000,-91.80000,,8.80000,-4.20000,140.90000,136.70000,,53.70000,130.00000,,130.00000,51.80000,51.80000,-1787.20000,-15.10000,-1620.50000,165.20000,66.20000,-1787.20000
2015-12-31,1247.00000,228.60000,189.30000,417.90000,-17.30000,-8.20000,-30.40000,-138.00000,1532.50000,-114.20000,,,38.30000,86.80000,125.10000,7.00000,17.90000,,70.70000,70.70000,64.00000,64.00000,-1343.40000,-15.20000,-1223.90000,326.50000,60.80000,-1343.40000
2014-12-31,1126.90000,233.20000,125.10000,358.30000,-38.50000,0.70000,-50.40000,-193.80000,1291.40000,-132.80000,,,-0.80000,-65.50000,-66.30000,,-199.10000,,-750.00000,-750.00000,53.30000,53.30000,-1496.80000,-2.40000,-2195.90000,-1103.60000,54.80000,-1496.80000
2013-12-31,978.10000,238.10000,73.50000,311.60000,-35.50000,-5.50000,41.10000,-9.20000,1280.50000,66.80000,,,-0.10000,-4.00000,-4.10000,127.80000,190.50000,,-1.30000,-1.30000,73.70000,73.70000,-599.10000,-79.30000,-606.00000,865.00000,54.40000,-599.10000
2012-12-31,906.70000,253.10000,68.90000,322.00000,-0.30000,11.20000,-91.80000,-9.00000,1219.70000,6.80000,,-162.90000,-3.00000,-25.40000,-28.40000,-24.40000,-208.90000,,747.70000,747.70000,22.10000,22.10000,-1224.30000,6.10000,-448.40000,562.40000,61.40000,-1224.30000
2011-12-31,1814.40000,260.50000,-591.20000,-330.70000,-13.20000,-21.00000,-85.20000,-137.40000,1346.30000,-172.20000,,,1.10000,,1.10000,17.50000,-153.60000,,-420.50000,-420.50000,-214.60000,-214.60000,-372.80000,2.30000,-1005.60000,187.10000,51.30000,-372.80000
2010-12-31,952.10000,283.40000,80.40000,363.80000,-28.70000,6.10000,52.10000,41.90000,1359.60000,-160.00000,39.70000,-19.60000,1.70000,29.80000,31.50000,-3.20000,-111.60000,-99.90000,308.00000,208.10000,44.40000,44.40000,-305.30000,-600.60000,-653.40000,594.60000,40.90000,-305.30000
2009-12-31,825.80000,264.10000,25.00000,289.10000,-14.40000,-24.30000,-6.90000,-31.80000,1083.10000,-157.90000,,,279.90000,422.80000,702.70000,,544.80000,-1393.60000,493.50000,-900.10000,-6.60000,-6.60000,-305.60000,-452.90000,-1665.20000,-37.30000,33.40000,-305.60000
