,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,791.80000,820.80000,82.20000,903.00000,-216.30000,-258.90000,165.00000,-48.60000,-285.40000,1409.40000,-2203.10000,107.20000,107.20000,-474.30000,-2570.20000,285.30000,1202.20000,1487.50000,154.30000,154.30000,-442.60000,-57.90000,1141.30000,-19.50000,24.90000,-387.50000
2021-12-31,588.80000,748.40000,141.10000,889.50000,-40.30000,-112.90000,54.90000,-205.10000,-260.40000,1217.90000,-1837.30000,-5.10000,-5.10000,-362.50000,-2204.90000,-25.70000,57.00000,31.30000,1139.50000,1139.50000,-400.90000,186.40000,956.30000,-30.70000,24.30000,-345.80000
2020-12-31,-14.20000,725.90000,641.40000,1367.30000,-3.90000,-1.50000,-29.70000,-38.90000,-249.10000,1104.00000,-642.20000,-13.30000,-13.30000,-223.60000,-879.10000,1352.00000,-1270.10000,81.90000,211.40000,211.40000,-376.70000,-164.30000,-247.70000,-22.80000,17.40000,-321.60000
2019-12-31,383.10000,717.40000,557.90000,1275.30000,187.80000,-2.00000,-299.90000,-99.30000,-75.10000,1583.30000,-1802.00000,-8.30000,-8.30000,-112.10000,-1922.40000,698.40000,-204.00000,494.40000,244.40000,244.40000,-354.60000,-17.80000,366.40000,27.30000,25.90000,-298.50000
2018-12-31,-50.60000,607.10000,-126.60000,480.49990,-186.20000,41.40000,268.40000,-55.40000,110.20000,540.10000,-1816.40000,-7.70000,-7.70000,-102.00000,-1926.10000,-696.10000,771.50000,75.40000,844.20000,1724.20000,-284.90000,-46.00000,1468.70000,82.70000,28.60000,-273.30000
2017-12-31,128.50000,577.70000,452.30000,1030.00000,-52.30000,19.00000,49.00000,-440.10000,-416.30000,742.20000,-1695.80000,-5.30000,-5.30000,-107.40000,-1808.50000,1395.00000,-282.40000,1112.60000,329.50000,329.50000,-229.10000,-144.30000,1068.70000,2.40000,40.10000,-229.10000
2016-12-31,331.50000,554.70000,210.00000,764.70000,-188.00000,38.90000,108.80000,-250.00000,-292.90000,803.30000,-1475.20000,-5.30000,-5.30000,-122.50000,-1603.00000,65.40000,920.60000,986.00000,13.70000,13.70000,-205.50000,-3.70000,790.50000,-9.20000,46.50000,-205.50000
2015-12-31,302.10000,533.10000,474.70000,1007.80000,262.20000,46.90000,-190.50000,86.30000,146.90000,1456.80000,-1360.70000,3.50000,3.50000,3306.90000,1949.70000,-2092.20000,-936.40000,-3028.60000,2.10000,2.10000,-263.40000,-121.70000,-3411.60000,-4.60000,50.70000,-263.40000
2014-12-31,530.00000,496.90000,507.60000,1004.50000,-42.80000,-115.90000,29.90000,-99.30000,-214.90000,1319.60000,-1282.50000,,,-834.10000,-2116.60000,227.40000,878.10000,1105.50000,20.10000,20.10000,-321.30000,-8.70000,795.60000,-1.60000,66.00000,-321.30000
2013-12-31,532.10000,479.80000,315.30000,795.10000,-97.30000,-13.10000,62.30000,41.60000,109.60000,1436.80000,-1202.40000,,,-689.00000,-1891.40000,796.70000,-78.10000,718.60000,35.60000,35.60000,-305.90000,-3.20000,445.10000,-9.10000,48.50000,-305.90000
2012-12-31,416.10000,571.60000,304.20000,875.80000,-51.40000,62.40000,57.30000,27.80000,-16.40000,1275.50000,-1473.20000,-13.90000,-13.90000,61.90000,-1425.20000,659.80000,-582.20000,77.60000,373.50000,373.50000,-273.20000,-3.40000,174.50000,24.80000,45.00000,-273.20000
2011-12-31,299.10000,544.60000,310.60000,855.20000,219.50000,-141.70000,-154.80000,-320.10000,-284.10000,870.20000,-1113.30000,-6.40000,-6.40000,-29.60000,-1149.30000,603.10000,-23.10000,580.00000,21.30000,21.30000,-257.80000,-62.10000,281.40000,2.30000,39.20000,-257.80000
2010-12-31,282.60000,605.10000,242.40000,847.50010,-243.60000,103.30000,37.70000,-289.40000,-404.70000,725.40000,-800.80000,28.80000,28.80000,-171.30000,-943.30000,-733.10000,1279.50000,546.40000,12.90000,12.90000,-255.60000,-93.00000,210.70000,-7.20000,30.90000,-255.60000
2009-12-31,217.00000,602.90000,153.70000,756.60000,258.90000,128.70000,-191.40000,406.60000,692.60000,1666.20000,-771.50000,36.30000,36.30000,80.40000,-654.80000,290.20000,-1060.50000,-770.30000,8.00000,8.00000,-253.30000,,-1015.60000,-4.20000,9.60000,-253.30000
