,net-income-loss,total-depreciation-amortization-cash-flow,other-non-cash-items,total-non-cash-items,change-in-accounts-receivable,change-in-inventories,change-in-accounts-payable,change-in-assets-liabilities,total-change-in-assets-liabilities,cash-flow-from-operating-activities,net-change-in-property-plant-equipment,net-acquisitions-divestitures,net-change-in-short-term-investments,net-change-in-long-term-investments,net-change-in-investments-total,investing-activities-other,cash-flow-from-investing-activities,net-long-term-debt,net-current-debt,debt-issuance-retirement-net-total,net-common-equity-issued-repurchased,net-total-equity-issued-repurchased,total-common-preferred-stock-dividends-paid,financial-activities-other,cash-flow-from-financial-activities,net-cash-flow,stock-based-compensation,common-stock-dividends-paid
2022-12-31,3428.00000,4064.00000,-1350.00000,2714.00000,-769.00000,-285.00000,1021.00000,142.00000,160.00000,6302.00000,-7648.00000,,,-13.00000,-13.00000,-769.00000,-8430.00000,2974.00000,1163.00000,4137.00000,1808.00000,1510.00000,-3166.00000,-145.00000,2336.00000,208.00000,127.00000,-3166.00000
2021-12-31,2309.00000,3973.00000,671.00000,4644.00000,-81.00000,-31.00000,-8.00000,-610.00000,-784.00000,6169.00000,-6669.00000,,,-5.00000,-5.00000,-679.00000,-7353.00000,3935.00000,830.00000,4765.00000,73.00000,73.00000,-3128.00000,235.00000,1945.00000,761.00000,144.00000,-3128.00000
2020-12-31,3103.00000,3905.00000,76.00000,3981.00000,-222.00000,-186.00000,-27.00000,-195.00000,-388.00000,6696.00000,-6473.00000,,,-6.00000,-6.00000,-551.00000,-7030.00000,3589.00000,-1321.00000,2268.00000,74.00000,74.00000,-2956.00000,38.00000,-576.00000,-910.00000,113.00000,-2956.00000
2019-12-31,4744.00000,3331.00000,-2458.00000,873.00000,630.00000,-17.00000,-693.00000,127.00000,164.00000,5781.00000,-2433.00000,-50.00000,-169.00000,-6.00000,-175.00000,-734.00000,-3392.00000,873.00000,-860.00000,13.00000,844.00000,844.00000,-2826.00000,39.00000,-1930.00000,459.00000,107.00000,-2826.00000
2018-12-31,2300.00000,3549.00000,820.00000,4369.00000,-426.00000,-53.00000,291.00000,197.00000,276.00000,6945.00000,-5045.00000,-65.00000,50.00000,-120.00000,-70.00000,-580.00000,-5760.00000,-3055.00000,476.00000,-2579.00000,1090.00000,1057.00000,-2578.00000,2287.00000,-1813.00000,-628.00000,125.00000,-2578.00000
2017-12-31,926.00000,3457.00000,2964.00000,6421.00000,-202.00000,36.00000,-280.00000,-357.00000,-953.00000,6394.00000,-7326.00000,-1054.00000,259.00000,-158.00000,101.00000,1089.00000,-7190.00000,2928.00000,199.00000,3127.00000,793.00000,385.00000,-2419.00000,-142.00000,951.00000,155.00000,109.00000,-2419.00000
2016-12-31,2529.00000,2923.00000,-1536.00000,1387.00000,-544.00000,178.00000,301.00000,-413.00000,978.00000,4894.00000,-7295.00000,-10680.00000,-121.00000,-1450.00000,-1571.00000,-501.00000,-20047.00000,13223.00000,750.00000,13973.00000,3758.00000,3758.00000,-2176.00000,170.00000,15725.00000,572.00000,121.00000,-2176.00000
2015-12-31,2435.00000,2395.00000,1217.00000,3612.00000,243.00000,61.00000,-353.00000,-76.00000,227.00000,6274.00000,-5674.00000,-1719.00000,402.00000,-6.00000,396.00000,-283.00000,-7280.00000,3425.00000,298.00000,3723.00000,141.00000,-271.00000,-1977.00000,225.00000,1700.00000,694.00000,99.00000,-1977.00000
2014-12-31,2031.00000,2293.00000,876.00000,3169.00000,-352.00000,341.00000,267.00000,209.00000,615.00000,5815.00000,-5246.00000,-731.00000,-107.00000,-2.00000,-109.00000,-322.00000,-6408.00000,2353.00000,-551.00000,1802.00000,801.00000,801.00000,-1867.00000,-92.00000,644.00000,51.00000,63.00000,-1867.00000
2013-12-31,1710.00000,2298.00000,1937.00000,4235.00000,-153.00000,517.00000,72.00000,-61.00000,152.00000,6097.00000,-5463.00000,,-126.00000,-2.00000,-128.00000,-151.00000,-5742.00000,108.00000,662.00000,770.00000,675.00000,675.00000,-1828.00000,59.00000,-324.00000,31.00000,59.00000,-1762.00000
2012-12-31,2415.00000,2145.00000,789.00000,2934.00000,234.00000,-549.00000,-89.00000,52.00000,-451.00000,4898.00000,-4809.00000,,-84.00000,-149.00000,-233.00000,-126.00000,-5168.00000,1235.00000,-30.00000,1205.00000,-33.00000,-33.00000,-1758.00000,169.00000,-417.00000,-687.00000,55.00000,-1693.00000
2011-12-31,2268.00000,2048.00000,1014.00000,3062.00000,362.00000,-122.00000,-5.00000,-2.00000,573.00000,5903.00000,-4525.00000,,198.00000,-5.00000,193.00000,149.00000,-4183.00000,549.00000,-438.00000,111.00000,723.00000,723.00000,-1666.00000,-20.00000,-852.00000,868.00000,42.00000,-1601.00000
2010-12-31,2040.00000,1831.00000,179.00000,2010.00000,80.00000,105.00000,4.00000,-120.00000,-59.00000,3991.00000,-4086.00000,,29.00000,-5.00000,24.00000,-194.00000,-4256.00000,185.00000,659.00000,844.00000,772.00000,772.00000,-1561.00000,-33.00000,22.00000,-243.00000,33.00000,-1496.00000
2009-12-31,1708.00000,1788.00000,-188.00000,1600.00000,585.00000,-471.00000,-125.00000,287.00000,-45.00000,3263.00000,-4545.00000,,430.00000,-6.00000,424.00000,-198.00000,-4319.00000,1808.00000,-306.00000,1502.00000,1286.00000,1286.00000,-1434.00000,-25.00000,1329.00000,273.00000,23.00000,-1369.00000
